"Time","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.020,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.468719,44.716354,83.699615,66.055054,3.997573,14.529978,2.935038,14.793964,4.686253,16.851257,0,3.189498,13.398281,5.212725,12.404452,6.055499,15.047125,6.074131,13.649016,6.194050,13.032662,6.374402,12.576736,6.868362,13.758273,7.920497,13.178277,7.975941,13.925885,0,-0.01880,0.00298,-0.02094,-0.01223,0.00727,-0.01287,0.00326,0.00298,0.00013,0.09385,3.27709
0.021,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.310944,44.852036,83.676018,66.404396,3.992722,14.528609,2.934275,14.787230,4.676934,16.844301,0,3.188396,13.388374,5.210952,12.392846,6.057157,15.035411,6.071004,13.632012,6.192095,13.019754,6.375375,12.567745,6.862706,13.750206,7.915901,13.174670,7.973401,13.919328,0,-0.01817,0.00363,-0.02227,-0.01829,0.00825,-0.01299,0.02805,0.00217,-0.00009,0.11030,3.27732
0.022,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.300827,44.926353,83.706871,66.718979,3.986677,14.524925,2.933536,14.780974,4.667773,16.834970,0,3.187112,13.379141,5.209481,12.382160,6.060133,15.022233,6.070241,13.610195,6.189925,13.004642,6.376594,12.556163,6.857391,13.740157,7.912663,13.169257,7.971034,13.911263,0,-0.02184,0.00256,-0.02020,-0.01400,0.00988,-0.01341,-0.00164,0.00207,0.00013,0.10476,3.27770
0.023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.290695,45.000668,83.737724,67.033562,3.980632,14.521241,2.932797,14.774719,4.658612,16.825642,0,3.185828,13.369906,5.208009,12.371474,6.063109,15.009056,6.069479,13.588379,6.187755,12.989532,6.377812,12.544581,6.852077,13.730108,7.909424,13.163843,7.968667,13.903197,0,-0.01851,0.00434,-0.01953,-0.01249,0.00722,-0.01135,0.00996,0.00295,-0.00013,0.08889,3.27778
0.024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.280579,45.074986,83.768578,67.348145,3.974587,14.517557,2.932058,14.768463,4.649451,16.816311,0,3.184545,13.360673,5.206537,12.360788,6.066085,14.995878,6.068717,13.566563,6.185585,12.974420,6.379030,12.532999,6.846763,13.720058,7.906186,13.158430,7.966300,13.895133,0,-0.01765,0.00287,-0.02075,-0.00906,0.00852,-0.01296,0.00472,0.00291,0.00013,0.09088,3.27755
0.025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.285782,45.179264,83.796555,67.590294,3.967012,14.513786,2.931082,14.762718,4.640095,16.806265,0,3.183513,13.351194,5.205422,12.352119,6.070142,14.982677,6.065678,13.544488,6.183767,12.960684,6.379128,12.520801,6.842776,13.710176,7.903667,13.153450,7.964618,13.888634,0,-0.01730,0.00346,-0.02082,-0.01115,0.00823,-0.01281,0.00705,0.00325,0.00013,0.11627,3.27736
0.026,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.305969,45.312794,83.821709,67.761742,3.957944,14.509932,2.929876,14.757472,4.630549,16.795521,0,3.182727,13.341476,5.204655,12.345420,6.075254,14.969456,6.060417,13.522161,6.182294,12.948291,6.378134,12.508000,6.840085,13.700454,7.901851,13.148892,7.963605,13.883663,0,-0.01512,0.00247,-0.02059,-0.01120,0.00853,-0.01182,0.00031,0.00225,-0.00015,0.10058,3.27721
0.027,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.326157,45.446327,83.846870,67.933182,3.948875,14.506076,2.928670,14.752226,4.621003,16.784775,0,3.181941,13.331758,5.203888,12.338720,6.080367,14.956233,6.055155,13.499835,6.180822,12.935899,6.377139,12.495199,6.837393,13.690732,7.900035,13.144335,7.962593,13.878693,0,-0.01275,0.00545,-0.01932,-0.02243,0.00839,-0.01265,0.00728,0.00206,0.00026,0.08746,3.27717
0.028,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.346344,45.579857,83.872025,68.104622,3.939806,14.502221,2.927464,14.746980,4.611457,16.774029,0,3.181155,13.322042,5.203121,12.332020,6.085479,14.943010,6.049894,13.477509,6.179349,12.923506,6.376144,12.482399,6.834702,13.681010,7.898219,13.139777,7.961580,13.873722,0,-0.01675,0.00295,-0.02019,-0.00872,0.00825,-0.01333,0.00001,0.00296,0.00000,0.10926,3.27724
0.029,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.007385,45.691658,83.790276,68.208084,3.932175,14.497575,2.925550,14.742632,4.603109,16.762234,0,3.180185,13.312119,5.202201,12.325597,6.091077,14.929391,6.046874,13.457662,6.177270,12.914104,6.377963,12.471010,6.832564,13.670650,7.897405,13.133560,7.960443,13.869253,0,-0.01988,0.00364,-0.02111,-0.01827,0.00820,-0.01248,0.02836,0.00154,-0.00013,0.11297,3.27736
