"Time","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","v3 R COP","60 RDS cle","58 R mark","57 rm dwn st","56 rm dwn sw","55 rmp up st","54 rmp up sw","53 Ramp down","52 Ramp up","51 right DS","50 left DS","49 lHL swoff","48 lHL swon","47 rHL swoff","46 rHL swon","45 Memory","44 lFL swon","43 rFL swoff","42 rFL swon","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","36 CoMx (cm)","34a FRx (cm)","34 FRx (cm)","33 FLy (cm)","31 Keyboard","35 FRy (cm)","29 HRx (cm)","v2 L COP","32a FLx (cm)","61 LDS cle","59 L mark","32 FLx (cm)","27 HLx (cm)","30 HRy (cm)","28 HLy (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.020,6.487003,2.264041,6.383151,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,171.472580,36.306297,86.015762,87.102608,11.943949,-10.560916,12.573721,6.872618,0,5.576479,9.281746,0.000000,10.935787,0,0,15.183681,8.107015,4.921669,7.198902,7.970894,12.660290,8.134344,9.160127,8.529780,8.820966,9.015350,8.279438,8.859308,10.004038,10.449999,9.996792,10.416643,11.108410,0,0.00128,0.00058,0.00527,0.00062,0.00055,0.00069,0.00479,0.00224,-1.48060,0.09741,3.27707
0.021,6.488536,2.280243,6.385193,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,171.155014,36.149422,86.786743,86.637947,11.932121,-10.491765,12.563530,6.871852,0,5.576966,9.300163,0.000000,10.525418,0,0,15.195881,8.103539,4.924247,7.198594,7.975622,12.647267,8.124133,9.196703,8.511274,8.841260,8.976868,8.296077,8.863697,10.021175,10.453893,10.002311,10.419161,11.112285,0,0.00124,0.00058,0.00500,0.00062,0.00055,0.00069,0.00526,0.00235,-1.47899,0.09707,3.27691
0.022,6.489759,2.282392,6.387284,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,170.564606,35.893364,87.409386,86.168556,11.920797,-10.407893,12.553541,6.871562,0,5.577436,9.317772,0.000000,10.094261,0,0,15.207603,8.100175,4.926908,7.198411,7.977931,12.633797,8.117188,9.224727,8.497829,8.861691,8.946670,8.311194,8.868636,10.036948,10.458265,10.008153,10.421502,11.114949,0,0.00124,0.00058,0.00488,0.00063,0.00056,0.00070,0.00516,0.00236,-1.47750,0.09717,3.27698
0.023,6.490681,2.265603,6.389441,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,169.606583,35.503666,87.832161,85.692802,11.910151,-10.304186,12.543825,6.871912,0,5.577885,9.334290,0.000000,9.635092,0,0,15.218680,8.096958,4.929680,7.198399,7.976983,12.619721,8.114644,9.241225,8.491204,8.882306,8.927633,8.324262,8.874316,10.050882,10.463283,10.014430,10.423603,11.115980,0,0.00123,0.00058,0.00484,0.00063,0.00057,0.00068,0.00491,0.00237,-1.48024,0.09741,3.27737
0.024,6.491323,2.248814,6.391598,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,168.648560,35.113968,88.254936,85.217041,11.899505,-10.200479,12.534109,6.872263,0,5.578334,9.350807,0.000000,9.175922,0,0,15.229758,8.093740,4.932452,7.198387,7.976035,12.605646,8.112099,9.257724,8.484579,8.902921,8.908597,8.337330,8.879996,10.064816,10.468301,10.020708,10.425704,11.117012,0,0.00122,0.00058,0.00504,0.00062,0.00056,0.00066,0.00491,0.00244,-1.48080,0.09726,3.27765
0.025,6.491692,2.232026,6.393755,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,167.690536,34.724266,88.677711,84.741287,11.888859,-10.096771,12.524393,6.872613,0,5.578783,9.367324,0.000000,8.716753,0,0,15.240835,8.090524,4.935225,7.198375,7.975086,12.591571,8.109554,9.274222,8.477954,8.923535,8.889561,8.350397,8.885675,10.078750,10.473319,10.026985,10.427805,11.118043,0,0.00114,0.00057,0.00514,0.00063,0.00055,0.00066,0.00480,0.00252,-1.47967,0.09703,3.27780
0.026,6.491830,2.219939,6.395941,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,167.112946,34.385342,88.957970,84.258156,11.876084,-9.984029,12.514505,6.872835,0,5.579383,9.384402,0.000000,8.240048,0,0,15.250299,8.087222,4.937961,7.198515,7.973280,12.578367,8.103536,9.299173,8.470372,8.948325,8.872582,8.364137,8.891056,10.093174,10.478780,10.033064,10.430188,11.120204,0,0.00110,0.00058,0.00488,0.00064,0.00054,0.00066,0.00475,0.00254,-1.47986,0.09698,3.27802
0.027,6.491745,2.214187,6.398165,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,167.047989,34.114834,89.046204,83.765091,11.860442,-9.859112,12.504387,6.872883,0,5.580188,9.402235,0.000000,7.739717,0,0,15.257587,8.083805,4.940648,7.198862,7.970318,12.566339,8.092837,9.335512,8.461499,8.978740,8.858379,8.378781,8.896032,10.108259,10.484838,10.038875,10.432951,11.123887,0,0.00122,0.00058,0.00477,0.00065,0.00055,0.00068,0.00457,0.00243,-1.48020,0.09717,3.27833
0.028,6.491453,2.208435,6.400390,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,166.983017,33.844326,89.134438,83.272034,11.844800,-9.734196,12.494268,6.872932,0,5.580992,9.420068,0.000000,7.239387,0,0,15.264875,8.080388,4.943335,7.199209,7.967357,12.554312,8.082140,9.371852,8.452626,9.009153,8.844175,8.393426,8.901009,10.123344,10.490896,10.044685,10.435715,11.127570,0,0.00122,0.00059,0.00514,0.00065,0.00055,0.00066,0.00413,0.00228,-1.48130,0.09725,3.27825
0.029,6.490962,2.202683,6.402615,0.000000,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,166.918060,33.573818,89.222679,82.778969,11.829159,-9.609280,12.484150,6.872980,0,5.581797,9.437901,0.000000,6.739055,0,0,15.272164,8.076971,4.946022,7.199556,7.964395,12.542283,8.071442,9.408191,8.443753,9.039568,8.829972,8.408072,8.905986,10.138430,10.496954,10.050496,10.438478,11.131252,0,0.00125,0.00060,0.00512,0.00064,0.00056,0.00068,0.00400,0.00226,-1.48023,0.09706,3.27764
