"Time","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus rmp","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","37 CoMy (cm)","v1 xCoM","v2 R COP","66 RDS cle","64 R mark","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v3 L COP","67 LDS cle","65 L mark","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","28a HLy (cm)"
0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.066406,32.148323,87.436157,84.506088,2.178300,5.310775,5.403882,0.000000,1,0,14.910350,4.282748,15.781729,6.119257,13.246681,0.000000,1,0,18.018614,0,3.881502,6.082774,12.539033,8.259645,15.712497,8.737274,12.831463,9.156325,12.438499,9.489986,11.846151,9.562517,13.397185,10.857261,13.270976,10.884078,14.305298,0,-0.01794,0.00239,-0.01972,-0.01338,0.00859,-0.01259,0.00547,0.00441,0.00020,0.09800,3.27712,6.085045
0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.678543,32.127209,87.582870,83.777596,2.103473,5.312742,5.402581,0.000000,1,0,14.913262,4.284052,15.771630,6.114422,13.281481,0.000000,1,0,18.028976,0,3.880343,6.081450,12.529303,8.265492,15.703353,8.740152,12.874194,9.144562,12.470695,9.466936,11.879045,9.564192,13.419868,10.857050,13.276821,10.885276,14.314212,0,-0.01945,0.00397,-0.02106,-0.01425,0.00880,-0.01247,0.00631,-0.00139,0.00000,0.09812,3.27746,6.082914
0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.290680,32.106094,87.729576,83.049110,2.028647,5.314709,5.401280,0.000000,1,0,14.916176,4.285355,15.761533,6.109587,13.316279,0.000000,1,0,18.039339,0,3.879184,6.080125,12.519572,8.271339,15.694210,8.743030,12.916925,9.132798,12.502890,9.443887,11.911938,9.565866,13.442552,10.856840,13.282667,10.886474,14.323125,0,-0.01853,0.00239,-0.02135,-0.01393,0.01071,-0.01223,0.00641,0.00596,0.00015,0.09814,3.27761,6.080783
0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.937317,32.137848,87.820488,82.302963,1.948150,5.316725,5.400058,0.000000,1,0,14.920538,4.286829,15.751455,6.103132,13.351441,0.000000,1,0,18.048409,0,3.877603,6.078804,12.509765,8.275580,15.685312,8.745234,12.957522,9.121574,12.533690,9.422326,11.941740,9.567774,13.465555,10.856853,13.289709,10.886805,14.332169,0,-0.01927,0.00294,-0.02142,-0.01373,0.00759,-0.01157,0.00499,-0.00129,0.00010,0.09813,3.27774,6.078804
0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.736954,32.404079,87.663940,81.478546,1.842500,5.318959,5.399189,0.000000,1,0,14.931329,4.289054,15.741469,6.089493,13.388217,0.000000,1,0,18.051752,0,3.874155,6.077500,12.499614,8.272700,15.677505,8.744449,12.988651,9.112741,12.558309,9.407375,11.957830,9.570720,13.489984,10.857856,13.302057,10.883292,14.341791,0,-0.01724,0.00305,-0.02101,-0.01468,0.00879,-0.01149,0.00519,0.00444,0.00005,0.09789,3.27774,6.077500
0.027,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,167.536606,32.670311,87.507401,80.654121,1.736851,5.321192,5.398320,0.000000,1,0,14.942120,4.291279,15.731483,6.075854,13.424992,0.806385,1,1,18.055094,0,3.870707,6.076196,12.489464,8.269820,15.669697,8.743664,13.019779,9.103909,12.582927,9.392425,11.973922,9.573666,13.514412,10.858858,13.314404,10.879780,14.351413,0,-0.01757,0.00390,-0.01878,-0.01371,0.00904,-0.01194,0.00399,0.00544,-0.00010,0.09780,3.27777,6.076196
0.028,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.336243,32.936543,87.350861,79.829704,1.631202,5.323425,5.397450,0.000000,1,0,14.952910,4.293505,15.721498,6.062214,13.461767,3.837910,1,0,18.058437,0,3.867259,6.074892,12.479313,8.266940,15.661889,8.742879,13.050908,9.095076,12.607545,9.377474,11.990013,9.576612,13.538840,10.859860,13.326753,10.876267,14.361034,0,-0.01698,0.00365,-0.02096,-0.01331,0.00523,-0.01179,0.00770,0.00234,0.00000,0.09806,3.27792,6.074892
0.029,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.218735,33.294487,87.192429,78.997177,1.525918,5.325480,5.396661,0.000000,1,0,14.962899,4.295593,15.711495,6.049801,13.498301,6.061428,1,0,18.061201,0,3.863169,6.073184,12.469064,8.265396,15.652241,8.742103,13.084033,9.085952,12.633250,9.362428,12.010110,9.580465,13.566027,10.860984,13.339121,10.874879,14.370765,0,-0.01842,0.00308,-0.01764,-0.01330,0.00854,-0.01334,0.00269,0.00172,0.00015,0.09812,3.27797,6.073155
0.030,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.468628,34.059174,87.025627,78.128708,1.422256,5.326737,5.396225,0.000000,1,0,14.969329,4.297071,15.701417,6.042826,13.533762,6.055336,1,0,18.061394,0,3.856234,6.069685,12.458376,8.269778,15.634432,8.741364,13.126010,9.075541,12.663778,9.346959,12.047971,9.588346,13.605444,10.862644,13.351580,10.882908,14.380978,0,-0.01754,0.00308,-0.02058,-0.01309,0.00866,-0.01263,0.02203,0.00320,0.00005,0.09783,3.27751,6.069502
0.031,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.718536,34.823860,86.858826,77.260239,1.318593,5.327996,5.395789,0.000000,1,0,14.975759,4.298548,15.691339,6.035851,13.569222,6.049665,1,0,18.061586,0,3.849298,6.066185,12.447688,8.274161,15.616622,8.740625,13.167987,9.065130,12.694306,9.331491,12.085832,9.596226,13.644862,10.864304,13.364038,10.890938,14.391191,0,-0.01847,0.00325,-0.02092,-0.01356,0.00817,-0.01219,0.00663,0.00184,0.00005,0.09775,3.27706,6.065849
0.032,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172.968430,35.588547,86.692017,76.391769,1.214931,5.329254,5.395354,0.000000,1,0,14.982188,4.300026,15.681260,6.028875,13.604684,6.045156,1,0,18.061779,0,3.842362,6.062687,12.437001,8.278543,15.598813,8.739887,13.209965,9.054719,12.724834,9.316022,12.123693,9.604106,13.684279,10.865964,13.376497,10.898967,14.401403,0,-0.01744,0.00438,-0.02103,-0.01494,0.00548,-0.01112,0.01879,0.00687,0.00005,0.09808,3.27668,6.062196
0.033,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.102539,36.265270,86.675491,75.580811,1.116499,5.330423,5.394953,0.000000,1,0,14.988294,4.301458,15.671206,6.021963,13.640059,6.040820,1,0,18.061537,0,3.835336,6.059832,12.426378,8.282501,15.582491,8.739345,13.253541,9.045047,12.755970,9.300577,12.163823,9.612112,13.721606,10.867731,13.388026,10.906190,14.411299,0,-0.01718,0.00287,-0.02130,-0.01409,0.01000,-0.01175,-0.00312,-0.00418,0.00005,0.09802,3.27642,6.059243
