"Time","56 FLl Sw of","55 FLl Sw on","52 HLl Sw of","v3 R COP","70 RDS cle","34 FRx (cm)","29 HRx (cm)","v5 L COP","71 LDS cle","37a CoMy (cm)","32 FLx (cm)","57 FLr Sw on","58 FLr Sw of","53 HLr Sw on","51 HLl Sw on","27 HLx (cm)","54 HLr Sw of","67 xCoM","v7 xCoM","3 Platform","2 Trdml","37b CoMy (cm)","37 CoMy (cm)","66 rm dwn st","65 rm dwn sw","64 rmp up st","63 rmp up sw","62 Ramp down","61 Ramp up","50 Sinus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Rump up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","36 CoMx (cm)","60 Right DS","59 Left DS","v6 L Mos","v4 R Mos","34a FRx (cm)","31 Keyboard","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","1 Synch","29a HRx (cm)","69 L marks","68 R marks","28 HLy (cm)","33 FLy (cm)","35 FRy (cm)","30 HRy (cm)","v2 Virtual","v1 Virtual","32a FLx (cm)","27a HLx (cm)"
0.022,0,0,0,4.495993,1,14.990984,10.110312,0.000000,0,0.292180,13.069332,0,0,0,0,10.600890,0,5.588756,5.588756,-1.48402,0.09748,5.643328,-0.833619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145.848038,51.421532,75.650909,82.323776,12.404099,1,0,-5.588958,1.092965,-0.125611,0,8.459874,14.834040,8.035136,9.690382,8.167967,9.151842,8.578987,8.739874,8.701150,10.331593,10.109745,9.867121,10.321086,10.866593,0,-0.01050,0.00953,-0.01924,-0.01365,0.00776,0.00283,0.00140,0.00312,3.27761,-12.444195,0,0,7.186701,6.124503,4.595297,4.406380,-0.155633,154.489304,13.069332,10.590773
0.023,0,0,0,4.495993,1,14.994047,10.092664,0.000000,0,0.204132,13.057971,0,0,0,0,10.604781,0,5.585329,5.585329,-1.48134,0.09740,5.652644,-0.885209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.149918,52.569569,75.278717,81.926994,12.383685,1,0,-5.585396,1.089404,-0.261356,0,8.458195,14.840269,8.036584,9.678327,8.165775,9.133444,8.586524,8.736705,8.702014,10.329545,10.105047,9.858374,10.315565,10.857205,0,-0.01288,0.00258,-0.02000,-0.01307,0.00870,-0.00123,0.00904,0.00195,3.27685,-12.484577,0,0,7.186066,6.124669,4.597565,4.404410,-0.207812,154.345367,13.057971,10.590741
0.024,0,0,0,4.495993,1,14.997724,10.080616,0.000000,0,0.028866,13.042968,0,0,0,0,10.611279,0,5.581623,5.581623,-1.47948,0.09760,5.654769,-0.943225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142.764816,53.521248,74.982826,81.628891,12.369172,1,0,-5.581676,1.085684,-0.388316,0,8.454245,14.850644,8.037088,9.668702,8.163326,9.120912,8.591503,8.734463,8.702775,10.327679,10.104129,9.851555,10.311382,10.849667,0,-0.01846,0.00533,-0.01909,-0.01395,0.00887,-0.01244,0.00269,0.00253,3.27656,-12.503128,0,0,7.185482,6.125014,4.599916,4.401344,-0.266606,154.167755,13.042968,10.593002
0.025,0,0,0,4.495993,1,15.001845,10.072624,0.000000,0,-0.209558,13.025329,0,0,0,0,10.619663,0,5.577713,5.577713,-1.48192,0.09781,5.651688,-1.005894,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.606369,54.330734,74.742203,81.402237,12.358931,1,0,-5.577875,1.081882,-0.508916,0,8.448648,14.864020,8.036910,9.660839,8.160691,9.112627,8.594630,8.732890,8.703460,10.325944,10.105946,9.846131,10.308167,10.843466,0,-0.01396,0.00372,-0.02120,-0.01193,0.00797,-0.01107,0.00622,0.00158,3.27664,-12.505869,0,0,7.184935,6.125488,4.602327,4.397483,-0.330191,153.965744,13.025329,10.596924
0.026,0,0,0,4.495993,1,15.005966,10.064631,0.000000,0,-0.447981,13.007689,0,0,0,0,10.628049,0,5.573804,5.573804,-1.48012,0.09765,5.648607,-1.068564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.447937,55.140221,74.501572,81.175591,12.348690,1,0,-5.573941,1.077949,-0.629516,0,8.443052,14.877398,8.036732,9.652977,8.158055,9.104342,8.597756,8.731318,8.704145,10.324209,10.107762,9.840708,10.304953,10.837265,0,-0.02103,-0.00452,-0.01922,-0.01441,0.00844,-0.01335,0.00567,0.00280,3.27680,-12.508612,0,0,7.184388,6.125962,4.604738,4.393623,-0.393775,153.763733,13.007689,10.600846
0.027,0,0,0,4.495993,1,15.010088,10.056640,0.000000,0,-0.686405,12.990049,0,0,0,0,10.636434,0,5.569894,5.569894,-1.48060,0.09753,5.645526,-1.131233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.289490,55.949707,74.260948,80.948936,12.338449,1,0,-5.569941,1.073948,-0.750117,0,8.437456,14.890774,8.036553,9.645114,8.155420,9.096058,8.600883,8.729745,8.704830,10.322474,10.109579,9.835284,10.301739,10.831064,0,-0.01518,-0.00458,-0.02028,-0.01177,0.00749,-0.01127,0.01378,0.00203,3.27703,-12.511353,0,0,7.183842,6.126436,4.607149,4.389762,-0.457360,153.561722,12.990049,10.604768
0.028,0,0,0,4.495993,1,15.013689,10.048424,0.000000,0,-0.921858,12.974091,0,0,0,0,10.640024,0,5.565911,5.565911,-1.48052,0.09774,5.644223,-1.197288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138.235367,56.695660,74.065735,80.895187,12.321987,1,0,-5.565860,1.069868,-0.870161,0,8.433478,14.908868,8.035854,9.636039,8.152981,9.086838,8.605368,8.727724,8.704417,10.319483,10.110250,9.830414,10.298401,10.824723,0,-0.01524,0.00327,-0.02041,-0.01534,0.00826,-0.01206,0.00459,0.00080,3.27704,-12.482739,0,0,7.183204,6.126623,4.609434,4.385461,-0.524242,153.371765,12.974091,10.621376
0.029,0,0,0,4.495993,1,15.016912,10.040046,0.000000,0,-1.155161,12.959349,0,0,0,0,10.640141,0,5.561874,5.561874,-1.47899,0.09791,5.644208,-1.265795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.256760,57.395607,73.903412,80.966637,12.301021,1,0,-5.561739,1.065747,-0.989802,0,8.430674,14.930379,8.034779,9.626085,8.150684,9.076939,8.610837,8.725377,8.703209,10.315580,10.110092,9.825946,10.294974,10.818281,0,-0.01739,0.01557,-0.02121,-0.01364,0.00859,-0.01236,0.00532,0.00229,3.27689,-12.431419,0,0,7.182501,6.126603,4.611627,4.380840,-0.593514,153.190521,12.959349,10.647171
0.030,0,0,0,4.495137,1,15.020136,10.031668,0.000000,0,-1.388463,12.944606,0,0,0,0,10.640260,0,5.557837,5.557837,-1.47810,0.09771,5.644192,-1.334301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.278168,58.095554,73.741081,81.038094,12.280055,1,0,-5.557721,1.062584,-1.109443,0,8.427869,14.951889,8.033703,9.616132,8.148388,9.067039,8.616305,8.723030,8.702001,10.311679,10.109934,9.821477,10.291548,10.811839,0,-0.01660,0.00902,-0.01987,-0.01429,0.00804,-0.01191,0.00454,0.00147,3.27709,-12.380100,0,0,7.181797,6.126583,4.613820,4.376220,-0.662785,153.009277,12.944606,10.672966
0.031,0,0,0,4.493845,1,15.023359,10.023291,0.000000,0,-1.621766,12.929864,0,0,0,0,10.640377,0,5.553800,5.553800,-1.48013,0.09766,5.644177,-1.402808,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.299561,58.795502,73.578758,81.109543,12.259089,1,0,-5.553754,1.059909,-1.229085,0,8.425064,14.973400,8.032627,9.606178,8.146091,9.057140,8.621775,8.720684,8.700792,10.307776,10.109776,9.817009,10.288121,10.805397,0,-0.01878,0.00470,-0.01926,-0.01379,0.00807,-0.01199,0.00473,-0.00717,3.27754,-12.328780,0,0,7.181094,6.126563,4.616013,4.371599,-0.732057,152.828049,12.929864,10.698761
