"Time","64 sinus3","63 Ramp down","62 Ramp up","61 right DS","60 left DS","59 rHL swoff","58 rHL swon","57 lHL swoff","55 rFL swoff","56 lHL swon","54 rFL swon","53 lFL swoff","52 lFL swon","51 sinus2","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","37 CoMy (cm)","v3 xCoM","v4 R COP","36 CoMx (cm)","35 FRy (cm)","67 RDS cle","65 R mark","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v5 L COP","68 LDS cle","66 L mark","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","v2 Virtual","v1 Virtual"
0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.026566,21.262915,74.899017,73.477142,1.906794,4.917353,5.007678,0.000000,17.611996,4.526502,0,0,18.470661,5.941293,16.331387,0.000000,0,0,20.585651,0,3.156576,5.582919,14.524505,8.013947,18.511072,8.134974,16.672220,8.230201,15.893218,8.445173,15.255398,8.501467,16.655836,9.833163,16.230236,9.859183,17.166933,0,0.00088,0.00061,0.00202,0.00057,0.00063,0.00068,0.01538,0.00794,1.48404,0.09912,3.27685,,
0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.858490,21.443239,74.949631,73.281128,1.962716,4.918692,5.011706,0.000000,17.608999,4.527163,0,0,18.462332,5.940537,16.347872,0.000000,0,0,20.588451,0,3.159576,5.581757,14.514020,8.014128,18.504602,8.133401,16.678040,8.226657,15.892169,8.440668,15.255410,8.502180,16.658218,9.835537,16.232512,9.858021,17.165808,0,0.00084,0.00062,0.00209,0.00056,0.00064,0.00068,0.01534,0.00799,1.48305,0.09907,3.27647,,
0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.690399,21.623566,75.000244,73.085121,2.018637,4.920030,5.015846,0.000000,17.606003,4.527824,0,0,18.454004,5.939781,16.364357,0.000000,0,0,20.591251,0,3.162577,5.580594,14.503534,8.014310,18.498133,8.131828,16.683857,8.223113,15.891120,8.436163,15.255423,8.502893,16.660601,9.837910,16.234787,9.856859,17.164684,0,0.00082,0.00061,0.00224,0.00057,0.00064,0.00066,0.01566,0.00802,1.48631,0.09869,3.27676,,
0.030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.522324,21.803890,75.050865,72.889107,2.074559,4.921368,5.020009,0.000000,17.603006,4.528485,0,0,18.445677,5.939025,16.380842,0.000000,0,0,20.594049,0,3.165578,5.579432,14.493050,8.014491,18.491663,8.130256,16.689674,8.219568,15.890071,8.431657,15.255435,8.503607,16.662981,9.840283,16.237062,9.855698,17.163561,0,0.00080,0.00061,0.00211,0.00057,0.00063,0.00069,0.01582,0.00824,1.48433,0.09874,3.27729,,
0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.239944,22.034920,75.001968,72.653053,2.133468,4.923103,5.024435,0.000000,17.602339,4.529006,0,0,18.430342,5.940567,16.392279,0.000000,0,0,20.596409,0,3.168887,5.575459,14.482684,8.009884,18.490152,8.130307,16.692728,8.216768,15.888786,8.426414,15.259415,8.504482,16.667418,9.838758,16.235037,9.855575,17.162010,0,0.00080,0.00062,0.00213,0.00057,0.00063,0.00070,0.01611,0.00882,1.48378,0.09899,3.27749,,
0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.918243,22.283394,74.918839,72.403221,2.193405,4.924975,5.028916,0.000000,17.602470,4.529480,0,0,18.412596,5.942900,16.401976,0.000000,0,0,20.598614,0,3.172303,5.570518,14.472362,8.003628,18.490349,8.130918,16.694828,8.214223,15.887421,8.420918,15.264761,8.505414,16.672560,9.835894,16.231531,9.855809,17.160313,0,0.00078,0.00061,0.00209,0.00057,0.00064,0.00072,0.01490,0.00924,1.48426,0.09883,3.27757,,
0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.596542,22.531868,74.835709,72.153397,2.253343,4.926847,5.033665,0.000000,17.602602,4.529953,0,0,18.394850,5.945232,16.411673,0.000000,0,0,20.600821,0,3.175719,5.565578,14.462038,7.997372,18.490545,8.131527,16.696930,8.211679,15.886055,8.415421,15.270106,8.506346,16.677702,9.833028,16.228025,9.856045,17.158615,0,0.00078,0.00060,0.00213,0.00057,0.00064,0.00069,0.01568,0.00948,1.48609,0.09858,3.27753,,
0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.274841,22.780342,74.752579,71.903564,2.313280,4.928719,5.038471,0.000000,17.602734,4.530427,0,0,18.377104,5.947566,16.421370,0.000000,0,0,20.603027,0,3.179135,5.560638,14.451715,7.991117,18.490742,8.132137,16.699030,8.209133,15.884690,8.409925,15.275453,8.507277,16.682844,9.830162,16.224520,9.856279,17.156918,0,0.00077,0.00061,0.00208,0.00057,0.00065,0.00068,0.01641,0.00959,1.48449,0.09869,3.27746,,
0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.828232,23.154461,74.608650,71.526573,2.372713,4.930860,5.043427,0.000000,17.603909,4.530645,0,0,18.362593,5.950620,16.429293,0.000000,0,0,20.606344,0,3.182961,5.561055,14.441337,7.994843,18.470057,8.134589,16.705076,8.205738,15.887898,8.405315,15.281092,8.510386,16.690022,9.829432,16.223452,9.857125,17.156824,0,0.00080,0.00061,0.00207,0.00058,0.00066,0.00067,0.01640,0.00962,1.47371,0.09880,3.27732,,
0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.338638,23.571810,74.443802,71.105820,2.431973,4.933093,5.048415,0.000000,17.605442,4.530775,0,0,18.349194,5.953922,16.436604,0.000000,0,0,20.610043,0,3.186927,5.563315,14.430939,8.002005,18.442188,8.137673,16.712482,8.202051,15.892682,8.401011,15.286833,8.514243,16.697899,9.829438,16.223221,9.858181,17.157282,0,0.00078,0.00061,0.00204,0.00058,0.00066,0.00068,0.01648,0.00937,1.48335,0.09872,3.27717,,
