"Time","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus rmp","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","37 CoMy (cm)","v1 xCoM","v2 R COP","66 RDS cle","64 R mark","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v3 L COP","67 LDS cle","65 L mark","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","28a HLy (cm)"
0.021,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.470383,49.859116,86.541733,42.724369,3.341636,4.987547,5.167531,0.000000,0,0,11.567567,4.521126,14.261480,4.964118,10.734937,0.000000,0,0,13.945587,0,3.960381,6.670850,9.012467,8.106832,14.200892,8.174920,10.551598,8.181542,9.810684,8.334048,9.077390,9.249262,10.257953,10.224248,9.414518,10.111402,10.453940,0,-0.01672,0.00375,-0.02059,-0.02026,0.00880,-0.01203,0.00449,0.00173,0.15637,0.10029,3.27674,6.686594
0.022,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.266220,50.075771,86.322052,42.602737,3.531629,4.991553,5.177311,0.000000,0,0,11.563672,4.523310,14.253482,5.228346,10.726686,0.000000,0,0,13.967612,0,3.961424,6.670850,9.004950,8.110504,14.196285,8.175022,10.537717,8.183377,9.800353,8.336890,9.068242,9.251821,10.252975,10.227710,9.409170,10.113291,10.449595,0,-0.01414,0.00242,-0.02084,-0.01235,0.00847,-0.01057,0.00566,0.00387,0.18229,0.10024,3.27671,6.686179
0.023,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.062073,50.292427,86.102364,42.481102,3.721621,4.995558,5.187092,0.000000,0,0,11.559776,4.525495,14.245483,5.492575,10.718434,0.000000,0,0,13.989637,0,3.962467,6.670850,8.997433,8.114178,14.191678,8.175125,10.523836,8.185212,9.790023,8.339731,9.059095,9.254380,10.247996,10.231172,9.403821,10.115179,10.445250,0,-0.01968,0.00427,-0.01927,-0.01339,0.00912,-0.01282,0.00637,0.00406,0.21099,0.10043,3.27679,6.685764
0.024,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.824265,50.491726,85.913330,42.491333,3.912130,4.999363,5.197096,0.000000,0,0,11.550958,4.528164,14.237534,5.613066,10.709702,0.000000,0,0,14.009486,0,3.964773,6.672815,8.989235,8.115641,14.184497,8.175168,10.512360,8.187510,9.774976,8.345368,9.052061,9.256638,10.243316,10.232653,9.397705,10.115757,10.438225,0,-0.01962,0.00219,-0.02086,-0.00799,0.00853,-0.01280,0.00483,0.00244,0.23499,0.10037,3.27699,6.679174
0.025,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.557114,50.675880,85.751045,42.616646,4.103091,5.002993,5.207296,0.000000,0,0,11.537843,4.531259,14.229627,5.608125,10.700548,0.000000,0,0,14.027436,0,3.968180,6.676496,8.980443,8.115173,14.175068,8.175159,10.502982,8.190208,9.755812,8.353443,9.046871,9.258632,10.238895,10.232404,9.390919,10.115192,10.428863,0,-0.01684,0.00475,-0.02003,-0.00341,0.00739,-0.01146,0.00602,0.00404,0.25784,0.10020,3.27729,6.667195
0.026,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.289948,50.860031,85.588753,42.741955,4.294052,5.006622,5.217496,0.000000,0,0,11.524727,4.534352,14.221719,5.603183,10.691396,0.000000,0,0,14.045387,0,3.971588,6.680176,8.971650,8.114707,14.165640,8.175150,10.493605,8.192908,9.736649,8.361519,9.041681,9.260626,10.234474,10.232155,9.384131,10.114627,10.419499,0,-0.01697,0.00393,-0.01965,-0.00307,0.00812,-0.01256,0.00662,0.00317,0.28474,0.10019,3.27748,6.655216
0.027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.022781,51.044182,85.426468,42.867264,4.485013,5.010252,5.227697,0.000000,0,0,11.511612,4.537446,14.213812,5.598241,10.682242,0.000000,0,0,14.063337,0,3.974995,6.683856,8.962858,8.114240,14.156212,8.175140,10.484226,8.195608,9.717485,8.369594,9.036491,9.262620,10.230054,10.231907,9.377345,10.114061,10.410136,0,-0.01945,0.00400,-0.02025,-0.00586,0.00807,-0.01269,0.00455,0.00187,0.31099,0.10030,3.27755,6.643236
0.028,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.883163,51.087212,85.362595,43.028019,4.677899,5.014534,5.238371,0.000000,0,0,11.510240,4.540262,14.206021,5.591815,10.673053,1.883430,0,0,14.077554,0,3.979162,6.685571,8.953607,8.119010,14.152431,8.176105,10.477425,8.197263,9.706442,8.373878,9.030119,9.264386,10.226059,10.233755,9.372746,10.119162,10.403032,0,-0.01928,0.00384,-0.02029,-0.01896,0.00797,-0.01210,0.00486,0.00337,0.36041,0.10020,3.27747,6.640022
0.029,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,166.854858,51.007088,85.384613,43.219700,4.872467,5.019386,5.249461,0.000000,0,0,11.519114,4.542835,14.198332,5.584091,10.663831,4.940948,0,1,14.088511,0,3.983991,6.685571,8.943953,8.128350,14.153576,8.177920,10.472870,8.198005,9.702485,8.374855,9.022714,9.265954,10.222437,10.237433,9.370056,10.129206,10.397901,0,-0.01752,0.00362,-0.02065,-0.00965,0.00890,-0.01214,0.00441,0.00238,0.38807,0.10015,3.27724,6.644456
0.030,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.826553,50.926964,85.406624,43.411381,5.067033,5.024238,5.260550,0.000000,0,0,11.527989,4.545408,14.190643,5.576367,10.654609,6.118081,1,0,14.099470,0,3.988820,6.685571,8.934299,8.137690,14.154722,8.179735,10.468316,8.198747,9.698528,8.375832,9.015308,9.267523,10.218814,10.241112,9.367366,10.139250,10.392768,0,-0.01903,0.00270,-0.01953,-0.01637,0.00859,-0.01193,0.00930,0.00368,0.41234,0.10034,3.27713,6.648890
