"Time","60 right DS","59 left DS","37a CoMy (cm)","37 CoMy (cm)","v1 xCoM","v3 L COP","v2 R COP","3 Platform"
0.100,1,1,2.177194,5.088991,5.173200,5.897316,3.777118,1.48115
0.101,1,1,2.206433,5.091366,5.175211,5.898554,3.779597,1.48356
0.102,1,1,2.235672,5.093742,5.177221,5.900118,3.782276,1.48251
0.103,1,1,2.230621,5.096227,5.179011,5.902859,3.786366,1.48347
0.104,1,1,2.214262,5.098749,5.180727,5.905836,3.790737,1.48149
0.105,1,1,2.197903,5.101270,5.182443,5.907647,3.794044,1.48326
0.106,1,1,2.181544,5.103792,5.184159,5.909226,3.797138,1.48310
0.107,1,1,2.147713,5.106008,5.185592,5.907623,3.797111,1.48153
0.108,1,1,2.108121,5.108124,5.186931,5.905385,3.796462,1.48338
0.109,1,1,2.068529,5.110239,5.188270,5.901833,3.796196,1.48000
0.110,1,1,2.028936,5.112355,5.189610,5.898018,3.796005,1.48243
0.111,1,1,1.978312,5.114312,5.190533,5.895263,3.799618,1.48295
0.112,1,1,1.924049,5.116216,5.191319,5.892720,3.803986,1.48342
0.113,1,1,1.869787,5.118121,5.192106,5.890944,3.808084,1.48314
0.114,1,1,1.815524,5.120025,5.192892,5.889322,3.812127,1.48552
0.115,1,1,1.760869,5.121666,5.193144,5.887659,3.811354,1.48583
0.116,1,1,1.706085,5.123219,5.193219,5.885987,3.809623,1.48330
0.117,1,1,1.651301,5.124773,5.193294,5.884531,3.805986,1.48432
0.118,1,1,1.596517,5.126326,5.193369,5.883118,3.801970,1.48274
0.119,1,1,1.545569,5.127947,5.192874,5.882433,3.800054,1.48347
0.120,1,1,1.495886,5.129591,5.192192,5.881894,3.798556,1.48545
0.121,1,1,1.446203,5.131234,5.191508,5.882388,3.798577,1.48598
0.122,1,1,1.396520,5.132878,5.190825,5.883088,3.798900,1.48508
0.123,1,1,1.344624,5.134196,5.189596,5.884534,3.799329,1.48351
0.124,1,1,1.291998,5.135407,5.188187,5.886129,3.799779,1.48381
0.125,1,1,1.239372,5.136618,5.186778,5.885760,3.801013,1.48498
0.126,1,1,1.186746,5.137829,5.185368,5.885000,3.802402,1.48085
0.127,1,1,1.134275,5.138925,5.183530,5.880208,3.805282,1.48322
0.128,1,1,1.081855,5.139982,5.181551,5.874613,3.808457,1.48157
0.129,1,1,1.029436,5.141040,5.179573,5.868900,3.811274,1.48381
0.130,1,1,0.977016,5.142097,5.177593,5.863165,3.814018,1.48452
0.131,1,1,0.915058,5.143052,5.175264,5.861523,3.814682,1.48359
0.132,1,1,0.849955,5.143972,5.172820,5.860697,3.814931,1.48380
0.133,1,1,0.784852,5.144892,5.170376,5.861856,3.815218,1.48371
0.134,1,1,0.719749,5.145812,5.167931,5.863410,3.815513,1.48402
0.135,1,1,0.651183,5.146490,5.165176,5.863691,3.818013,1.48265
0.136,1,1,0.581475,5.147088,5.162319,5.863719,3.820952,1.48326
0.137,1,1,0.511768,5.147686,5.159461,5.862093,3.823575,1.48517
0.138,1,1,0.442060,5.148283,5.156604,5.860139,3.826136,1.48437
0.139,1,1,0.361615,5.148713,5.153388,5.856975,3.825671,1.48528
0.140,1,1,0.277630,5.149087,5.150054,5.853570,3.824603,1.48343
0.141,1,1,0.193645,5.149461,5.146719,5.849444,3.822955,1.48377
0.142,1,1,0.109659,5.149835,5.143385,5.845176,3.821191,1.48299
0.143,1,1,0.023367,5.149788,5.139648,5.840847,3.821665,1.48284
0.144,1,1,-0.063685,5.149604,5.135778,5.836506,3.822584,1.48477
0.145,1,1,-0.150738,5.149419,5.131908,5.833473,3.823666,1.48295
0.146,1,1,-0.237790,5.149235,5.128038,5.830699,3.824780,1.48425
0.147,1,1,-0.326389,5.148928,5.123713,5.830134,3.823713,1.48452
0.148,1,1,-0.415498,5.148582,5.119239,5.830009,3.822210,1.48337
