"Time","66 RDS cle","64 R marks","63 sinus","62 Ramp down","61 Ramp up","60 right DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 simus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 Sw offset","44 Sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","67 LDS cle","v2 R COP","v3 L COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","65 L marks","59 left DS","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.035660,50.778538,86.729225,56.659931,0,0.000000,0.000000,4.311600,-5.734730,4.533494,13.712176,3.860128,14.632586,4.912098,11.967002,0,0,15.969500,0,3.827816,5.400580,10.504020,7.613836,14.832956,7.629386,12.095196,7.745651,11.491225,8.022474,10.968369,8.611008,12.315123,9.841949,11.696227,9.735506,12.559632,0,-0.01650,0.00183,-0.02215,-0.01376,0.01237,-0.01249,0.00693,0.00263,-1.11755,0.09496,3.27667
0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.370087,50.436726,86.574844,56.570435,0,0.000000,0.000000,4.310534,-5.490316,4.527781,13.694470,3.861171,14.620471,4.904832,11.956038,0,0,15.894251,0,3.828688,5.402268,10.494435,7.616045,14.822366,7.631039,12.089641,7.750019,11.479280,8.024652,10.950940,8.614720,12.297145,9.843612,11.675521,9.743484,12.537038,0,-0.01768,0.00352,-0.01913,-0.01378,0.00831,-0.01353,0.00487,0.00248,-1.10106,0.12414,3.27667
0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.704514,50.094910,86.420464,56.480934,0,0.000000,0.000000,4.309691,-5.245902,4.522068,13.676764,3.862214,14.608356,4.897567,11.945074,0,0,15.819001,0,3.829560,5.403957,10.484851,7.618253,14.811776,7.632691,12.084085,7.754387,11.467334,8.026829,10.933512,8.618434,12.279168,9.845273,11.654816,9.751461,12.514442,0,-0.01724,0.00431,-0.02033,-0.01363,0.00790,-0.01239,0.00547,0.00358,-1.08383,0.10767,3.27673
0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.038940,49.753098,86.266083,56.391438,0,0.000000,0.000000,4.309092,-5.001488,4.516354,13.659060,3.863256,14.596241,4.890301,11.934111,0,0,15.743752,0,3.830432,5.405646,10.475266,7.620461,14.801187,7.634344,12.078528,7.758755,11.455389,8.029006,10.916083,8.622148,12.261190,9.846934,11.634109,9.759439,12.491847,0,-0.01483,0.00311,-0.02021,-0.01339,0.01202,-0.01304,0.00222,0.00305,-1.06623,0.11932,3.27688
0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.231400,49.498962,86.043266,56.270203,0,0.000000,0.000000,4.308698,-4.755173,4.511627,13.642735,3.864370,14.584321,4.883092,11.923498,0,0,15.668570,0,3.831351,5.407413,10.465819,7.623302,14.788141,7.637249,12.072870,7.762518,11.443226,8.030289,10.899123,8.625565,12.244677,9.848734,11.612811,9.764150,12.470285,0,-0.01725,0.00262,-0.02086,-0.01183,0.00768,-0.01298,0.00354,0.00259,-1.04592,0.10548,3.27704
0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.209106,49.377453,85.716927,56.100964,0,0.000000,0.000000,4.308529,-4.505980,4.508392,13.628498,3.865590,14.572696,4.875970,11.913417,0,0,15.593489,0,3.832341,5.409299,10.456583,7.627097,14.771383,7.642049,12.067058,7.765365,11.430736,8.030216,10.882869,8.628534,12.230375,9.850741,11.590616,9.763918,12.450289,0,-0.01755,0.00298,-0.02138,-0.01344,0.00645,-0.01243,0.00694,0.00259,-1.00768,0.09770,3.27719
0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.186813,49.255939,85.390594,55.931725,0,0.000000,0.000000,4.308562,-4.256788,4.505157,13.614263,3.866811,14.561070,4.868848,11.903337,0,0,15.518407,0,3.833331,5.411184,10.447347,7.630893,14.754625,7.646849,12.061245,7.768212,11.418244,8.030144,10.866614,8.631504,12.216075,9.852749,11.568421,9.763687,12.430291,0,-0.01771,0.00263,-0.02065,-0.01357,0.00813,-0.01274,0.00154,0.00239,-0.98921,0.10539,3.27716
0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.164520,49.134430,85.064255,55.762489,0,0.000000,0.000000,4.308814,-4.007596,4.501923,13.600026,3.868032,14.549445,4.861726,11.893255,0,0,15.443326,0,3.834321,5.413070,10.438110,7.634688,14.737867,7.651649,12.055432,7.771060,11.405754,8.030072,10.850360,8.634474,12.201774,9.854756,11.546226,9.763456,12.410294,0,-0.01815,0.00209,-0.02094,-0.01330,0.01191,-0.01209,0.00839,0.00263,-0.97079,0.09618,3.27686
0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.146698,49.079430,84.775215,55.622246,0,0.000000,0.000000,4.309270,-3.787700,4.498864,13.586046,3.869190,14.538025,4.854836,11.883144,0,0,15.368215,0,3.835361,5.415023,10.429114,7.636948,14.723882,7.656158,12.047647,7.772633,11.394772,8.029037,10.837146,8.637622,12.188548,9.853366,11.522986,9.765431,12.388476,0,-0.01711,0.00300,-0.02066,-0.01339,-0.00480,-0.01199,0.00371,0.00012,-0.95085,0.08669,3.27670
0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.135605,49.125034,84.542603,55.525867,0,0.000000,0.000000,4.309948,-3.612114,4.496070,13.572453,3.870254,14.526915,4.848295,11.872989,0,0,15.293057,0,3.836478,5.417080,10.420481,7.636884,14.714087,7.660230,12.036880,7.772278,11.386070,8.026544,10.828529,8.641042,12.176950,9.846835,11.498167,9.770744,12.363907,0,-0.01785,0.00430,-0.02057,-0.01423,0.01057,-0.01249,0.00351,0.00275,-0.93197,0.11878,3.27678
