"Time","66 RDS cle","64 R marks","63 sinus","62 Ramp down","61 Ramp up","60 right DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 simus rmp","49 St rmp dw","48 Sw rmp dw","47 St rmp up","46 Sw rmp up","45 Sw offset","44 Sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","67 LDS cle","v2 R COP","v3 L COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","65 L marks","59 left DS","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.879532,58.169819,99.693871,112.115875,0,0.000000,0.000000,5.443140,-3.927179,5.578536,14.897693,4.912138,17.725681,6.235323,11.505721,0,0,16.203827,0,4.852368,6.548355,12.566805,8.084064,18.035368,7.646081,11.694443,7.875121,11.284888,8.530804,11.041786,8.193268,12.498783,9.479544,13.016064,9.473713,13.900649,0,-0.01543,0.00248,-0.01852,-0.01281,0.00796,-0.01212,0.00348,0.00130,-1.48243,0.10422,3.27678
0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.978806,58.929634,100.084946,112.436386,0,0.000000,0.000000,5.450299,-3.490870,5.573733,14.903069,4.909771,17.736174,6.234195,11.496022,0,0,16.193037,0,4.852692,6.549411,12.581543,8.086385,18.051386,7.642972,11.681949,7.880203,11.273918,8.536349,11.039207,8.199936,12.496771,9.483136,13.023329,9.477221,13.906325,0,-0.01714,0.00355,-0.02212,-0.01348,0.00959,-0.01320,0.00585,-0.00408,-1.47789,0.11826,3.27665
0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.859177,59.741798,100.412178,112.680611,0,0.000000,0.000000,5.457830,-3.019139,5.570749,14.907071,4.907315,17.746740,6.233083,11.486383,0,0,16.182350,0,4.852927,6.550681,12.595968,8.087387,18.064915,7.640934,11.668770,7.885793,11.263213,8.542561,11.038943,8.205791,12.494729,9.487216,13.031881,9.478642,13.913447,0,-0.01802,0.00419,-0.01996,-0.01326,0.00958,-0.01096,0.00543,0.00411,-1.47808,0.09799,3.27627
0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.739548,60.553963,100.739418,112.924835,0,0.000000,0.000000,5.465794,-2.547408,5.567764,14.911073,4.904860,17.757307,6.231972,11.476746,0,0,16.171665,0,4.853161,6.551951,12.610394,8.088389,18.078442,7.638895,11.655590,7.891382,11.252509,8.548773,11.038679,8.211647,12.492687,9.491296,13.040434,9.480062,13.920569,0,-0.01287,0.00368,-0.01832,-0.01279,0.00883,-0.01255,0.00607,-0.00004,-1.47892,0.10127,3.27648
0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.619919,61.366127,101.066650,113.169060,0,0.000000,0.000000,5.474122,-2.075677,5.564779,14.915074,4.902404,17.767874,6.230860,11.467107,0,0,16.160978,0,4.853396,6.553222,12.624821,8.089392,18.091970,7.636856,11.642410,7.896972,11.241804,8.554984,11.038415,8.217504,12.490646,9.495376,13.048985,9.481483,13.927691,0,-0.02263,0.00534,-0.02020,-0.01382,0.00914,-0.01337,0.00495,0.00492,-1.47867,0.12315,3.27739
0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.554901,62.154335,101.371109,113.442490,0,0.000000,0.000000,5.482815,-1.649451,5.563417,14.918751,4.900019,17.778502,6.229736,11.457751,0,0,16.150042,0,4.853492,6.554748,12.638829,8.087006,18.102039,7.634912,11.629792,7.902304,11.229526,8.561116,11.036568,8.222770,12.488089,9.497928,13.055092,9.482106,13.933064,0,-0.01964,0.00320,-0.02131,-0.01340,0.00686,-0.01104,0.00504,0.00433,-1.47895,0.10272,3.27779
0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.553467,62.914646,101.649040,113.749931,0,0.000000,0.000000,5.491816,-1.276217,5.563943,14.922050,4.897718,17.789204,6.228598,11.448725,0,0,16.138811,0,4.853426,6.556571,12.652353,8.080674,18.108078,7.633078,11.617826,7.907336,11.215415,8.567157,11.032878,8.227350,12.484929,9.498701,13.058349,9.481802,13.936401,0,-0.02430,0.00408,-0.01975,-0.01254,0.00777,-0.01125,0.00417,-0.00162,-1.47910,0.09716,3.27756
0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.552032,63.674957,101.926971,114.057373,0,0.000000,0.000000,5.501068,-0.902983,5.564469,14.925350,4.895417,17.799904,6.227459,11.439698,0,0,16.127581,0,4.853360,6.558395,12.665876,8.074343,18.114117,7.631243,11.605862,7.912368,11.201303,8.573196,11.029188,8.231931,12.481770,9.499474,13.061605,9.481498,13.939738,0,-0.01454,0.00291,-0.01935,-0.01334,0.00835,-0.01165,0.00251,0.00468,-1.47841,0.10805,3.27750
0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.550598,64.435265,102.204903,114.364815,0,0.000000,0.000000,5.510531,-0.529748,5.564995,14.928650,4.893116,17.810606,6.226321,11.430671,0,0,16.116350,0,4.853294,6.560219,12.679399,8.068011,18.120157,7.629409,11.593897,7.917400,11.187193,8.579237,11.025498,8.236511,12.478610,9.500247,13.064863,9.481194,13.943075,0,-0.02010,0.00400,-0.01906,-0.01193,0.00825,-0.01256,0.00434,0.00131,-1.47851,0.10766,3.27766
0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.487976,65.176956,102.478676,114.727722,0,0.000000,0.000000,5.520154,-0.217063,5.566040,14.932979,4.890894,17.820896,6.225181,11.421589,0,0,16.104795,0,4.853185,6.562289,12.692682,8.059908,18.131718,7.626860,11.579981,7.922729,11.174275,8.585111,11.022584,8.240666,12.475542,9.501179,13.069474,9.481516,13.947601,0,-0.02872,0.00301,-0.01949,-0.01432,0.01522,-0.01015,0.00512,0.00269,-1.47692,0.11213,3.27771
