"Time","67 LDS cle","66 RDS cle","65 L marks","64 R marks","63 sinus 2","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","v3 L COP","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.978043,60.247250,89.936699,55.358917,0.000000,4.333251,1.870861,4.241750,12.806079,3.774479,15.961164,5.472390,0,3.042305,11.772702,0.000000,13.484441,4.778261,10.383107,8.516574,16.442656,8.174186,12.040395,8.270749,11.317545,8.634996,10.744718,9.350069,12.163640,10.585197,11.535992,10.465170,12.395960,0,-0.02277,0.00382,-0.02074,-0.01234,0.00910,-0.01186,0.00231,0.00345,0.00003,0.11450,3.27652
0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.550095,60.680073,90.033264,55.457233,0.000000,4.340179,1.971081,4.243775,12.807549,3.783632,15.999681,5.472172,0,3.041984,11.762156,0.000000,13.474500,4.780835,10.407884,8.516006,16.483551,8.173165,12.030673,8.269734,11.303466,8.644494,10.735139,9.353564,12.154506,10.590064,11.529556,10.469755,12.393843,0,-0.01612,0.00351,-0.01986,-0.01337,0.00760,-0.01371,0.00459,0.00179,0.00015,0.11998,3.27667
0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.122131,61.112896,90.129829,55.555550,0.000000,4.347102,2.071301,4.245800,12.809018,3.792785,16.038198,5.471954,0,3.041664,11.751609,0.000000,13.464560,4.783409,10.432661,8.515437,16.524446,8.172144,12.020950,8.268720,11.289387,8.653992,10.725559,9.357059,12.145372,10.594932,11.523120,10.474340,12.391725,0,-0.02033,0.00428,-0.02064,-0.01022,0.01186,-0.01339,0.00441,0.00341,0.00031,0.10453,3.27675
0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.703033,61.535816,90.225113,55.652527,0.000000,4.354004,2.171165,4.247837,12.810471,3.801945,16.076319,5.471731,0,3.041356,11.741017,0.000000,13.454618,4.786015,10.457375,8.514734,16.564974,8.171199,12.010986,8.267853,11.275328,8.663047,10.715998,9.360527,12.136233,10.599814,11.516715,10.478857,12.389585,0,-0.01840,0.00349,-0.02043,-0.01600,0.00738,-0.01189,0.00528,0.00364,-0.00003,0.07276,3.27682
0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.496399,61.721046,90.289864,55.717400,0.000000,4.360765,2.262464,4.250169,12.811493,3.811273,16.104868,5.471383,0,3.041370,11.729357,0.000000,13.444654,4.789404,10.480575,8.510807,16.596645,8.172046,11.995199,8.270523,11.261751,8.661485,10.706847,9.363329,12.126991,10.605080,11.511030,10.481738,12.386878,0,-0.01805,0.00405,-0.02000,-0.01331,0.00791,-0.01129,-0.00045,0.00316,-0.00009,0.10619,3.27667
0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.289749,61.906273,90.354607,55.782272,0.000000,4.367534,2.353764,4.252501,12.812515,3.820601,16.133417,5.471035,0,3.041384,11.717696,0.000000,13.434691,4.792792,10.503774,8.506879,16.628317,8.172893,11.979412,8.273192,11.248176,8.659922,10.697697,9.366131,12.117748,10.610346,11.505345,10.484619,12.384172,0,-0.01844,0.00306,-0.02107,-0.01279,0.00974,-0.01229,0.00531,0.00208,-0.00012,0.11241,3.27653
0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,152.083115,62.091503,90.419350,55.847141,0.000000,4.374360,2.445063,4.254832,12.813538,3.829929,16.161966,5.470687,0,3.041398,11.706036,0.000000,13.424727,4.796181,10.526974,8.502951,16.659986,8.173739,11.963626,8.275863,11.234599,8.658360,10.688545,9.368933,12.108505,10.615611,11.499660,10.487500,12.381467,0,-0.01553,0.00322,-0.02213,-0.01718,0.00630,-0.01237,0.00622,0.00217,0.00010,0.08793,3.27691
0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.868118,62.282944,90.478470,55.911991,0.000000,4.381221,2.536251,4.257181,12.814478,3.839238,16.190187,5.470357,0,3.041428,11.694351,0.000000,13.414755,4.799582,10.550082,8.498940,16.690996,8.174637,11.948123,8.278544,11.221113,8.657316,10.679305,9.371765,12.099388,10.620897,11.494130,10.490401,12.378920,0,-0.01760,0.00408,-0.02062,-0.00992,0.00934,-0.01384,0.00488,0.00336,0.00007,0.08683,3.27728
0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.452820,62.623493,90.402611,55.976238,0.000000,4.388330,2.624772,4.259937,12.813459,3.848106,16.210533,5.470459,0,3.041858,11.682090,0.000000,13.404562,4.803289,10.571026,8.492924,16.706125,8.176730,11.939435,8.281511,11.209797,8.668726,10.667920,9.375347,12.093283,10.626657,11.492304,10.493785,12.380182,0,-0.01617,0.00402,-0.02024,-0.01437,0.00858,-0.01332,0.00577,0.00308,0.00014,0.10548,3.27713
0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151.037506,62.964043,90.326752,56.040485,0.000000,4.395433,2.713292,4.262693,12.812440,3.856974,16.230879,5.470562,0,3.042288,11.669829,0.000000,13.394368,4.806997,10.591969,8.486909,16.721254,8.178824,11.930747,8.284477,11.198481,8.680136,10.656534,9.378929,12.087177,10.632416,11.490477,10.497169,12.381445,0,-0.01624,0.00397,-0.02058,-0.01382,0.00952,-0.01283,0.00776,0.00283,0.00003,0.11745,3.27697
0.030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.622208,63.304596,90.250893,56.104733,0.000000,4.402499,2.801812,4.265449,12.811421,3.865842,16.251225,5.470664,0,3.042718,11.657568,0.000000,13.384175,4.810704,10.612913,8.480893,16.736383,8.180918,11.922059,8.287443,11.187164,8.691545,10.645149,9.382511,12.081073,10.638175,11.488649,10.500552,12.382709,0,-0.01876,0.00332,-0.02061,-0.01249,0.00785,-0.01283,0.00549,0.00234,0.00015,0.08583,3.27682
0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.217575,63.639374,90.178917,56.174030,0.000000,4.409511,2.889420,4.268221,12.810469,3.874680,16.271261,5.470741,0,3.043178,11.645315,0.000000,13.373995,4.814422,10.633828,8.474764,16.751308,8.182954,11.913249,8.290556,11.175582,8.702909,10.633915,9.386039,12.074959,10.643905,11.486783,10.503891,12.383862,0,-0.01585,0.00374,-0.01967,-0.01431,0.00927,-0.01263,0.01263,0.00153,0.00024,0.06159,3.27669
0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.069244,63.835651,90.200050,56.364613,0.000000,4.416134,2.955112,4.271368,12.811102,3.882807,16.283882,5.470232,0,3.044345,11.633249,0.000000,13.364136,4.818388,10.654050,8.465886,16.761339,8.183589,11.901514,8.297185,11.157606,8.713160,10.626314,9.388252,12.068629,10.648912,11.483973,10.506152,12.382393,0,-0.01987,0.00352,-0.01989,-0.01306,0.00855,-0.01264,0.00284,0.00307,0.00012,0.11290,3.27738
0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.920929,64.031929,90.221176,56.555191,0.000000,4.422698,3.020803,4.274515,12.811736,3.890935,16.296505,5.469722,0,3.045512,11.621184,0.000000,13.354276,4.822355,10.674272,8.457009,16.771370,8.184225,11.889780,8.303815,11.139630,8.723411,10.618714,9.390466,12.062300,10.653919,11.481161,10.508414,12.380924,0,-0.01990,0.00302,-0.02085,-0.01321,0.00833,-0.01174,0.00306,0.00166,0.00003,0.10240,3.27802
0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.772598,64.228203,90.242310,56.745770,0.000000,4.428833,3.086495,4.277662,12.812370,3.899062,16.309126,5.469212,0,3.046680,11.609118,0.000000,13.344417,4.826321,10.694492,8.448132,16.781401,8.184861,11.878045,8.310444,11.121655,8.733661,10.611114,9.392680,12.055970,10.658927,11.478351,10.510675,12.379456,0,-0.01743,0.00349,-0.02053,-0.01391,0.00902,-0.01224,0.00428,0.00282,0.00009,0.07945,3.27726
0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.623566,64.419098,90.264931,56.939236,0.000000,4.434908,3.151152,4.280815,12.813026,3.907151,16.321516,5.468715,0,3.047847,11.597089,0.000000,13.334562,4.830335,10.714684,8.439246,16.791243,8.185444,11.866127,8.316837,11.104158,8.743731,10.603409,9.394805,12.049591,10.663857,11.475574,10.512956,12.378105,0,-0.02029,0.00300,-0.02035,-0.01321,0.00775,-0.01126,0.00520,0.00343,0.00019,0.07944,3.27653
0.036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.457794,64.480949,90.323372,57.201992,0.000000,4.440552,3.190970,4.284103,12.814218,3.914329,16.328333,5.468509,0,3.049020,11.585901,0.000000,13.324835,4.835484,10.734131,8.430169,16.796576,8.184750,11.849793,8.317579,11.098170,8.749475,10.593195,9.394808,12.042008,10.666920,11.473631,10.515684,12.379606,0,-0.01751,0.00404,-0.02102,-0.01477,0.00930,-0.01289,0.00487,0.00262,-0.00005,0.11494,3.27699
0.037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.292007,64.542801,90.381813,57.464748,0.000000,4.446104,3.230788,4.287391,12.815408,3.921507,16.335148,5.468303,0,3.050193,11.574715,0.000000,13.315108,4.840634,10.753579,8.421092,16.801908,8.184056,11.833460,8.318320,11.092181,8.755218,10.582982,9.394812,12.034425,10.669983,11.471687,10.518413,12.381107,0,-0.01890,0.00411,-0.01960,-0.01380,0.00773,-0.01273,0.00413,0.00306,0.00024,0.09690,3.27744
0.038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149.126221,64.604652,90.440254,57.727505,0.000000,4.450994,3.270607,4.290679,12.816599,3.928684,16.341965,5.468097,0,3.051366,11.563527,0.000000,13.305381,4.845783,10.773026,8.412015,16.807243,8.183362,11.817127,8.319062,11.086193,8.760962,10.572768,9.394814,12.026842,10.673047,11.469744,10.521141,12.382608,0,-0.01951,0.00399,-0.01964,-0.01462,0.00832,-0.01290,0.00623,0.00283,0.00012,0.07683,3.27759
0.039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.952026,64.674744,90.501831,57.983654,0.000000,4.455753,3.308397,4.293983,12.817784,3.935790,16.348616,5.467894,0,3.052535,11.552320,0.000000,13.295635,4.850945,10.792432,8.402951,16.812416,8.182727,11.801046,8.319858,11.079857,8.766739,10.562555,9.394828,12.019315,10.676100,11.467880,10.523803,12.384146,0,-0.01844,0.00358,-0.01970,-0.01387,0.00946,-0.01321,0.00624,0.00217,0.00027,0.10508,3.27773
0.040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.576019,64.942574,90.638596,58.081226,0.000000,4.459576,3.297507,4.297650,12.818824,3.941159,16.351299,5.467751,0,3.053604,11.540639,0.000000,13.285466,4.856385,10.810825,8.394217,16.813763,8.183485,11.791039,8.321954,11.065165,8.773345,10.552340,9.395082,12.013124,10.678898,11.467937,10.524855,12.386558,0,-0.01673,0.00388,-0.02038,-0.01330,0.00827,-0.01255,0.00437,0.00256,0.00003,0.12007,3.27750
0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148.199997,65.210403,90.775352,58.178799,0.213908,4.463243,3.286617,4.301318,12.819863,3.946528,16.353983,5.467607,0,3.054673,11.528958,0.000000,13.275297,4.861826,10.829218,8.385485,16.815109,8.184243,11.781033,8.324050,11.050471,8.779950,10.542125,9.395338,12.006934,10.681695,11.467992,10.525907,12.388970,0,-0.01725,0.00482,-0.02060,-0.01343,0.00870,-0.01394,0.00020,0.00110,0.00000,0.10570,3.27728
0.042,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,147.823975,65.478226,90.912117,58.276367,1.967251,4.465795,3.275726,4.304985,12.820903,3.951897,16.356667,5.467464,0,3.055743,11.517277,0.000000,13.265128,4.867267,10.847610,8.376751,16.816454,8.185001,11.771026,8.326147,11.035779,8.786556,10.531910,9.395593,12.000744,10.684493,11.468047,10.526958,12.391382,0,-0.01733,0.00352,-0.02074,-0.01485,0.00750,-0.01414,0.00487,0.00258,0.00000,0.08689,3.27713
