"Time","67 LDS cle","65 L mark","64 R mark","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","v3 L COP","v2 R COP","37 CoMy (cm)","v1 xCoM","36 CoMx (cm)","35 FRy (cm)","32 FLx (cm)","27 HLx (cm)","66 RDS cle","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.020,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168.100540,31.532875,84.386147,59.431404,-1.331721,0.000000,0.000000,4.116409,4.059757,7.528493,2.741180,8.752281,4.327758,0,9.929353,4.405113,0,3.114577,6.378006,4.240432,6.274165,9.738921,5.956766,6.341989,6.034585,5.723748,6.232000,5.135729,6.533734,6.389100,7.686119,6.006357,7.530557,6.647645,0,-0.01620,0.00300,-0.02256,-0.01176,0.00802,-0.01186,0.00451,0.00135,-1.44912,0.09000,3.27707
0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.730484,31.233955,83.911293,59.911636,-1.505490,0.000000,0.000000,4.115239,4.050920,7.533956,2.730343,8.742560,4.384958,0,9.963032,4.404619,0,3.114130,6.367390,4.211100,6.267624,9.778387,5.957755,6.333114,6.034890,5.709343,6.232723,5.124493,6.523521,6.383218,7.677399,6.002390,7.528877,6.611509,0,-0.01569,0.00399,-0.02050,-0.01560,0.00854,-0.01012,0.00595,0.00213,-1.45279,0.12476,3.27735
0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,167.119812,31.058157,83.296722,60.719948,-1.706045,0.000000,0.000000,4.113523,4.041307,7.538600,2.718374,8.733052,4.441658,0,9.991879,4.404260,0,3.113658,6.356627,4.181717,6.262035,9.819088,5.957699,6.324563,6.035893,5.696412,6.234100,5.120507,6.512214,6.379003,7.669306,6.000902,7.553635,6.500798,0,-0.01708,0.00192,-0.02171,-0.00824,0.00815,-0.01150,0.00306,0.00266,-1.45874,0.11612,3.27758
0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166.509140,30.882359,82.682152,61.528259,-1.906599,0.000000,0.000000,4.111808,4.031185,7.543243,2.706404,8.723543,4.498359,0,10.020726,4.403901,0,3.113187,6.345864,4.152334,6.256445,9.859789,5.957644,6.316012,6.036896,5.683481,6.235476,5.116520,6.500906,6.374788,7.661212,5.999413,7.578393,6.390088,0,-0.01808,0.00301,-0.02006,-0.01155,0.00778,-0.00972,0.01404,-0.00885,-1.46679,0.09980,3.27767
0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.898468,30.706560,82.067574,62.336571,-2.107154,0.000000,0.000000,4.110092,4.020288,7.547887,2.694434,8.714035,4.555059,0,10.049574,4.403543,0,3.112715,6.335101,4.122951,6.250856,9.900490,5.957589,6.307461,6.037899,5.670549,6.236853,5.112535,6.489599,6.370573,7.653120,5.997924,7.603151,6.279377,0,-0.01531,0.00336,-0.01934,-0.01118,0.00822,-0.01283,0.00601,0.00059,-1.47009,0.09131,3.27744
0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.169495,30.551172,81.411118,62.929779,-2.318923,0.000000,0.000000,4.108094,4.008907,7.552912,2.682398,8.704481,4.605615,0,10.076192,4.403303,0,3.112362,6.324560,4.109605,6.241391,9.937396,5.957197,6.297429,6.038022,5.659494,6.241122,5.106198,6.477641,6.365042,7.643390,5.995891,7.608275,6.238284,0,-0.01724,0.00022,-0.02252,-0.02281,0.00804,-0.01287,0.00127,-0.00032,-1.47360,0.10581,3.27738
0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.184433,30.439957,80.664001,63.057392,-2.554968,0.000000,0.000000,4.105483,3.996789,7.558763,2.670219,8.694828,4.642870,0,10.097983,4.403322,0,3.112267,6.314499,4.130973,6.223535,9.966089,5.956079,6.284189,6.036243,5.652499,6.251652,5.094774,6.464272,6.356663,7.630116,5.992679,7.570900,6.347884,0,-0.01526,0.00365,-0.02194,-0.01961,0.00759,-0.01347,0.00763,-0.00015,-1.47620,0.09500,3.27768
0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163.199356,30.328743,79.916885,63.185009,-2.791012,0.000000,0.000000,4.102872,3.984228,7.564613,2.658039,8.685176,4.680125,0,10.119776,4.403341,0,3.112171,6.304439,4.152342,6.205679,9.994782,5.954961,6.270949,6.034464,5.645504,6.262183,5.083351,6.450904,6.348284,7.616843,5.989467,7.533525,6.457484,0,-0.02079,0.00288,-0.01875,-0.01515,0.00868,-0.01245,0.00211,0.00434,-1.47662,0.08396,3.27780
0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.214294,30.217529,79.169769,63.312622,-3.027056,0.000000,0.000000,4.100262,3.970992,7.570463,2.645859,8.675523,4.717380,0,10.141567,4.403360,0,3.112076,6.294378,4.173710,6.187823,10.023476,5.953844,6.257709,6.032686,5.638510,6.272713,5.071927,6.437536,6.339905,7.603570,5.986255,7.496149,6.567083,0,-0.01863,0.01060,-0.02026,-0.00486,0.00909,-0.01287,0.00667,0.00715,-1.47976,0.11259,3.27749
0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.553207,30.048655,78.534042,63.501217,-3.273235,0.000000,0.000000,4.097412,3.957347,7.577477,2.633708,8.666082,4.756643,0,10.161695,4.403604,0,3.112096,6.284540,4.193700,6.169125,10.050265,5.954153,6.244239,6.031511,5.629651,6.282776,5.060418,6.425509,6.332566,7.591518,5.983797,7.468127,6.643080,0,-0.01392,0.00241,-0.01602,-0.01282,0.00747,-0.01216,0.00505,-0.00884,-1.47997,0.11915,3.27719
0.030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.593399,29.754974,78.139442,63.821804,-3.541349,0.000000,0.000000,4.094045,3.943078,7.587008,2.621619,8.657100,4.800250,0,10.178219,4.404334,0,3.112368,6.275185,4.210707,6.148603,10.072933,5.957552,6.230270,6.031645,5.616759,6.291827,5.048726,6.416385,6.327479,7.582110,5.982970,7.460349,6.646341,0,-0.01872,0.00374,-0.01750,-0.01302,0.00817,-0.01215,0.00580,0.00334,-1.47291,0.09949,3.27688
0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.633591,29.461292,77.744843,64.142387,-3.809463,0.000000,0.000000,4.090678,3.928382,7.596539,2.609529,8.648117,4.843858,0,10.194742,4.405064,0,3.112640,6.265831,4.227714,6.128082,10.095600,5.960952,6.216302,6.031779,5.603867,6.300878,5.037033,6.407260,6.322392,7.572703,5.982143,7.452572,6.649602,0,-0.01691,0.00432,-0.02204,-0.01447,0.00897,-0.01291,0.00296,0.00096,-1.48032,0.08870,3.27679
0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.673782,29.167610,77.350243,64.462975,-4.077577,0.000000,0.000000,4.087311,3.913034,7.606071,2.597440,8.639134,4.887465,0,10.211267,4.405794,0,3.112911,6.256475,4.244720,6.107561,10.118268,5.964352,6.202333,6.031913,5.590975,6.309928,5.025341,6.398136,6.317304,7.563295,5.981317,7.444794,6.652863,0,-0.01729,0.00570,-0.02228,-0.01389,0.00891,-0.01220,0.00025,0.00198,-1.48151,0.11456,3.27717
0.033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.848251,28.846937,77.018021,64.808311,-4.350227,0.000000,0.000000,4.083479,3.897247,7.614912,2.585888,8.630132,4.932473,0,10.225945,4.406533,0,3.113177,6.247240,4.260931,6.088357,10.138961,5.966347,6.188073,6.034830,5.578477,6.316521,5.017113,6.389699,6.312752,7.555014,5.980984,7.437157,6.659265,0,-0.01586,0.00417,-0.01974,-0.01224,0.00883,-0.01323,0.00676,0.00255,-1.47958,0.10646,3.27741
0.034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.313431,28.467836,76.820831,65.207214,-4.632695,0.000000,0.000000,4.078642,3.880790,7.622262,2.575502,8.621082,4.980513,0,10.236632,4.407294,0,3.113428,6.238263,4.275418,6.072005,10.155379,5.965302,6.173180,6.043770,5.566833,6.317791,5.016387,6.382750,6.309356,7.549169,5.981723,7.429821,6.672466,0,-0.02011,0.00427,-0.02083,-0.01326,0.00973,-0.01231,0.00028,-0.00552,-1.47449,0.07669,3.27734
0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.778595,28.088737,76.623634,65.606125,-4.915162,0.000000,0.000000,4.073804,3.863981,7.629611,2.565116,8.612033,5.028552,0,10.247320,4.408055,0,3.113680,6.229285,4.289905,6.055654,10.171798,5.964256,6.158287,6.052710,5.555187,6.319060,5.015660,6.375801,6.305961,7.543324,5.982461,7.422486,6.685668,0,-0.01689,0.00360,-0.02089,-0.01376,0.00894,-0.01236,0.00825,-0.00818,-1.47213,0.08459,3.27719
