"Time","v3 L COP","v1 xCoM","37a CoMy (cm)","v2 R COP","66 RDS cle","64 Rmark cle","34 FRx (cm)","29 HRx (cm)","67 LDS cle","33 FLy (cm)","65 Lmark cle","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch"
0.097,0.000000,6.179217,6.580457,5.224995,1,0,17.810396,12.027290,1,6.609335,0,16.399351,4.707036,7.046273,13.968071,0.00029,0.07734,3.27776
0.098,0.000000,6.191654,6.701812,5.224779,1,0,17.798412,12.017946,1,6.634961,0,16.452061,4.706716,7.043522,13.955896,0.00019,0.09051,3.27783
0.099,0.000000,6.204175,6.823167,5.224540,1,0,17.786428,12.008601,1,6.660586,0,16.504772,4.706395,7.040771,13.943722,0.00000,0.10561,3.27785
0.100,0.000000,6.216904,6.944522,5.224244,1,0,17.774445,11.999256,1,6.686212,0,16.557482,4.706074,7.038019,13.931546,0.00000,0.11090,3.27762
0.101,0.000000,6.229581,7.063082,5.223966,1,0,17.762592,11.989809,1,6.711984,0,16.610384,4.705799,7.035408,13.919725,-0.00015,0.09110,3.27748
0.102,0.000000,6.242134,7.170867,5.223733,1,0,17.751247,11.979964,1,6.738320,0,16.664019,4.705698,7.033342,13.909269,0.00025,0.07197,3.27771
0.103,0.000000,6.254599,7.278652,5.223488,1,0,17.739904,11.970120,1,6.764656,0,16.717653,4.705598,7.031276,13.898813,-0.00012,0.09864,3.27774
0.104,0.000000,6.266850,7.386437,5.223210,1,0,17.728559,11.960277,1,6.790991,0,16.771288,4.705499,7.029210,13.888357,0.00000,0.11272,3.27698
0.105,0.000000,6.278986,7.488044,5.222881,1,0,17.717314,11.950522,1,6.815719,0,16.820646,4.705362,7.027288,13.877656,0.00015,0.10411,3.27643
0.106,0.000000,6.290839,7.565841,5.222426,1,0,17.706444,11.941117,1,6.834247,0,16.853523,4.705084,7.025926,13.866009,0.00002,0.09341,3.27673
0.107,0.000000,6.302455,7.643637,5.221948,1,0,17.695576,11.931711,1,6.852775,0,16.886402,4.704806,7.024564,13.854362,0.00013,0.07683,3.27702
0.108,0.000000,6.313491,7.721434,5.221414,1,0,17.684706,11.922306,1,6.871304,0,16.919279,4.704528,7.023201,13.842715,-0.00012,0.10531,3.27725
0.109,0.000000,6.324172,7.788212,5.220896,1,0,17.673803,11.912949,1,6.889781,0,16.953180,4.704274,7.022063,13.831111,-0.00013,0.10266,3.27741
0.110,0.000000,6.333976,7.812523,5.220420,1,0,17.662773,11.903777,1,6.908062,0,16.991020,4.704111,7.021791,13.819674,0.00013,0.10825,3.27725
0.111,0.000000,6.343424,7.836835,5.219970,1,0,17.651745,11.894606,1,6.926342,0,17.028862,4.703947,7.021517,13.808237,0.00013,0.09158,3.27712
