"Time","67 LDS cle","66 RDS cle","65 L marks","64 R marks","63 sinus 2","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","v3 L COP","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.033,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.952148,86.869507,113.864799,86.886192,0.000000,6.307275,-0.617318,6.337476,14.310089,5.667295,17.339376,6.869335,0,5.763190,11.323028,0.000000,15.589942,7.190843,12.223001,8.771027,17.879948,8.457961,11.614470,8.717072,11.132730,9.342112,11.022676,9.502439,12.600314,10.837236,13.025911,10.506967,13.878790,0,-0.01488,0.00412,-0.02010,-0.01264,0.00837,-0.01202,0.00771,0.00138,1.48417,0.12114,3.27702
0.034,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.704674,87.324547,114.056572,87.083092,0.000000,6.306722,-0.613406,6.336730,14.305277,5.668419,17.348000,6.869532,0,5.763340,11.313752,0.000000,15.579002,7.183541,12.236971,8.771240,17.883139,8.455479,11.605022,8.713864,11.120306,9.343120,11.015307,9.504287,12.593627,10.838152,13.022876,10.507402,13.876622,0,-0.01967,0.00402,-0.02052,-0.01494,0.00858,-0.01421,0.00370,0.00239,1.48395,0.10512,3.27717
0.035,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.457207,87.779579,114.248352,87.279991,0.000000,6.306167,-0.609495,6.335983,14.300466,5.669542,17.356621,6.869728,0,5.763488,11.304477,0.000000,15.568063,7.176240,12.250942,8.771454,17.886328,8.452996,11.595574,8.710656,11.107882,9.344129,11.007940,9.506133,12.586941,10.839067,13.019840,10.507838,13.874454,0,-0.01595,0.00385,-0.02169,-0.01373,0.00844,-0.01194,0.00643,0.00290,1.48380,0.08748,3.27720
0.036,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.209740,88.234619,114.440125,87.476891,0.000000,6.305610,-0.605583,6.335237,14.295654,5.670666,17.365244,6.869925,0,5.763638,11.295201,0.000000,15.557123,7.168939,12.264913,8.771668,17.889519,8.450515,11.586127,8.707449,11.095458,9.345137,11.000572,9.507979,12.580254,10.839982,13.016804,10.508274,13.872287,0,-0.01796,0.00301,-0.01966,-0.01431,0.00739,-0.01289,0.00515,0.00254,1.48408,0.09764,3.27689
0.037,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.097504,88.611603,114.619392,87.678215,0.000000,6.305182,-0.600929,6.334564,14.290662,5.671813,17.374025,6.870195,0,5.763628,11.285984,0.000000,15.546037,7.161679,12.278534,8.771791,17.892967,8.448209,11.574838,8.705657,11.083699,9.346319,10.993637,9.509802,12.573735,10.840964,13.014171,10.508765,13.870485,0,-0.01089,0.00376,-0.02169,-0.01358,0.00943,-0.01270,0.00478,0.00260,1.48461,0.11590,3.27667
0.038,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.309998,88.801132,114.768631,87.890190,0.000000,6.304966,-0.594492,6.334066,14.285236,5.673015,17.383196,6.870646,0,5.763234,11.276909,0.000000,15.534596,7.154517,12.291313,8.771694,17.897034,8.446326,11.559127,8.707267,11.073535,9.347917,10.987741,9.511568,12.567621,10.842106,13.012504,10.509387,13.869566,0,-0.01805,0.00240,-0.02111,-0.01372,0.00771,-0.01302,0.00193,0.00178,1.48453,0.10111,3.27667
0.039,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.522499,88.990662,114.917870,88.102158,0.000000,6.304773,-0.588054,6.333569,14.279811,5.674218,17.392366,6.871095,0,5.762841,11.267834,0.000000,15.523155,7.147356,12.304092,8.771597,17.901100,8.444444,11.543415,8.708877,11.063371,9.349515,10.981843,9.513333,12.561508,10.843247,13.010838,10.510010,13.868646,0,-0.01859,0.00539,-0.02111,-0.01377,0.00235,-0.01288,0.00505,0.00255,1.48451,0.07651,3.27672
0.040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.734993,89.180191,115.067108,88.314125,0.000000,6.304619,-0.581617,6.333071,14.274385,5.675420,17.401537,6.871545,0,5.762448,11.258758,0.000000,15.511715,7.140195,12.316872,8.771501,17.905167,8.442561,11.527704,8.710486,11.053206,9.351113,10.975946,9.515099,12.555394,10.844390,13.009171,10.510632,13.867725,0,-0.01756,0.00367,-0.01936,-0.01309,0.01086,-0.01198,0.00310,0.00331,1.48292,0.08900,3.27687
0.041,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.790161,89.376839,115.197739,88.493858,0.000000,6.304357,-0.576755,6.332551,14.269712,5.676489,17.410866,6.871967,0,5.761974,11.249772,0.000000,15.500319,7.133009,12.329464,8.771175,17.909786,8.441599,11.512654,8.711637,11.044056,9.353096,10.969893,9.516720,12.549126,10.845201,13.007177,10.511251,13.866792,0,-0.01656,0.00235,-0.02015,-0.01403,0.00553,-0.01212,0.00643,0.00295,1.48478,0.10502,3.27689
0.042,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126.467506,89.590561,115.283684,88.596184,0.000000,6.303915,-0.575674,6.331976,14.266845,5.677236,17.420576,6.872321,0,5.761308,11.241002,0.000000,15.489033,7.125763,12.341610,8.770302,17.915739,8.442849,11.499191,8.711680,11.037341,9.356002,10.963466,9.517996,12.542485,10.845220,13.004401,10.511864,13.865823,0,-0.01677,0.00415,-0.01996,-0.01328,0.00832,-0.01373,0.00541,0.00107,1.48437,0.10375,3.27659
