"Time","67 LDS cle","65 L mark","64 R mark","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","v3 L COP","v2 R COP","37 CoMy (cm)","v1 xCoM","36 CoMx (cm)","35 FRy (cm)","32 FLx (cm)","27 HLx (cm)","66 RDS cle","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.020,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.730347,42.620262,81.276085,83.975769,-2.344835,0.000000,3.039958,4.157586,4.057319,16.374275,2.683410,17.190022,13.862405,1,18.331495,4.622493,0,3.397564,14.604841,4.643854,6.151557,18.987532,6.105054,14.988160,6.242974,14.419593,6.743647,13.969518,6.584968,15.262913,7.798872,15.257136,7.714353,16.022411,0,-0.02132,0.00391,-0.02060,-0.01324,0.00847,-0.01013,0.00429,0.00269,1.48622,0.07551,3.27736
0.021,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.856705,43.387878,80.589348,84.257309,-2.298808,0.000000,3.035836,4.155283,4.056925,16.372190,2.674106,17.180700,13.903529,1,18.329609,4.622546,0,3.398235,14.594317,4.646095,6.133618,18.981642,6.107041,14.976940,6.237354,14.416309,6.757974,13.978626,6.578084,15.263037,7.791184,15.254052,7.711618,16.019527,0,-0.01938,0.00247,-0.01949,-0.01419,0.00778,-0.01450,0.00325,-0.00650,1.48436,0.09997,3.27682
0.022,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.983063,44.155491,79.902603,84.538841,-2.252781,0.000000,3.031775,4.152979,4.056511,16.370106,2.664803,17.171379,13.944654,1,18.327723,4.622600,0,3.398906,14.583794,4.648337,6.115678,18.975750,6.109029,14.965719,6.231735,14.413026,6.772300,13.987734,6.571201,15.263160,7.783496,15.250968,7.708883,16.016644,0,-0.01787,0.00339,-0.02101,-0.01767,0.00923,-0.01422,0.00519,0.00497,1.48309,0.10740,3.27606
0.023,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.189896,44.438812,79.745232,84.959145,-2.224870,0.000000,3.028396,4.150886,4.055744,16.364975,2.657284,17.161098,13.986363,1,18.320312,4.623041,0,3.400143,14.573181,4.649375,6.102918,18.967375,6.111272,14.953368,6.230491,14.398149,6.776397,13.985638,6.566366,15.254286,7.776950,15.242783,7.705894,16.012508,0,-0.01625,0.00339,-0.02029,-0.01202,0.00862,-0.01181,0.00615,0.00586,1.48424,0.09652,3.27664
0.024,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.650162,44.608532,79.712021,85.412003,-2.201210,0.000000,3.025101,4.148842,4.054934,16.359129,2.650185,17.150589,14.028210,1,18.311605,4.623573,0,3.401512,14.562548,4.650132,6.091372,18.958418,6.113575,14.940751,6.230274,14.380554,6.778093,13.980913,6.562012,15.243300,7.770671,15.233400,7.702845,16.008080,0,-0.01907,0.00253,-0.01999,-0.01297,0.00923,-0.01099,0.00462,0.00354,1.48340,0.09524,3.27756
0.025,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.110428,44.778252,79.678818,85.864853,-2.177549,0.000000,3.022515,4.146798,4.053761,16.353283,2.643085,17.140081,14.070055,1,18.302900,4.624105,0,3.402882,14.551914,4.650888,6.079827,18.949461,6.115877,14.928134,6.230056,14.362958,6.779790,13.976189,6.557657,15.232315,7.764392,15.224018,7.699797,16.003653,0,-0.01982,0.00317,-0.01979,-0.01642,0.00778,-0.01315,-0.00285,0.00089,1.48427,0.10763,3.27744
0.026,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.570694,44.947971,79.645615,86.317711,-2.153889,0.000000,3.020016,4.144754,4.052543,16.347437,2.635986,17.129574,14.111901,1,18.294193,4.624637,0,3.404252,14.541281,4.651645,6.068282,18.940502,6.118180,14.915518,6.229838,14.345363,6.781487,13.971464,6.553302,15.221330,7.758114,15.214635,7.696748,15.999223,0,-0.01660,0.00336,-0.01984,-0.01071,0.00809,-0.01309,0.00511,-0.00275,1.48360,0.10070,3.27705
0.027,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.570084,44.780304,79.719589,86.645493,-2.148088,0.000000,3.018164,4.142769,4.050974,16.343479,2.631341,17.119482,14.153428,1,18.282133,4.624932,0,3.405304,14.531089,4.651823,6.060236,18.930264,6.118106,14.899172,6.227943,14.333294,6.780811,13.957860,6.550303,15.208859,7.755031,15.206148,7.698241,15.990682,0,-0.01935,0.00424,-0.02074,-0.01437,0.00885,-0.01166,-0.00056,0.00290,1.48602,0.08279,3.27679
0.028,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.695938,44.533497,79.818710,86.943932,-2.146476,0.000000,3.016391,4.140798,4.049363,16.339964,2.627274,17.109489,14.194880,1,18.269283,4.625173,0,3.406282,14.520999,4.651865,6.053012,18.919724,6.117475,14.881951,6.225655,14.322522,6.779579,13.942172,6.547621,15.196042,7.752698,15.197870,7.700799,15.981174,0,-0.01765,0.00253,-0.02002,-0.01334,0.00847,-0.01208,0.00473,0.00256,1.48294,0.10227,3.27657
0.029,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.821793,44.286690,79.917824,87.242371,-2.144864,0.000000,3.014994,4.138827,4.047273,16.336449,2.623205,17.099497,14.236331,1,18.256435,4.625413,0,3.407260,14.510910,4.651906,6.045788,18.909184,6.116843,14.864731,6.223367,14.311750,6.778347,13.926485,6.544939,15.183225,7.750366,15.189593,7.703358,15.971668,0,-0.01817,0.00217,-0.02234,-0.01334,0.00946,-0.01132,0.00487,0.00381,1.48392,0.10623,3.27701
