"Time","59 lHL swoff","58 lHL swon","57 rHL swoff","56 rHL swon","55 lFL swoff","54 lFL swon","53 rFL swoff","52 rFL swon","v1 xCoM","37a CoMy (cm)","v2 R COP","66 RDS cle","64 Rmark cle","34 FRx (cm)","29 HRx (cm)","v3 L COP","67 LDS cle","33 FLy (cm)","65 Lmark cle","32 FLx (cm)","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","3 Platform","2 Trdml","1 Synch","63 Ramp down","62 Ramp up","61 right DS","60 left DS","51 CoM peak","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","31 Keyboard","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM"
0.020,0,0,0,0,0,0,0,0,6.564882,-2.220309,0.000000,0,0,14.228490,9.992127,0.000000,0,6.923967,0,16.509182,5.347095,7.469374,10.347171,1.48431,0.10482,3.27691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.632156,43.702454,81.375710,88.611954,6.668554,13.407248,5.833219,0,8.958187,14.178465,9.370062,9.858981,9.827400,9.698305,10.434086,9.536080,9.734772,10.739155,10.905453,11.243680,10.591690,11.957298,0,-0.01294,0.00576,-0.01842,-0.01306,0.00925,-0.01182,0.00598,0.00150
0.021,0,0,0,0,0,0,0,0,6.564995,-2.174567,0.000000,0,0,14.217759,10.034241,0.000000,0,6.920312,0,16.510454,5.342970,7.468640,10.338162,1.48529,0.08748,3.27709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.591721,41.915459,81.191505,88.252960,6.666294,13.409652,5.832598,0,8.961855,14.168053,9.369608,9.938149,9.812792,9.745258,10.433554,9.534249,9.743570,10.745282,10.912961,11.249026,10.597946,11.963235,0,-0.02151,0.00418,-0.02019,-0.01384,0.00722,-0.01283,0.00670,0.00278
0.022,0,0,0,0,0,0,0,0,6.565741,-2.098343,0.000000,0,0,14.206942,10.078279,0.000000,0,6.917745,0,16.510174,5.340250,7.468052,10.329125,1.48489,0.11058,3.27693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.025772,41.963417,80.658203,87.595871,6.664092,13.410522,5.831882,0,8.967573,14.157834,9.394387,9.928846,9.855524,9.742312,10.466567,9.548199,9.749769,10.758183,10.925261,11.255379,10.605998,11.970982,0,-0.01830,0.00199,-0.02214,-0.01290,0.00822,-0.01223,0.00404,0.01989
0.023,0,0,0,0,0,0,0,0,6.566909,-2.022118,0.000000,0,0,14.196124,10.122319,0.000000,0,6.915179,0,16.509892,5.337531,7.467465,10.320087,1.48475,0.10543,3.27696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.459808,42.011372,80.124901,86.938774,6.661889,13.411392,5.831165,0,8.973291,14.147616,9.419167,9.919544,9.898256,9.739367,10.499580,9.562149,9.755969,10.771085,10.937561,11.261730,10.614050,11.978728,0,-0.01812,0.00432,-0.02114,-0.01409,0.00929,-0.01204,-0.00899,0.00552
0.024,0,0,0,0,0,0,0,0,6.568758,-1.945894,0.000000,0,0,14.185306,10.166359,0.000000,0,6.912612,0,16.509611,5.334811,7.466878,10.311050,1.48677,0.09362,3.27742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.893860,42.059330,79.591606,86.281685,6.659686,13.412263,5.830449,0,8.979011,14.137398,9.443947,9.910241,9.940989,9.736421,10.532593,9.576098,9.762168,10.783986,10.949862,11.268083,10.622102,11.986476,0,-0.01801,0.00573,-0.02054,-0.01262,0.00853,-0.01227,0.00460,0.01060
0.025,0,0,0,0,0,0,0,0,6.571068,-1.856271,0.000000,0,0,14.174395,10.210543,0.000000,0,6.910483,0,16.509029,5.333078,7.466350,10.302004,1.48196,0.08785,3.27765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173.667038,41.680717,79.239388,85.648865,6.657581,13.413681,5.829778,0,8.984636,14.129191,9.467057,9.913037,9.967666,9.740285,10.548819,9.588980,9.766389,10.798676,10.960373,11.273909,10.629370,11.993866,0,-0.01758,0.00333,-0.02458,-0.01343,0.00898,-0.01373,-0.00454,0.00164
0.026,0,0,0,0,0,0,0,0,6.574122,-1.735386,0.000000,0,0,14.163264,10.255064,0.000000,0,6.909378,0,16.507746,5.333647,7.465961,10.292940,1.48423,0.11919,3.27735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.231491,40.306786,79.309700,85.072693,6.655704,13.416377,5.829213,0,8.990048,14.125679,9.486274,9.944062,9.956878,9.760038,10.525874,9.599366,9.765996,10.817540,10.966711,11.278510,10.634809,12.000425,0,-0.01754,0.00313,-0.02100,-0.01358,0.00893,-0.01201,0.00827,0.00721
0.027,0,0,0,0,0,0,0,0,6.577665,-1.614500,0.000000,0,0,14.152135,10.299584,1.372466,0,6.908272,0,16.506462,5.334216,7.465573,10.283875,1.48507,0.10497,3.27720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174.795944,38.932850,79.380013,84.496529,6.653826,13.419074,5.828647,0,8.995460,14.122168,9.505489,9.975088,9.946091,9.779792,10.502930,9.609754,9.765603,10.836404,10.973049,11.283111,10.640249,12.006985,0,-0.01666,0.00444,-0.01917,-0.01292,0.00872,-0.01199,0.01313,-0.00031
0.028,0,0,0,0,1,0,0,0,6.581998,-1.493614,0.000000,0,0,14.141005,10.344106,4.965308,0,6.907166,1,16.505177,5.334785,7.465184,10.274811,1.47944,0.08439,3.27743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175.360397,37.558918,79.450325,83.920357,6.651949,13.421770,5.828082,0,9.000871,14.118655,9.524706,10.006113,9.935304,9.799545,10.479984,9.620141,9.765210,10.855268,10.979388,11.287711,10.645689,12.013544,0,-0.01694,0.00331,-0.02047,-0.01357,0.00866,-0.01142,-0.00414,0.00490
0.029,0,0,0,0,0,0,0,0,6.586849,-1.357927,0.000000,0,0,14.129951,10.388186,7.185596,1,6.906521,0,16.503426,5.336247,7.464753,10.265723,1.48510,0.08833,3.27757,0,0,0,1,0,0,0,0,0,0,0,0,0,0,176.018997,36.146645,79.537186,83.345131,6.650204,13.423998,5.827519,0,9.006351,14.117998,9.536128,10.040591,9.928705,9.824316,10.462038,9.630545,9.765492,10.872559,10.985054,11.291951,10.650802,12.019072,0,-0.01738,0.00322,-0.02079,-0.01414,0.00835,-0.01305,0.01436,0.00030
