"1 Chan 1","2 Chan 2","3 Chan 3"
"0.066553","0.0168578","0.007904"
"0.065639","0.0171213","0.007085"
"0.064236","0.0172843","0.006334"
"0.062964","0.0172515","0.005614"
"0.060940","0.0171913","0.004971"
"0.058387","0.0170918","0.004490"
"0.055879","0.0170080","0.003968"
"0.053828","0.0169407","0.003482"
"0.051613","0.0168436","0.003054"
"0.049277","0.0166082","0.002717"
"0.046879","0.0163240","0.002535"
"0.044245","0.0160194","0.002598"
"0.041329","0.0157267","0.002903"
"0.038325","0.0155022","0.003336"
"0.035612","0.0154988","0.003734"
"0.032375","0.0157255","0.004118"
"0.029290","0.0160488","0.004509"
"0.027148","0.0163895","0.004750"
"0.025168","0.0168576","0.004929"
"0.023204","0.0173206","0.005194"
"0.021395","0.0177662","0.005487"
"0.019836","0.0181943","0.005802"
"0.018353","0.0186316","0.006150"
"0.016879","0.0191740","0.006452"
"0.015259","0.0200475","0.006484"
"0.013590","0.0210521","0.006477"
"0.012151","0.0218365","0.006287"
"0.011218","0.0224088","0.005978"
"0.011005","0.0227512","0.005586"
"0.010808","0.0229398","0.005243"
"0.010480","0.0231460","0.004955"
"0.009908","0.0232970","0.004725"
"0.009215","0.0235608","0.004446"
"0.008461","0.0238664","0.004195"
"0.007654","0.0242863","0.003896"
"0.006813","0.0246984","0.003572"
"0.005958","0.0250434","0.003283"
"0.005129","0.0250883","0.003077"
"0.004320","0.0249666","0.002894"
"0.003673","0.0245902","0.003016"
"0.003050","0.0241641","0.003220"
"0.002415","0.0239264","0.003498"
"0.001788","0.0236965","0.003808"
"0.001346","0.0234717","0.004139"
"0.001163","0.0232333","0.004455"
"0.001108","0.0227117","0.004835"
"0.001067","0.0221279","0.005210"
"0.001066","0.0213374","0.005675"
"0.001141","0.0204169","0.006168"
"0.001254","0.0194661","0.006626"
"0.001358","0.0187097","0.007056"
"0.001427","0.0181066","0.007512"
"0.001472","0.0178132","0.007895"
"0.001531","0.0175988","0.008257"
"0.001596","0.0173700","0.008594"
"0.001664","0.0171452","0.008838"
"0.001736","0.0168768","0.009048"
"0.001780","0.0167495","0.009200"
"0.001788","0.0167621","0.009322"
"0.001799","0.0168786","0.009405"
"0.001706","0.0176055","0.009191"
"0.001654","0.0183062","0.008809"
"0.001628","0.0189870","0.008357"
"0.001644","0.0192415","0.008006"
"0.001585","0.0197338","0.007578"
"0.001559","0.0200763","0.007239"
"0.001563","0.0203941","0.006805"
"0.001571","0.0205086","0.006433"
"0.001567","0.0204767","0.006112"
"0.001506","0.0203749","0.005946"
"0.001464","0.0202733","0.005816"
"0.001386","0.0203796","0.005626"
"0.001266","0.0209937","0.005469"
"0.001175","0.0215792","0.005464"
"0.001097","0.0218617","0.005672"
"0.001100","0.0215237","0.005914"
"0.001134","0.0207515","0.006313"
"0.001111","0.0202579","0.006721"
"0.001021","0.0204257","0.006850"
"0.001012","0.0201799","0.006963"
"0.000994","0.0198691","0.007063"
"0.000974","0.0194530","0.007174"
"0.000970","0.0192637","0.007198"
"0.000976","0.0192449","0.007203"
"0.001066","0.0190921","0.007186"
"0.001159","0.0187549","0.007224"
"0.001277","0.0182063","0.007308"
"0.001475","0.0170064","0.007313"
"0.001630","0.0161711","0.006962"
"0.001768","0.0155227","0.006551"
"0.001867","0.0151756","0.006420"
"0.001905","0.0150352","0.006417"
"0.001961","0.0147099","0.006432"
"0.002037","0.0141487","0.006483"
"0.002092","0.0136977","0.006692"
"0.002153","0.0132786","0.006840"
"0.002216","0.0127595","0.007073"
"0.002229","0.0122381","0.007477"
"0.002231","0.0117034","0.007934"
"0.002209","0.0113959","0.008240"
"0.002190","0.0112438","0.008317"
"0.002161","0.0111074","0.008309"
"0.002099","0.0111921","0.008303"
"0.002086","0.0108574","0.008538"
"0.002101","0.0104835","0.008764"
"0.002176","0.0099950","0.008941"
"0.002219","0.0098174","0.008984"
"0.002262","0.0095664","0.009052"
"0.002297","0.0093037","0.009427"
"0.002301","0.0091124","0.009913"
"0.002345","0.0089661","0.010324"
"0.002582","0.0092496","0.010509"
"0.003351","0.0094033","0.010340"
"0.004123","0.0095136","0.010634"
"0.004660","0.0097614","0.011258"
"0.004809","0.0099583","0.012348"
"0.004851","0.0102196","0.013184"
"0.005065","0.0101315","0.014180"
"0.005476","0.0100029","0.015398"
"0.005795","0.0099936","0.016917"
"0.006015","0.0102078","0.018371"
"0.005873","0.0104952","0.019224"
"0.005765","0.0107045","0.019870"
"0.005806","0.0108009","0.020420"
"0.005930","0.0107741","0.020723"
"0.005992","0.0108235","0.021177"
"0.005884","0.0105988","0.021288"
"0.005309","0.0105983","0.021306"
"0.004748","0.0106373","0.020696"
"0.004774","0.0104771","0.019848"
"0.005005","0.0103156","0.018805"
"0.005320","0.0102887","0.018078"
"0.005121","0.0106027","0.017197"
"0.004702","0.0109762","0.015929"
"0.004397","0.0111333","0.014362"
"0.004169","0.0109652","0.012819"
"0.004287","0.0107327","0.011845"
"0.004371","0.0106335","0.011043"
"0.004328","0.0106786","0.010159"
"0.004271","0.0107509","0.009430"
"0.004180","0.0110989","0.008557"
"0.004048","0.0113838","0.008184"
"0.003872","0.0114602","0.008452"
"0.003759","0.0112209","0.009135"
"0.003492","0.0110644","0.009738"
"0.003386","0.0110198","0.010430"
"0.003273","0.0110190","0.010591"
"0.003344","0.0108619","0.010727"
"0.003348","0.0107149","0.011117"
"0.003424","0.0108451","0.011330"
"0.003466","0.0111202","0.011581"
"0.003567","0.0113188","0.011553"
"0.003605","0.0113238","0.011669"
"0.003804","0.0112807","0.011940"
"0.004555","0.0112821","0.012388"
"0.006122","0.0108233","0.014002"
"0.008610","0.0105629","0.015872"
"0.011394","0.0103302","0.017726"
"0.014558","0.0105871","0.018507"
"0.020085","0.0105847","0.019815"
"0.025219","0.0105423","0.020899"
"0.030156","0.0103295","0.022402"
"0.035596","0.0102247","0.023893"
"0.042212","0.0100087","0.025142"
"0.049460","0.0096153","0.026549"
"0.056327","0.0092673","0.028240"
"0.062701","0.0089609","0.030494"
"0.069219","0.0087713","0.032570"
"0.075565","0.0086980","0.034461"
"0.081333","0.0086916","0.036109"
"0.085895","0.0089049","0.036785"
"0.088263","0.0091177","0.037332"
"0.089471","0.0094842","0.037143"
"0.090026","0.0096312","0.037557"
"0.087952","0.0100463","0.037359"
"0.086398","0.0104059","0.037280"
"0.084635","0.0107755","0.037339"
"0.081433","0.0110985","0.037564"
"0.077101","0.0114804","0.037618"
"0.072123","0.0118765","0.037207"
"0.068123","0.0122435","0.036308"
"0.065402","0.0125228","0.035045"
"0.063170","0.0127835","0.033890"
"0.060885","0.0130374","0.032640"
"0.058529","0.0132928","0.031219"
"0.056558","0.0134617","0.029574"
"0.055778","0.0135837","0.027679"
"0.055825","0.0135566","0.026155"
"0.055899","0.0135877","0.024725"
"0.055688","0.0136987","0.023273"
"0.055352","0.0139690","0.021600"
"0.055473","0.0143678","0.019752"
"0.056348","0.0149524","0.017675"
"0.056868","0.0156701","0.015763"
"0.056318","0.0164662","0.014250"
"0.054408","0.0172955","0.012937"
"0.051486","0.0181162","0.011777"
"0.047949","0.0188533","0.010614"
"0.044699","0.0195030","0.009479"
"0.041691","0.0201028","0.008427"
"0.038860","0.0208294","0.007399"
"0.036106","0.0218102","0.006395"
"0.033242","0.0229587","0.005432"
"0.030624","0.0240555","0.004518"
"0.028612","0.0249702","0.003693"
"0.026620","0.0258369","0.003014"
"0.024582","0.0266475","0.002545"
"0.022875","0.0273136","0.002186"
"0.021555","0.0279235","0.001907"
"0.021220","0.0284702","0.001604"
"0.021686","0.0290048","0.001273"
"0.022061","0.0296764","0.000915"
"0.022358","0.0307115","0.000559"
"0.022145","0.0318487","0.000285"
"0.021904","0.0327576","0.000263"
"0.021631","0.0333554","0.000495"
"0.021321","0.0335451","0.000858"
"0.020667","0.0337363","0.001239"
"0.019780","0.0339110","0.001681"
"0.018554","0.0341223","0.002158"
"0.017274","0.0343759","0.002617"
"0.015964","0.0347439","0.003024"
"0.014660","0.0351296","0.003387"
"0.013340","0.0354876","0.003733"
"0.012012","0.0358033","0.004090"
"0.010696","0.0359969","0.004472"
"0.009892","0.0358931","0.004708"
"0.009424","0.0354383","0.004829"
"0.009138","0.0349077","0.004829"
"0.008624","0.0347126","0.004668"
"0.007983","0.0347463","0.004334"
"0.007374","0.0348228","0.003971"
"0.007300","0.0345998","0.003590"
"0.007402","0.0342009","0.003224"
"0.007628","0.0335609","0.002875"
"0.007913","0.0326267","0.002632"
"0.008272","0.0314164","0.002464"
"0.008694","0.0301842","0.002335"
"0.009163","0.0290455","0.002181"
