"1 Chan 1","2 Chan 2","3 Chan 3","4 Chan 4"
0.011182,"0.034445","0.005262","0.024065"
0.011627,"0.034394","0.005223","0.024378"
0.012122,"0.034298","0.005180","0.024599"
0.012678,"0.034317","0.005142","0.024895"
0.013257,"0.034242","0.005096","0.025333"
0.013877,"0.034113","0.005065","0.025780"
0.015120,"0.034151","0.004989","0.026099"
0.016613,"0.034062","0.004898","0.026420"
0.018425,"0.033682","0.004774","0.026739"
0.020267,"0.033045","0.004569","0.026573"
0.022641,"0.032361","0.004418","0.026335"
0.025620,"0.031670","0.004334","0.026004"
0.028893,"0.030843","0.004285","0.025610"
0.032247,"0.030203","0.004296","0.025125"
0.035708,"0.029348","0.004311","0.024408"
0.039425,"0.028253","0.004303","0.023605"
0.043202,"0.026901","0.004319","0.022837"
0.047118,"0.025302","0.004444","0.021966"
0.051310,"0.023649","0.004568","0.020995"
0.055963,"0.021740","0.004797","0.020002"
0.060404,"0.019800","0.005108","0.019125"
0.064639,"0.018118","0.005545","0.018217"
0.068555,"0.016359","0.006003","0.017326"
0.071722,"0.014689","0.006493","0.016494"
0.074339,"0.013107","0.007064","0.015648"
0.075835,"0.011509","0.007724","0.014918"
0.076983,"0.009898","0.008411","0.014246"
0.077500,"0.008292","0.009185","0.013583"
0.077665,"0.007117","0.010047","0.013431"
0.077247,"0.006068","0.010967","0.013400"
0.076194,"0.005148","0.011764","0.013626"
0.074493,"0.004398","0.012578","0.013974"
0.072280,"0.003774","0.013282","0.014573"
0.069202,"0.003348","0.013891","0.015168"
0.065688,"0.002961","0.014517","0.015751"
0.061955,"0.002772","0.015124","0.016232"
0.058005,"0.002796","0.015615","0.016723"
0.053752,"0.002852","0.016041","0.017260"
0.048990,"0.003056","0.016381","0.017880"
0.044466,"0.003341","0.016636","0.018404"
0.040128,"0.003660","0.016745","0.018979"
0.036076,"0.004000","0.016820","0.019572"
0.032755,"0.004294","0.016864","0.020133"
0.029949,"0.004577","0.016824","0.020734"
0.027716,"0.004848","0.016721","0.021309"
0.025589,"0.005140","0.016601","0.021863"
0.023808,"0.005403","0.016421","0.022451"
0.022421,"0.005653","0.016230","0.023002"
0.021130,"0.005921","0.015943","0.023597"
0.019910,"0.006172","0.015737","0.024156"
0.019048,"0.006401","0.015485","0.024685"
0.018639,"0.006579","0.015281","0.025053"
0.018571,"0.006710","0.015096","0.025426"
0.018606,"0.006852","0.014831","0.025808"
0.018822,"0.006985","0.014531","0.026197"
0.019097,"0.007120","0.014247","0.026584"
0.019395,"0.007257","0.013981","0.026951"
0.019721,"0.007415","0.013686","0.027294"
0.020027,"0.007582","0.013371","0.027621"
0.020314,"0.007760","0.013057","0.027919"
0.020597,"0.007937","0.012731","0.028183"
0.020881,"0.008124","0.012403","0.028427"
0.021148,"0.008308","0.012064","0.028660"
0.021377,"0.008487","0.011729","0.028864"
0.021634,"0.008699","0.011383","0.029021"
0.021876,"0.008937","0.011015","0.029185"
0.022101,"0.009233","0.010608","0.029351"
0.022276,"0.009675","0.010186","0.029491"
0.022290,"0.010186","0.009763","0.029639"
0.022278,"0.010779","0.009334","0.029762"
0.022229,"0.011492","0.008901","0.029868"
0.022141,"0.012249","0.008489","0.029951"
0.022021,"0.013018","0.008137","0.030002"
0.021916,"0.013891","0.007764","0.030020"
0.021823,"0.014812","0.007365","0.029984"
0.021729,"0.015736","0.006995","0.029925"
0.021607,"0.016648","0.006668","0.029855"
0.021477,"0.017574","0.006372","0.029748"
0.021365,"0.018546","0.006091","0.029592"
0.021228,"0.019613","0.005837","0.029392"
0.021083,"0.020720","0.005586","0.029185"
0.020951,"0.021836","0.005326","0.028973"
0.020829,"0.022951","0.005046","0.028757"
0.020668,"0.024034","0.004765","0.028560"
0.020503,"0.025100","0.004496","0.028350"
0.020325,"0.026093","0.004268","0.028123"
0.020200,"0.026941","0.004049","0.027897"
0.020225,"0.027729","0.003831","0.027635"
0.020275,"0.028436","0.003626","0.027361"
0.020346,"0.029065","0.003437","0.027078"
0.020419,"0.029658","0.003268","0.026772"
0.020482,"0.030272","0.003109","0.026459"
0.020490,"0.030854","0.002993","0.026147"
0.020462,"0.031449","0.002912","0.025861"
0.020452,"0.032072","0.002837","0.025610"
0.020419,"0.032690","0.002771","0.025379"
0.020389,"0.033303","0.002708","0.025176"
0.020412,"0.033951","0.002642","0.025029"
0.020437,"0.034529","0.002574","0.024926"
0.020494,"0.035153","0.002510","0.024826"
0.020518,"0.035846","0.002465","0.024706"
0.020522,"0.036543","0.002444","0.024548"
0.020529,"0.037285","0.002445","0.024342"
0.020534,"0.038019","0.002454","0.024131"
0.020541,"0.038772","0.002463","0.023905"
0.020502,"0.039529","0.002477","0.023656"
0.020461,"0.040276","0.002496","0.023402"
0.020400,"0.041055","0.002518","0.023163"
0.020304,"0.041787","0.002548","0.022932"
0.020204,"0.042507","0.002590","0.022721"
0.020112,"0.043200","0.002640","0.022520"
0.020037,"0.043834","0.002688","0.022331"
0.019977,"0.044396","0.002734","0.022165"
0.019892,"0.044956","0.002787","0.021983"
0.019829,"0.045543","0.002835","0.021785"
0.019764,"0.046093","0.002883","0.021595"
0.019629,"0.046535","0.002939","0.021369"
0.019520,"0.046972","0.002984","0.021135"
0.019379,"0.047387","0.003034","0.020912"
0.019250,"0.047757","0.003087","0.020705"
0.019114,"0.048149","0.003143","0.020511"
0.018969,"0.048668","0.003193","0.020325"
0.018823,"0.049281","0.003245","0.020124"
0.018685,"0.050005","0.003290","0.019914"
0.018601,"0.050856","0.003331","0.019704"
0.018513,"0.051759","0.003369","0.019501"
0.018454,"0.052782","0.003401","0.019272"
0.018438,"0.053845","0.003431","0.019021"
0.018423,"0.054811","0.003442","0.018787"
0.018399,"0.055743","0.003451","0.018552"
0.018382,"0.056608","0.003466","0.018322"
0.018364,"0.057364","0.003483","0.018093"
0.018348,"0.058069","0.003493","0.017855"
0.018326,"0.058742","0.003507","0.017615"
0.018252,"0.059130","0.003494","0.017444"
0.018162,"0.059328","0.003477","0.017324"
0.017873,"0.059074","0.003481","0.017213"
0.017591,"0.058584","0.003433","0.017215"
0.017295,"0.057344","0.003370","0.017329"
