"Time","54 lHL swoff","53 rHL swoff","52 LDS cle","51 RDS cle","50 L marks","49 R marks","48 lHL swon","47 lFL swoff","46 rHL swon","45 rFL swoff","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","36 HRy (cm)","39 FRx (cm)","38 FLy (cm)","35 HRx (cm)","35a HRx (cm)","37 FLx (cm)","34 HLy (cm)","33 HLx (cm)","42 CoMy (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 St","9 TA","8 Gs","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","v3 xCoM","v2 L COP","v1 R COP","42a CoMy (cm)","33a HLx (cm)"
0.290,0,0,0,1,0,0,0,0,0,0,7.512211,0.896061,16.628511,3.776346,4.184087,17.929052,5.329158,14.914690,-9.600037,17.725451,6.490938,13.869338,4.996240,136.478394,0,77.080673,93.225067,65.731392,8.741267,18.690195,8.649949,15.647271,8.646701,15.113891,9.291248,14.426788,10.295498,15.920598,11.671423,15.104060,11.797199,16.222162,0,0.00105,0.00083,0.00065,0.00252,0.00070,0.00072,0.00064,0.00065,-1.48819,0.10201,3.21436,5.262584,0.000000,0.000000,4.993970,17.799316
0.291,0,0,0,1,0,0,0,0,0,0,7.512153,0.904473,16.629280,3.769091,4.181773,17.950718,5.329174,14.905138,-9.614297,17.716190,6.487557,13.887328,4.994277,136.854126,0,77.113190,93.471039,65.908287,8.719947,18.713882,8.647470,15.638537,8.647434,15.103488,9.286507,14.421493,10.292403,15.914193,11.670925,15.102050,11.796473,16.219151,0,0.00108,0.00083,0.00064,0.00258,0.00068,0.00070,0.00063,0.00066,-1.48636,0.10194,3.21376,5.260429,0.000000,0.000000,4.990227,18.127813
0.292,0,0,0,1,0,0,0,0,0,0,7.512095,0.912886,16.630051,3.761836,4.179458,17.972383,5.329189,14.895586,-9.628557,17.706928,6.484176,13.905318,4.992315,137.229858,0,77.145706,93.717018,66.085175,8.698626,18.737568,8.644990,15.629804,8.648169,15.093085,9.281765,14.416197,10.289309,15.907789,11.670427,15.100039,11.795746,16.216141,0,0.00110,0.00081,0.00064,0.00266,0.00068,0.00069,0.00066,0.00065,-1.48651,0.10409,3.21445,5.258244,0.000000,0.000000,4.986484,18.456310
0.293,0,0,0,1,0,0,0,0,0,0,7.511517,0.917399,16.630085,3.752886,4.180520,17.993982,5.329161,14.885820,-9.636588,17.697672,6.482924,13.923832,4.990325,137.020950,0,77.175896,93.752014,66.285408,8.686132,18.767786,8.642569,15.619207,8.645808,15.080943,9.283118,14.405550,10.285696,15.900346,11.669939,15.097986,11.794705,16.213175,0,0.00113,0.00080,0.00066,0.00285,0.00069,0.00071,0.00067,0.00066,-1.48643,0.10593,3.21504,5.256024,0.000000,0.000000,4.981918,18.783974
0.294,0,0,0,1,0,0,0,0,0,0,7.510227,0.916571,16.629110,3.741612,4.186203,18.015490,5.329074,14.875763,-9.636086,17.688423,6.484588,13.943061,4.988297,136.011261,0,77.202896,93.498047,66.517624,8.685729,18.806950,8.640227,15.606059,8.639209,15.066420,9.292821,14.387573,10.281377,15.891479,11.669465,15.095874,11.793237,16.210272,0,0.00117,0.00080,0.00066,0.00292,0.00070,0.00069,0.00067,0.00065,-1.48880,0.10547,3.21512,5.253701,0.000000,0.000000,4.976225,19.110498
0.295,0,0,0,1,0,0,0,0,0,0,7.508937,0.915743,16.628138,3.730339,4.191888,18.036997,5.328987,14.865705,-9.635584,17.679173,6.486251,13.962290,4.986269,135.001572,0,77.229897,93.244072,66.749832,8.685327,18.846115,8.637885,15.592911,8.632610,15.051895,9.302523,14.369597,10.277057,15.882613,11.668991,15.093761,11.791768,16.207369,0,0.00121,0.00080,0.00068,0.00306,0.00070,0.00068,0.00067,0.00064,-1.48766,0.10410,3.21540,5.251373,0.000000,0.000000,4.970533,19.437023
0.296,0,0,0,1,0,0,0,0,0,0,7.507648,0.914914,16.627163,3.719066,4.197572,18.058504,5.328900,14.855647,-9.635082,17.669922,6.487915,13.981520,4.984242,133.991898,0,77.256897,92.990105,66.982048,8.684923,18.885279,8.635544,15.579762,8.626011,15.037372,9.312225,14.351622,10.272737,15.873747,11.668517,15.091649,11.790298,16.204468,0,0.00126,0.00081,0.00069,0.00324,0.00073,0.00068,0.00070,0.00059,-1.48544,0.10460,3.21677,5.249028,0.000000,0.000000,4.964840,19.763548
0.297,0,0,0,1,0,0,0,0,0,0,7.508818,0.916597,16.625622,3.711260,4.201622,18.079815,5.328806,14.845787,-9.621356,17.660749,6.491414,14.001398,4.982184,133.133469,0,77.304329,92.584946,67.073608,8.685798,18.923744,8.634602,15.568792,8.622456,15.023375,9.323545,14.336774,10.269684,15.867908,11.667334,15.089083,11.788178,16.201130,0,0.00128,0.00081,0.00071,0.00331,0.00073,0.00068,0.00071,0.00054,-1.48796,0.10479,3.21772,5.246718,0.000000,0.000000,4.961730,20.080933
0.298,0,0,0,1,0,0,0,0,0,0,7.513357,0.921719,16.623306,3.708203,4.203432,18.100857,5.328702,14.836197,-9.589518,17.651684,6.497429,14.022167,4.980086,132.482239,0,77.379730,91.972710,66.972527,8.688422,18.961252,8.635577,15.560804,8.623067,15.010098,9.337084,14.326211,10.268366,15.866216,11.665178,15.085893,11.785165,16.197195,0,0.00128,0.00080,0.00069,0.00336,0.00074,0.00067,0.00069,0.00054,-1.48712,0.10357,3.21642,5.244512,0.000000,0.000000,4.962156,20.385799
0.299,0,0,0,1,0,0,0,0,0,0,7.517897,0.926842,16.620989,3.705146,4.205242,18.121899,5.328598,14.826608,-9.557679,17.642618,6.503444,14.042936,4.977988,131.831009,0,77.455132,91.360474,66.871437,8.691047,18.998762,8.636552,15.552817,8.623678,14.996823,9.350621,14.315648,10.267048,15.864524,11.663023,15.082704,11.782152,16.193260,0,0.00127,0.00080,0.00069,0.00328,0.00073,0.00067,0.00069,0.00056,-1.48651,0.10202,3.21528,5.242384,0.000000,0.000000,4.962583,20.690668
