"Time","67 LDS cle","66 RDS cle","65 L marks","64 R marks","63 sinus 2","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","v2 R COP","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","v3 L COP","32 FLx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.323090,37.004757,88.558235,61.393585,0.000000,4.690365,-3.795069,4.877583,10.259615,4.718810,12.468287,5.923327,0,4.543155,8.532232,0.000000,12.026289,5.293603,5.883105,8.162184,12.430716,8.257104,8.518243,8.401939,8.001062,8.657182,7.483335,8.940564,9.048656,10.300364,8.766981,10.037024,9.643094,0,-0.01600,0.00253,-0.02233,-0.01312,0.00747,-0.01350,0.00512,0.00290,-1.47893,0.09271,3.27658
0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.800598,37.285473,88.583092,61.323124,0.000000,4.692371,-3.678549,4.873537,10.255578,4.718357,12.457243,5.932166,0,4.543460,8.522696,0.000000,12.033854,5.294649,5.872287,8.163017,12.420834,8.257877,8.511245,8.409271,7.993600,8.666462,7.478181,8.945003,9.042928,10.305850,8.762331,10.038033,9.641384,0,-0.02016,0.00432,-0.02065,-0.01374,0.00826,-0.01344,0.00505,-0.00040,-1.48388,0.09915,3.27705
0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,171.278107,37.566193,88.607956,61.252663,0.000000,4.694902,-3.562029,4.869490,10.251540,4.717904,12.446199,5.941004,0,4.543766,8.513160,0.000000,12.041420,5.295694,5.861470,8.163851,12.410952,8.258651,8.504247,8.416603,7.986138,8.675743,7.473027,8.949441,9.037198,10.311336,8.757680,10.039043,9.639673,0,-0.01900,0.00333,-0.02045,-0.01378,0.00760,-0.01209,0.00206,0.00446,-1.47723,0.08517,3.27789
0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171.259583,37.876064,88.807549,61.223118,0.000000,4.698882,-3.397357,4.865732,10.245583,4.717811,12.435269,5.953384,0,4.543868,8.503761,0.000000,12.051924,5.296415,5.850760,8.164509,12.401786,8.250985,8.497403,8.417428,7.980899,8.682885,7.466630,8.953300,9.029971,10.315905,8.753684,10.040210,9.636822,0,-0.01729,0.00406,-0.01924,-0.01398,0.00850,-0.01085,0.00500,0.00284,-1.47952,0.08022,3.27771
0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.966843,38.202061,89.103729,61.216198,0.000000,4.703408,-3.206066,4.862133,10.238563,4.717917,12.424403,5.967723,0,4.543858,8.494440,0.000000,12.064053,5.296956,5.840109,8.165070,12.393017,8.238655,8.490644,8.414657,7.976890,8.688845,7.459544,8.956837,9.021915,10.319966,8.750051,10.041462,9.633338,0,-0.01871,0.00427,-0.02004,-0.01396,0.00841,-0.01209,0.00364,0.00244,-1.48262,0.10514,3.27695
0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.674103,38.528053,89.399910,61.209274,0.000000,4.709584,-3.014775,4.858534,10.231544,4.718024,12.413537,5.982062,0,4.543848,8.485119,0.000000,12.076181,5.297497,5.829459,8.165630,12.384248,8.226324,8.483885,8.411885,7.972880,8.694805,7.452458,8.960374,9.013861,10.324028,8.746417,10.042714,9.629854,0,-0.01731,0.00331,-0.02081,-0.01201,0.00911,-0.01262,0.00374,0.00331,-1.47994,0.11850,3.27662
0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.381363,38.854046,89.696098,61.202351,0.000000,4.716382,-2.823483,4.854935,10.224524,4.718131,12.402670,5.996401,0,4.543838,8.475798,0.000000,12.088310,5.298038,5.818809,8.166191,12.375479,8.213994,8.477126,8.409114,7.968870,8.700765,7.445373,8.963911,9.005806,10.328091,8.742783,10.043966,9.626370,0,-0.01894,0.00322,-0.02242,-0.01342,0.00818,-0.01314,0.00602,0.00251,-1.47929,0.09847,3.27655
0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170.043884,38.991993,90.037041,61.155830,0.000000,4.724947,-2.590696,4.852179,10.217704,4.718132,12.392013,6.012216,0,4.543727,8.466259,0.000000,12.102780,5.298385,5.807927,8.166642,12.364878,8.218210,8.464338,8.407310,7.963962,8.701744,7.437160,8.968544,8.997442,10.332952,8.740823,10.044395,9.623562,0,-0.01712,0.00430,-0.02050,-0.01340,0.00881,-0.01251,0.01838,0.00262,-1.48124,0.07495,3.27642
0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.681686,39.025990,90.402725,61.087425,0.000000,4.734180,-2.334970,4.849888,10.210993,4.718074,12.381470,6.028845,0,4.543562,8.456600,0.000000,12.118546,5.298625,5.796917,8.167033,12.353264,8.231573,8.448218,8.406043,7.958557,8.699971,7.428322,8.973783,8.988909,10.338257,8.739788,10.044370,9.621125,0,-0.01586,0.00320,-0.02086,-0.01379,0.00796,-0.01183,0.01620,0.00273,-1.47988,0.09167,3.27627
0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169.319473,39.059986,90.768410,61.019016,0.000000,4.744732,-2.079243,4.847598,10.204283,4.718017,12.370928,6.045475,0,4.543396,8.446942,0.000000,12.134310,5.298865,5.785907,8.167424,12.341650,8.244936,8.432098,8.404776,7.953152,8.698197,7.419485,8.979021,8.980375,10.343560,8.738753,10.044345,9.618690,0,-0.01532,0.00296,-0.02192,-0.01369,0.00767,-0.01329,0.00897,0.00513,-1.47889,0.10907,3.27641
