"Time","67 LDS cle","65 L mark","64 R mark","63 sinus","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 lHL swoff","57 lHL swon","56 rHL swoff","55 rHL swon","54 lFL swoff","53 lFL swon","52 rFL swoff","51 rFL swon","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","v3 L COP","v2 R COP","37 CoMy (cm)","v1 xCoM","36 CoMx (cm)","35 FRy (cm)","32 FLx (cm)","27 HLx (cm)","66 RDS cle","34 FRx (cm)","33 FLy (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.921631,46.076355,83.277977,61.127724,-2.289988,0.000000,0.000000,3.770730,3.672631,13.954249,2.969831,16.586050,11.194603,0,14.006927,4.226582,0,2.788343,13.006016,4.399397,6.157710,14.145725,6.759336,13.239489,6.771182,12.679755,6.877998,12.133072,7.536299,13.271758,8.491892,12.550971,8.615364,13.354925,0,-0.02010,0.00347,-0.01927,-0.01059,0.00750,-0.01290,0.00429,0.00261,0.00009,0.08673,3.27746
0.021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.333771,48.526958,83.516884,60.966526,-2.295231,0.000000,0.000000,3.768553,3.670338,13.962307,2.971495,16.596762,11.183800,0,13.997667,4.224164,0,2.785554,13.014766,4.399014,6.156508,14.140350,6.736117,13.249502,6.746842,12.688098,6.873014,12.144871,7.540758,13.277954,8.493383,12.550327,8.617876,13.355911,0,-0.01443,0.00378,-0.02122,-0.01440,0.00795,-0.01121,0.00314,0.00208,-0.00009,0.10604,3.27792
0.022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.745911,50.977566,83.755791,60.805328,-2.300473,0.000000,0.000000,3.766375,3.668015,13.970366,2.973160,16.607473,11.172997,0,13.988407,4.221746,0,2.782765,13.023516,4.398630,6.155307,14.134975,6.712898,13.259515,6.722502,12.696440,6.868030,12.156670,7.545217,13.284151,8.494875,12.549684,8.620387,13.356896,0,-0.01838,0.00408,-0.01956,-0.01315,0.00734,-0.01360,0.00312,0.00331,0.00009,0.12702,3.27828
0.023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.158051,53.428173,83.994698,60.644127,-2.305716,0.000000,0.000000,3.764198,3.665521,13.978423,2.974824,16.618185,11.162193,0,13.979148,4.219328,0,2.779977,13.032266,4.398247,6.154107,14.129601,6.689680,13.269528,6.698162,12.704782,6.863045,12.168468,7.549675,13.290347,8.496367,12.549040,8.622899,13.357882,0,-0.01678,0.00303,-0.02330,-0.01193,0.00885,-0.01075,0.00051,0.00377,0.00009,0.10751,3.27699
0.024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,159.695023,55.811722,84.246582,60.496628,-2.311354,0.000000,0.000000,3.762025,3.663022,13.985877,2.976527,16.628918,11.151325,0,13.969887,4.216869,0,2.777336,13.040805,4.397856,6.153103,14.124003,6.665307,13.280727,6.673310,12.714014,6.857870,12.180424,7.553818,13.296556,8.497747,12.548621,8.625307,13.358962,0,-0.01952,0.00349,-0.02011,-0.01793,0.00762,-0.01160,0.01377,0.00239,-0.00002,0.08846,3.27579
0.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.120514,57.180737,84.694740,60.556347,-2.322981,0.000000,0.000000,3.759930,3.660500,13.984192,2.978817,16.639977,11.139463,0,13.960610,4.213783,0,2.776938,13.046156,4.397355,6.155099,14.115027,6.623474,13.309863,6.640704,12.736711,6.849809,12.194767,7.553183,13.302933,8.497438,12.551604,8.626154,13.361466,0,-0.01725,0.00424,-0.01988,-0.01059,0.00764,-0.01277,0.00500,0.00140,0.00009,0.11989,3.27648
0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.545990,58.549755,85.142906,60.616070,-2.334608,0.000000,0.000000,3.757835,3.657959,13.982507,2.981106,16.651035,11.127602,0,13.951333,4.210698,0,2.776541,13.051507,4.396853,6.157094,14.106052,6.581641,13.338999,6.608099,12.759406,6.841747,12.209110,7.552547,13.309310,8.497128,12.554588,8.627001,13.363971,0,-0.01671,0.00453,-0.02066,-0.01404,0.00841,-0.01222,-0.00552,0.00267,0.00009,0.11615,3.27714
0.027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.971481,59.918774,85.591064,60.675789,-2.346234,0.000000,0.000000,3.755739,3.655305,13.980822,2.983395,16.662094,11.115740,0,13.942057,4.207612,0,2.776144,13.056859,4.396352,6.159090,14.097077,6.539808,13.368134,6.575493,12.782102,6.833686,12.223454,7.551911,13.315687,8.496819,12.557571,8.627848,13.366476,0,-0.02085,0.00369,-0.02304,-0.01197,0.00869,-0.01346,0.01539,0.00291,0.00009,0.10286,3.27737
0.028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161.348572,61.256321,86.026337,60.741135,-2.358243,0.000000,0.000000,3.753621,3.652607,13.979490,2.985693,16.673180,11.103859,0,13.932829,4.204510,0,2.775905,13.062072,4.395833,6.161148,14.088187,6.498572,13.396245,6.543938,12.804329,6.825064,12.237826,7.550941,13.321972,8.496117,12.560534,8.628451,13.368969,0,-0.01516,0.00361,-0.01820,-0.01415,0.00766,-0.01257,-0.00094,0.00206,-0.00009,0.07948,3.27757
0.029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.993484,62.117790,86.266556,60.891544,-2.376038,0.000000,0.000000,3.751153,3.649640,13.983501,2.988141,16.684654,11.091696,0,13.924346,4.201161,0,2.778066,13.065187,4.395035,6.164159,14.080585,6.466369,13.408841,6.528268,12.819462,6.807957,12.252641,7.544912,13.326853,8.489464,12.563180,8.625374,13.371287,0,-0.01965,0.00377,-0.01942,-0.01260,0.00826,-0.01223,0.01964,0.00300,0.00009,0.11576,3.27719
0.030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.638397,62.979259,86.506783,61.041958,-2.393832,0.000000,0.000000,3.748686,3.646604,13.987514,2.990588,16.696129,11.079533,0,13.915862,4.197813,0,2.780228,13.068303,4.394238,6.167170,14.072985,6.434167,13.421438,6.512599,12.834594,6.790851,12.267454,7.538884,13.331734,8.482811,12.565826,8.622297,13.373607,0,-0.01720,0.00379,-0.01963,-0.01416,0.00899,-0.01174,0.00342,0.00184,-0.00018,0.11526,3.27685
0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.283295,63.840729,86.747002,61.192371,-2.411627,0.000000,0.000000,3.746219,3.643151,13.991525,2.993035,16.707603,11.067369,0,13.907379,4.194465,0,2.782390,13.071419,4.393441,6.170180,14.065383,6.401964,13.434034,6.496930,12.849727,6.773745,12.282269,7.532856,13.336615,8.476158,12.568472,8.619220,13.375925,0,-0.01207,0.00283,-0.01972,-0.01314,0.00871,-0.01232,0.00841,0.00289,-0.00009,0.09248,3.27731
