"Time","1 Synch","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","13 Crx (cm)","14 Cry (cm)","15 Hipx (cm)","16 Hipy (cm)","17 Knee x","18 Knee y","19 ankx (cm)","20 anky (cm)","21 MTPx (cm)","22 MTPy (cm)","23 toex (cm)","24 toey (cm)","25 FLtx (cm)","26 FLty (cm)","27 HLx (cm)","28 HLy (cm)","29 HRx (cm)","30 HRy (cm)","31 Keyboard","32 FLx (cm)","33 FLy (cm)","34 FRx (cm)","35 FRy (cm)","36 CoMx (cm)","37 CoMy (cm)","38 Hip (deg)","39 Knee (deg","40 Ankle (de","41 MTP (deg)","42 Rump up","43 Ramp down","44 sw onset","45 sw offset","12 Synch","46 Sw rmp up","47 St rmp up","48 Sw rmp dw","49 St rmp dw","50 Sinus rmp","51 HLl Sw on","52 HLl Sw of","53 HLr Sw on","54 HLr Sw of","55 FLl Sw on","56 FLl Sw of","57 FLr Sw on","58 FLr Sw of","59 Left DS","60 Right DS","61 Ramp up","62 Ramp down","63 rmp up sw","64 rmp up st","65 rm dwn sw","66 rm dwn st"
0.020,3.27678,0.09682,0.00025,0.00063,0.00079,0.00071,0.00069,0.00098,0.00061,0.00066,0.00159,15.813933,10.772325,14.643941,10.687657,14.819200,9.197529,13.248883,8.911978,13.630852,8.181373,14.155729,8.024284,20.081744,8.378838,15.885752,6.805601,14.314050,3.885498,0,17.535544,5.925717,20.025800,4.672238,16.939271,5.194211,87.405591,92.995746,73.734437,131.827897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.021,3.27652,0.09660,0.00000,0.00063,0.00065,0.00070,0.00067,0.00088,0.00061,0.00070,0.00152,15.812071,10.772522,14.643071,10.687311,14.816845,9.196973,13.244808,8.926205,13.620789,8.180207,14.146248,8.026307,20.084476,8.384597,15.913410,6.812711,14.296960,3.883962,0,17.527975,5.925949,20.036064,4.673542,16.942876,5.196985,87.574804,92.746504,74.270404,130.738874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.022,3.27695,0.09625,0.00029,0.00063,0.00064,0.00067,0.00064,0.00089,0.00058,0.00076,0.00154,15.810078,10.773214,14.641781,10.687078,14.814251,9.196577,13.240788,8.939755,13.609407,8.178631,14.135848,8.027862,20.079222,8.391009,15.941019,6.820629,14.283728,3.881831,0,17.520463,5.925068,20.043875,4.672893,16.946272,5.198811,87.772444,92.535986,74.820308,129.707054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.023,3.27764,0.09646,0.00027,0.00062,0.00066,0.00068,0.00067,0.00089,0.00057,0.00086,0.00162,15.808447,10.774479,14.639932,10.686700,14.811354,9.196313,13.236847,8.950494,13.595684,8.177090,14.124375,8.028409,20.068389,8.397694,15.968538,6.829547,14.274963,3.880259,0,17.511551,5.923416,20.044854,4.668170,16.948138,5.199562,87.996783,92.373209,75.357949,128.796983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.024,3.27819,0.09678,-0.00004,0.00064,0.00066,0.00066,0.00068,0.00085,0.00057,0.00093,0.00178,15.807420,10.776299,14.637613,10.686104,14.808118,9.196188,13.232956,8.957647,13.579539,8.175928,14.111938,8.027805,20.053940,8.404227,15.995825,6.839306,14.270241,3.879652,0,17.500773,5.921271,20.037881,4.658955,16.947880,5.199517,88.242393,92.259363,75.861285,128.042881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.025,3.27834,0.09657,0.00025,0.00064,0.00066,0.00066,0.00068,0.00079,0.00058,0.00101,0.00177,15.806825,10.778502,14.635301,10.685522,14.804555,9.196266,13.228998,8.962705,13.562471,8.175316,14.099091,8.026565,20.037082,8.410112,16.022557,6.849158,14.267415,3.879161,0,17.489322,5.918806,20.027272,4.647671,16.946128,5.199644,88.497677,92.182594,76.315213,127.428383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
0.026,3.27802,0.09643,0.00002,0.00062,0.00069,0.00065,0.00065,0.00074,0.00057,0.00105,0.00180,15.806448,10.780897,14.633511,10.685213,14.800684,9.196618,13.224848,8.967379,13.546127,8.175410,14.086428,8.025266,20.018954,8.414844,16.048394,6.858299,14.264173,3.877821,0,17.478545,5.916180,20.017858,4.637008,16.943626,5.200975,88.750451,92.129809,76.705287,126.932327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.027,3.27737,0.09657,0.00015,0.00060,0.00068,0.00070,0.00065,0.00076,0.00055,0.00105,0.00187,15.806077,10.783296,14.632750,10.685438,14.796522,9.197312,13.220381,8.973363,13.532138,8.176364,14.074539,8.024482,20.000702,8.417925,16.072999,6.865935,14.258220,3.874678,0,17.469779,5.913553,20.014423,4.629634,16.941114,5.204531,88.988583,92.087961,77.017320,126.533547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.028,3.27671,0.09681,-0.00012,0.00059,0.00066,0.00073,0.00066,0.00078,0.00056,0.00105,0.00161,15.805560,10.785533,14.633062,10.686303,14.792132,9.198366,13.215549,8.981331,13.521142,8.178160,14.063541,8.024564,19.984067,8.419382,16.096144,6.871769,14.248645,3.869614,0,17.463506,5.910942,20.018427,4.626446,16.939046,5.210642,89.203835,92.047233,77.256117,126.210671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.029,3.27656,0.09689,-0.00017,0.00061,0.00065,0.00077,0.00066,0.00081,0.00058,0.00105,0.00169,15.804854,10.787484,14.633719,10.687672,14.787644,9.199709,13.210430,8.990260,13.512113,8.180493,14.052764,8.025490,19.971786,8.420114,16.117780,6.876341,14.236836,3.863906,0,17.458777,5.908133,20.025781,4.625389,16.937395,5.218482,89.394455,92.003200,77.458156,125.941982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
