"Time","67 sinus","66 rm dwn st","65 rm dwn sw","64 rmp up st","63 rmp up sw","62 Ramp down","61 Ramp up","60 right DS","59 left DS","58 rFLswoff","57 rFLswon","56 lFLswoff","55 lFLswon","54 rHLswoff","53 rHLswon","52 lHLswoff","51 lHLswon","50 sinus rmp","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.020,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.740196,75.424629,96.851509,158.542343,6.278449,15.317218,5.700828,18.045185,7.083048,17.086586,0,5.174922,11.472836,6.654202,12.636548,8.280070,18.410505,8.226969,11.654383,8.579111,11.211687,9.336364,11.397528,8.638664,12.709678,9.799479,13.500375,10.640006,14.789218,0,-0.01933,0.00322,-0.02772,-0.01290,0.00983,-0.01344,0.00408,0.00270,0.55724,0.09721,3.27768
0.021,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.328812,75.243225,97.097832,159.011047,6.283861,15.318210,5.703928,18.038603,7.106482,17.161739,0,5.169430,11.470732,6.118862,12.199327,8.281760,18.402611,8.233061,11.655396,8.579409,11.208123,9.338518,11.392656,8.640706,12.701891,9.796403,13.502233,10.644284,14.784823,0,-0.02052,0.00369,-0.01738,-0.01430,0.00935,-0.01042,0.00829,0.00178,0.59590,0.09703,3.27770
0.022,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.917435,75.061821,97.344154,159.479767,6.289272,15.319201,5.707028,18.032021,7.129916,17.236891,0,5.163938,11.468626,5.583521,11.762106,8.283451,18.394714,8.239154,11.656408,8.579707,11.204559,9.340672,11.387786,8.642748,12.694104,9.793326,13.504091,10.648561,14.780428,0,-0.01772,0.00237,-0.02102,-0.01316,0.00913,-0.01177,0.00302,0.00199,0.62947,0.09667,3.27701
0.023,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.715675,75.614738,98.523102,160.219055,6.294142,15.318565,5.709926,18.023909,7.154457,17.297344,0,5.160016,11.464465,5.204849,11.451821,8.282421,18.385834,8.244895,11.654262,8.580151,11.199304,9.342834,11.381240,8.643827,12.686263,9.790429,13.504375,10.650672,14.776566,0,-0.01680,0.00397,-0.02515,-0.01349,0.00815,-0.01305,0.00479,0.00259,0.65312,0.09655,3.27659
0.024,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.017296,77.931030,101.941620,161.608154,6.297708,15.314021,5.712338,18.012125,7.181655,17.322495,0,5.159865,11.455367,5.202391,11.446360,8.274858,18.374584,8.249793,11.644528,8.580945,11.189984,9.345018,11.370671,8.642596,12.678290,9.787961,13.500873,10.647577,14.773980,0,-0.01669,0.00411,-0.02628,-0.01403,0.00686,-0.01292,0.00546,0.00179,0.67515,0.09678,3.27681
0.025,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.318909,80.247322,105.360146,162.997238,6.301274,15.309477,5.714751,18.000341,7.208853,17.347645,0,5.159714,11.446269,5.199933,11.440898,8.267295,18.363337,8.254691,11.634795,8.581738,11.180665,9.347201,11.360103,8.641365,12.670317,9.785493,13.497372,10.644484,14.771395,0,-0.04943,0.00067,-0.02040,-0.01385,0.00707,-0.01187,0.00286,0.00203,0.69842,0.09674,3.27689
0.026,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.620529,82.563614,108.778664,164.386322,6.304840,15.304933,5.717164,17.988558,7.236052,17.372797,0,5.159563,11.437170,5.197474,11.435435,8.259732,18.352087,8.259589,11.625062,8.582533,11.171346,9.349385,11.349535,8.640134,12.662344,9.783024,13.493871,10.641389,14.768809,0,-0.00446,-0.00630,-0.02672,-0.01371,0.00861,-0.01319,0.00482,0.00113,0.71972,0.09644,3.27659
0.027,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.968163,84.919716,111.658730,164.155487,6.309713,15.300767,5.720879,17.979092,7.259851,17.398634,0,5.160669,11.428603,5.371451,11.609323,8.253251,18.340746,8.261620,11.615495,8.583430,11.163825,9.351124,11.341329,8.674033,12.667132,9.779719,13.489916,10.640060,14.759790,0,-0.02325,0.00160,-0.02065,-0.01348,0.00991,-0.01215,0.00350,0.00403,0.74318,0.09623,3.27654
0.028,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.426277,87.371414,113.245773,160.034653,6.317724,15.297509,5.727721,17.975191,7.275490,17.426119,0,5.164793,11.421310,5.969111,12.213892,8.249369,18.329184,8.256764,11.606326,8.584574,11.160622,9.351797,11.338797,8.792292,12.702568,9.774405,13.484872,10.642975,14.735321,0,-0.02090,0.00907,-0.01880,-0.01365,0.00799,-0.01188,0.00522,-0.00338,0.76729,0.09640,3.27715
0.029,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.884392,89.823112,114.832825,155.913803,6.325734,15.294251,5.734563,17.971292,7.291129,17.453606,0,5.168917,11.414018,6.566772,12.818461,8.245486,18.317623,8.251909,11.597157,8.585717,11.157419,9.352469,11.336265,8.910550,12.738003,9.769092,13.479828,10.645888,14.710852,0,-0.01136,0.00131,-0.02136,-0.01408,0.00820,-0.01332,0.00512,0.00358,0.80522,0.09653,3.27759
