"Time","59 Left DS","60 Memory","v5 L COP","67 xCoM","v3 R COP","3 Platform"
0.308,0,0,0.000000,6.421658,0.000000,1.48387
0.309,0,0,0.000000,6.419945,0.000000,1.48275
0.310,0,0,0.000000,6.418231,0.000000,1.48392
0.311,0,0,0.000000,6.416518,0.000000,1.48443
0.312,0,0,0.000000,6.415137,0.000000,1.48298
0.313,0,0,0.000000,6.414126,0.000000,1.48255
0.314,0,0,0.000000,6.413115,0.000000,1.48335
0.315,0,0,0.000000,6.412103,0.000000,1.48352
0.316,0,0,0.000000,6.411053,0.000000,1.48188
0.317,0,0,0.000000,6.409961,0.000000,1.48554
0.318,0,0,0.000000,6.408868,0.000000,1.48453
0.319,0,0,0.000000,6.407775,0.000000,1.48280
0.320,0,0,0.000000,6.406902,0.000000,1.48612
0.321,0,0,0.000000,6.406271,0.000000,1.48297
0.322,0,0,0.000000,6.405640,0.000000,1.48434
0.323,0,0,0.000000,6.405009,0.000000,1.48330
0.324,0,0,0.000000,6.403985,0.000000,1.48216
0.325,0,0,0.000000,6.402524,0.000000,1.48315
0.326,0,0,0.000000,6.401062,0.000000,1.48424
0.327,0,0,0.000000,6.399601,0.000000,1.48368
0.328,0,0,0.000000,6.398650,0.000000,1.48318
0.329,0,0,0.000000,6.398266,0.000000,1.48434
0.330,0,0,0.000000,6.397882,0.000000,1.48601
0.331,0,0,0.000000,6.397497,0.000000,1.48453
0.332,0,0,0.000000,6.396429,0.000000,1.48224
0.333,0,0,0.000000,6.394600,0.000000,1.48040
0.334,0,0,0.000000,6.392772,0.000000,1.48494
0.335,0,0,0.000000,6.390944,0.000000,1.48474
0.336,0,0,0.000000,6.389517,0.000000,1.48409
0.337,0,0,0.000000,6.388535,0.000000,1.48479
0.338,0,0,0.000000,6.387554,0.000000,1.48358
0.339,0,0,0.000000,6.386572,0.000000,1.48344
0.340,0,0,0.000000,6.385221,0.000000,1.48286
0.341,0,0,0.000000,6.383458,0.000000,1.48459
0.342,0,0,0.000000,6.381695,0.000000,1.48351
0.343,0,0,0.000000,6.379932,0.000000,1.48520
0.344,0,0,0.000000,6.378460,0.000000,1.48373
0.345,0,0,0.000000,6.377311,0.000000,1.48340
0.346,0,0,0.000000,6.376162,0.000000,1.48331
0.347,0,0,0.000000,6.375013,0.000000,1.48509
0.348,0,0,0.000000,6.373782,0.000000,1.48494
0.349,0,0,0.000000,6.372460,0.000000,1.48647
0.350,0,0,1.890792,6.371139,0.000000,1.48309
0.351,1,0,5.291497,6.369817,0.000000,1.48477
0.352,1,0,6.802854,6.368849,0.000000,1.48451
0.353,1,0,6.805451,6.368272,0.000000,1.48430
0.354,1,0,6.808304,6.367696,0.000000,1.48464
0.355,1,0,6.811360,6.367120,0.000000,1.47963
0.356,1,0,6.822711,6.365934,0.000000,1.48375
0.357,1,0,6.840686,6.364072,0.000000,1.48416
0.358,1,0,6.866893,6.362209,0.000000,1.48418
0.359,1,0,6.899674,6.360347,0.000000,1.48568
0.360,1,0,6.932623,6.358500,0.000000,1.48446
0.361,1,0,6.965704,6.356670,0.000000,1.48612
0.362,1,0,6.990207,6.354840,0.000000,1.48430
0.363,1,0,7.007859,6.353010,0.000000,1.48322
0.364,1,0,7.015779,6.350735,0.000000,1.48581
0.365,1,0,7.015927,6.347967,0.000000,1.48370
0.366,1,0,7.015993,6.345198,0.000000,1.48547
0.367,1,0,7.015993,6.342430,0.000000,1.48325
0.368,1,0,7.015993,6.339727,0.000000,1.48297
0.369,1,0,7.015993,6.337096,0.000000,1.48344
0.370,1,0,7.015993,6.334465,0.000000,1.48351
0.371,1,0,7.015993,6.331834,0.000000,1.48363
0.372,1,0,7.015910,6.329350,0.000000,1.48537
0.373,1,0,7.015762,6.327029,0.000000,1.48536
0.374,1,0,7.015177,6.324707,0.000000,1.48390
0.375,1,0,7.014242,6.322386,0.000000,1.48400
0.376,1,0,7.013491,6.320553,0.000000,1.48333
0.377,1,0,7.012887,6.319263,0.000000,1.48414
0.378,1,0,7.012518,6.317973,0.000000,1.48271
0.379,1,0,7.012338,6.316682,0.000000,1.48039
0.380,1,0,7.012194,6.315233,0.000000,1.48362
0.381,1,0,7.012077,6.313606,0.000000,1.48405
0.382,1,0,7.012026,6.311979,0.000000,1.48427
0.383,1,0,7.012026,6.310352,0.000000,1.48465
0.384,1,0,7.012026,6.308898,0.000000,1.48428
0.385,1,0,7.012026,6.307634,0.000000,1.48313
0.386,1,0,7.012026,6.306370,0.000000,1.48376
0.387,1,0,7.012026,6.305106,0.000000,1.48412
0.388,1,0,7.012026,6.303710,0.000000,1.48387
0.389,1,0,7.012026,6.302165,0.000000,1.48468
0.390,1,0,7.012530,6.300621,0.000000,1.48496
0.391,1,0,7.013438,6.299077,0.000000,1.48534
0.392,1,0,7.014885,6.297781,0.000000,1.48323
0.393,1,0,7.016764,6.296763,0.000000,1.48530
0.394,1,0,7.018840,6.295745,0.000000,1.48427
0.395,1,0,7.021075,6.294727,0.000000,1.48373
0.396,1,0,7.023381,6.293269,0.000000,1.48360
0.397,1,0,7.025744,6.291321,0.000000,1.48373
0.398,1,0,7.027990,6.289373,0.000000,1.48367
0.399,1,0,7.030143,6.287426,0.000000,1.48271
0.400,1,0,7.032109,6.285376,0.000000,1.48268
0.401,1,0,7.033927,6.283213,0.000000,1.48217
0.402,1,0,7.036109,6.281050,0.000000,1.48297
0.403,1,0,7.038582,6.278887,0.000000,1.48398
0.404,1,0,7.041836,6.276674,0.000000,1.48342
0.405,1,0,7.045714,6.274407,0.000000,1.48389
0.406,1,0,7.049388,6.272140,0.000000,1.48395
0.407,1,0,7.052899,6.269873,0.000000,1.48170
0.408,1,0,7.055205,6.267341,0.000000,1.48290
0.409,1,0,7.056548,6.264516,0.000000,1.48343
0.410,1,0,7.057389,6.261691,0.000000,1.48542
