"Time","60 Right DS","59 Left DS","58 FLr Sw of","57 FLr Sw on","56 FLl Sw of","54 HLr Sw of","55 FLl Sw on","53 HLr Sw on","52 HLl Sw of","51 HLl Sw on","v6 L Mos","v4 R Mos","67 xCoM","37 CoMy (cm)","v5 L COP","v3 R COP","35 FRy (cm)","33 FLy (cm)","30 HRy (cm)","28 HLy (cm)"
0.133,1,1,0,0,0,0,0,0,0,0,-5.484329,-1.236514,5.485805,3.106618,0.000000,4.247815,4.646666,5.913260,3.851921,6.790646
0.134,1,1,0,0,0,0,0,0,0,0,-5.488167,-1.239405,5.489745,3.058382,0.000000,4.248763,4.644586,5.915934,3.852147,6.787878
0.135,1,1,0,0,0,0,0,0,0,0,-5.493083,-1.243144,5.493686,3.010145,0.000000,4.249940,4.642506,5.918607,3.852373,6.785110
0.136,1,1,0,0,0,0,0,0,0,0,-5.498240,-1.246429,5.498529,2.982443,0.000000,4.251811,4.642038,5.918622,3.855572,6.784327
0.137,1,1,0,0,0,0,0,0,0,0,-5.503646,-1.249247,5.504673,2.984288,0.000000,4.254399,4.643889,5.914811,3.863048,6.786397
0.138,1,1,0,0,0,0,0,0,0,0,-5.509721,-1.254008,5.510816,2.986133,0.000000,4.255713,4.645740,5.910999,3.870524,6.788468
0.139,1,1,0,0,0,0,0,0,0,0,-5.516488,-1.260774,5.516959,2.987978,0.000000,4.255713,4.647591,5.907188,3.878000,6.790538
0.140,1,1,0,0,0,0,0,0,0,0,-5.524155,-1.268441,5.523508,3.006263,0.000000,4.255713,4.646437,5.904831,3.883087,6.789133
0.141,1,1,0,0,0,0,0,0,0,0,-5.532752,-1.277038,5.530641,3.048207,0.000000,4.255713,4.640957,5.904566,3.884734,6.782724
0.142,1,1,0,0,0,0,1,0,0,0,-5.540022,-1.284252,5.537774,3.090151,0.000000,4.255770,4.635478,5.904302,3.886381,6.776316
0.143,1,1,0,0,0,0,0,0,0,0,-5.545922,-1.290036,5.544906,3.132094,0.000000,4.255886,4.629999,5.904037,3.888028,6.769907
0.144,1,1,0,0,0,0,0,0,0,0,-5.548707,-1.292359,5.549048,3.191332,0.000000,4.256347,4.624515,5.904030,3.890783,6.765007
