"Time","28a CoMy (cm)","v1 xCoMy","v3 Left CoP","v2 Right CoP","28 CoMy (cm)","27 CoMx (cm)","26 HRy (cm)","25 HRx (cm)","24 HLy (cm)","23 HLx (cm)","22 FRy (cm)","21 FRx (cm)","20 FLy (cm)","19 FLx (cm)","18 MTP ang","17 ankle ang)","16 knee ang","15 hip ang","14 FLty (cm)","13 FLtx (cm)","12 toey (cm)","11 toex (cm)","10 MTPy (cm)","9 MTPx (cm)","8 anky (cm)","7 ankx (cm)","6 kny (cm)","5 knx (cm)","4 Hipy (cm)","3 Hipx (cm)","2 Cry (cm)","1 Crx (cm)"
0.043,6.834262,6.841529,5.561464,7.327457,0.133891,4.460255,7.231742,1.630085,5.963803,3.669033,7.423172,6.777828,5.159126,7.055374,163.403610,62.244308,1.465541,138.931305,8.301685,3.245277,9.142467,6.625039,9.582898,6.939837,10.093252,7.115157,9.611810,7.568614,11.203116,5.991082,11.271001,5.062313
0.044,6.835215,6.842277,5.567688,7.326917,0.130118,4.463492,7.231436,1.639108,5.964053,3.678164,7.422398,6.790733,5.171323,7.023399,162.432098,64.358658,2.123075,139.212097,8.303728,3.260545,9.133217,6.594401,9.565135,6.920043,10.089306,7.105558,9.621025,7.572466,11.206582,5.987594,11.275036,5.060862
0.045,6.836167,6.843025,5.573911,7.326376,0.126346,4.466728,7.231129,1.648132,5.964303,3.687295,7.421623,6.803638,5.183519,6.991425,161.460602,66.473007,2.780610,139.492905,8.305772,3.275814,9.123967,6.563764,9.547373,6.900249,10.085359,7.095959,9.630241,7.576318,11.210048,5.984106,11.279072,5.059410
0.046,6.837120,6.843773,5.580134,7.325836,0.122574,4.469965,7.230822,1.657155,5.964552,3.696426,7.420849,6.816544,5.195716,6.959450,160.489090,68.587349,3.438145,139.773712,8.307816,3.291083,9.114717,6.533126,9.529610,6.880455,10.081411,7.086360,9.639458,7.580170,11.213513,5.980618,11.283108,5.057958
0.047,6.838073,6.844521,5.586358,7.325295,0.118801,4.473202,7.230515,1.666179,5.964802,3.705557,7.420075,6.829449,5.207913,6.927475,159.517578,70.701698,4.095679,140.054504,8.309858,3.306352,9.105468,6.502488,9.511847,6.860661,10.077465,7.076761,9.648673,7.584022,11.216979,5.977131,11.287143,5.056506
0.048,6.838984,6.845213,5.589222,7.325437,0.114765,4.474265,7.229897,1.674177,5.965006,3.714802,7.420978,6.837149,5.213439,6.891507,158.731247,73.473854,6.057117,140.348221,8.309277,3.313887,9.094891,6.473008,9.498841,6.845911,10.065532,7.067907,9.655333,7.595702,11.219979,5.973443,11.289173,5.056815
0.049,6.839896,6.845906,5.592087,7.325579,0.110728,4.475329,7.229278,1.682176,5.965210,3.724046,7.421880,6.844850,5.218964,6.855539,157.944916,76.246010,8.018555,140.641937,8.308695,3.321422,9.084313,6.443528,9.485836,6.831161,10.053598,7.059054,9.661992,7.607382,11.222979,5.969755,11.291203,5.057124
0.050,6.840807,6.846598,5.594952,7.325720,0.106691,4.476393,7.228658,1.690175,5.965415,3.733290,7.422782,6.852550,5.224489,6.819571,157.158600,79.018166,9.979993,140.935638,8.308113,3.328957,9.073736,6.414047,9.472831,6.816411,10.041666,7.050200,9.668652,7.619062,11.225979,5.966066,11.293233,5.057432
0.051,6.841719,6.847291,5.597816,7.325862,0.102655,4.477456,7.228039,1.698174,5.965619,3.742534,7.423684,6.860250,5.230014,6.783602,156.372269,81.790321,11.941431,141.229355,8.307531,3.336492,9.063159,6.384567,9.459826,6.801661,10.029733,7.041347,9.675311,7.630742,11.228979,5.962379,11.295263,5.057741
0.052,6.842631,6.847959,5.605801,7.327221,0.098154,4.478728,7.228687,1.706449,5.966928,3.751307,7.425755,6.871540,5.244673,6.761581,158.184357,85.648170,13.788999,141.593842,8.310770,3.347045,9.061758,6.360340,9.460524,6.777501,10.022749,7.033459,9.688381,7.643019,11.233500,5.963702,11.300230,5.057573
0.053,6.843544,6.848627,5.613786,7.328579,0.093653,4.480001,7.229334,1.714723,5.968239,3.760080,7.427825,6.882831,5.259333,6.739560,159.996460,89.506020,15.636566,141.958328,8.314009,3.357597,9.060356,6.336112,9.461222,6.753341,10.015764,7.025571,9.701450,7.655295,11.238022,5.965025,11.305197,5.057405
0.054,6.844456,6.849295,5.621770,7.329938,0.089152,4.481274,7.229981,1.722998,5.969549,3.768852,7.429895,6.894121,5.273992,6.717539,161.808548,93.363869,17.484135,142.322815,8.317247,3.368150,9.058955,6.311884,9.461921,6.729181,10.008780,7.017683,9.714520,7.667572,11.242542,5.966349,11.310163,5.057237
0.055,6.845368,6.849963,5.629755,7.331297,0.084651,4.482546,7.230629,1.731273,5.970859,3.777625,7.431965,6.905411,5.288651,6.695518,163.620636,97.221718,19.331701,142.687302,8.320486,3.378703,9.057554,6.287657,9.462619,6.705022,10.001796,7.009794,9.727590,7.679848,11.247064,5.967672,11.315130,5.057069
0.056,6.846068,6.850386,5.633610,7.329943,0.079543,4.484237,7.228590,1.739775,5.971437,3.785914,7.431296,6.915593,5.295782,6.675346,164.384460,99.845985,20.634298,142.879303,8.320174,3.386705,9.054348,6.267019,9.461094,6.690604,9.993085,7.004345,9.734689,7.690826,11.249794,5.967683,11.316728,5.057386
0.057,6.846767,6.850808,5.637465,7.328589,0.074436,4.485929,7.226552,1.748278,5.972015,3.794203,7.430626,6.925774,5.302913,6.655174,165.148285,102.470245,21.936897,143.071304,8.319862,3.394707,9.051142,6.246382,9.459570,6.676187,9.984375,6.998897,9.741789,7.701805,11.252523,5.967694,11.318325,5.057704
0.058,6.847467,6.851230,5.641319,7.327235,0.069328,4.487620,7.224514,1.756781,5.972593,3.802491,7.429956,6.935956,5.310044,6.635002,165.912125,105.094513,23.239494,143.263306,8.319551,3.402709,9.047935,6.225744,9.458046,6.661768,9.975664,6.993448,9.748888,7.712783,11.255254,5.967706,11.319923,5.058022
0.059,6.848167,6.851653,5.645174,7.325881,0.064220,4.489312,7.222476,1.765283,5.973172,3.810780,7.429287,6.946137,5.317175,6.614830,166.675949,107.718781,24.542091,143.455307,8.319240,3.410712,9.044728,6.205106,9.456521,6.647351,9.966953,6.987999,9.755987,7.723761,11.257984,5.967717,11.321521,5.058340
0.060,6.848742,6.851938,5.650193,7.325778,0.058878,4.490687,7.222493,1.774704,5.973795,3.816412,7.429062,6.949903,5.326591,6.591725,166.978394,109.799759,25.715954,143.691376,8.319673,3.422906,9.044333,6.192096,9.452092,6.635179,9.958351,6.981281,9.763906,7.733591,11.260159,5.967659,11.323113,5.059864
0.061,6.849318,6.852223,5.655211,7.325674,0.053535,4.492063,7.222511,1.784126,5.974418,3.822045,7.428838,6.953670,5.336005,6.568621,167.280853,111.880737,26.889814,143.927460,8.320106,3.435101,9.043939,6.179087,9.447662,6.623008,9.949748,6.974564,9.771826,7.743422,11.262333,5.967602,11.324707,5.061388
0.062,6.849893,6.852508,5.660231,7.325571,0.048192,4.493438,7.222528,1.793547,5.975041,3.827677,7.428614,6.957436,5.345420,6.545516,167.583298,113.961708,28.063675,144.163544,8.320539,3.447295,9.043544,6.166077,9.443233,6.610836,9.941145,6.967846,9.779744,7.753252,11.264507,5.967545,11.326300,5.062912
0.063,6.850468,6.852793,5.665250,7.325468,0.042849,4.494813,7.222546,1.802968,5.975665,3.833309,7.428389,6.961203,5.354835,6.522411,167.885742,116.042686,29.237537,144.399612,8.320971,3.459490,9.043149,6.153067,9.438805,6.598664,9.932543,6.961128,9.787663,7.763082,11.266682,5.967487,11.327892,5.064435
0.064,6.851120,6.853136,5.671156,7.327423,0.037147,4.497123,7.225506,1.817607,5.978313,3.841983,7.429340,6.969181,5.363998,6.503959,167.626831,118.271965,30.489552,144.829025,8.321341,3.464986,9.041986,6.128868,9.431925,6.582137,9.923987,6.951881,9.800507,7.774146,11.268600,5.969583,11.331086,5.066701
0.065,6.851772,6.853479,5.677062,7.329378,0.031444,4.499433,7.228466,1.832246,5.980962,3.850656,7.430290,6.977159,5.373161,6.485506,167.367920,120.501251,31.741566,145.258423,8.321711,3.470482,9.040825,6.104669,9.425044,6.565609,9.915432,6.942634,9.813351,7.785210,11.270519,5.971678,11.334280,5.068966
0.066,6.852425,6.853822,5.682968,7.331334,0.025741,4.501742,7.231426,1.846885,5.983611,3.859329,7.431241,6.985137,5.382325,6.467053,167.108994,122.730530,32.993580,145.687836,8.322081,3.475979,9.039662,6.080470,9.418163,6.549081,9.906876,6.933387,9.826194,7.796274,11.272437,5.973774,11.337475,5.071231
0.067,6.853077,6.854165,5.688874,7.333289,0.020039,4.504051,7.234386,1.861525,5.986259,3.868002,7.432192,6.993114,5.391488,6.448601,166.850082,124.959808,34.245594,146.117249,8.322450,3.481475,9.038500,6.056272,9.411283,6.532553,9.898320,6.924140,9.839037,7.807338,11.274356,5.975869,11.340669,5.073496
0.068,6.853615,6.854375,5.690428,7.332824,0.013998,4.505632,7.235223,1.869105,5.981868,3.877743,7.430425,7.002546,5.398988,6.428505,167.175171,128.023483,35.614075,146.530212,8.323704,3.486993,9.037283,6.033792,9.399508,6.512303,9.878154,6.915033,9.848195,7.826762,11.275455,5.977217,11.341583,5.075007
0.069,6.854153,6.854585,5.691982,7.332359,0.007957,4.507213,7.236061,1.876686,5.977477,3.887483,7.428658,7.011977,5.406488,6.408409,167.500275,131.087158,36.982559,146.943176,8.324959,3.492510,9.036066,6.011312,9.387733,6.492054,9.857986,6.905926,9.857353,7.846185,11.276554,5.978565,11.342497,5.076519
