"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
0.69,0.19446,-1.48047,0.00062,0.00129,0.00107,0.00125,0.00107,0.00067,0.00404,0.00124,0,0,0,0,0
0.70,0.19503,-1.48111,0.00063,0.00122,0.00094,0.00116,0.00091,0.00064,0.00388,0.00102,0,0,0,0,0
0.71,0.19510,-1.47936,0.00060,0.00099,0.00085,0.00087,0.00077,0.00065,0.00366,0.00089,0,0,0,0,0
0.72,0.19555,-1.47942,0.00063,0.00102,0.00086,0.00063,0.00073,0.00064,0.00378,0.00089,0,0,0,0,0
0.73,0.19586,-1.47968,0.00109,0.00179,0.00096,0.00065,0.00068,0.00062,0.00328,0.00091,0,0,0,0,0
0.74,0.19542,-1.48264,0.00224,0.00805,0.00097,0.00063,0.00236,0.00082,0.00359,0.00213,0,0,0,0,0
0.75,0.19492,-1.48029,0.00412,0.01237,0.00079,0.00057,0.00293,0.00082,0.00422,0.00446,0,0,0,1,0
0.76,0.19503,-1.47912,0.00640,0.01144,0.00078,0.00059,0.00197,0.00137,0.00349,0.00612,0,0,0,0,0
0.77,0.19489,-1.48102,0.00676,0.01289,0.00073,0.00060,0.00155,0.00335,-0.00582,0.00559,0,0,0,0,0
0.78,0.19530,-1.48133,0.00613,0.01054,0.00069,0.00058,0.00108,0.00393,0.00597,0.00390,0,0,0,0,0
0.79,0.19492,-1.48171,0.00633,0.01296,0.00073,0.00059,0.00108,0.00379,0.00288,0.00210,0,0,0,0,0
0.80,0.19468,-1.48223,0.00602,0.01731,0.00072,0.00062,0.00081,0.00364,0.00236,0.00097,0,0,0,0,0
0.81,0.19505,-1.47964,0.00656,0.01805,0.00071,0.00060,0.00055,0.00214,0.00380,0.00095,0,0,0,0,0
0.82,0.19495,-1.48127,0.00716,0.01582,0.00073,0.00058,0.00055,0.00110,0.00458,0.00103,0,0,0,0,0
0.83,0.19448,-1.48080,0.00377,0.00940,0.00084,0.00062,0.00057,0.00086,0.00295,0.00132,0,0,0,0,0
0.84,0.19401,-1.48055,0.00060,0.00554,0.00082,0.00066,0.00070,0.00076,0.00248,0.00113,0,0,0,0,0
0.85,0.19460,-1.48202,0.00055,0.00245,0.00071,0.00065,0.00089,0.00086,0.00371,0.00084,0,0,0,0,1
0.86,0.19540,-1.47874,0.00057,0.00093,0.00068,0.00060,0.00119,0.00100,0.00411,0.00204,0,0,0,0,0
0.87,0.19545,-1.48193,0.00058,0.00094,0.00072,0.00060,0.00124,0.00096,0.00422,0.00232,0,0,0,0,0
0.88,0.19578,-1.46798,0.00055,0.00101,0.00071,0.00063,0.00109,0.00089,0.00462,0.00114,0,1,0,0,0
0.89,0.19560,-1.40291,0.00051,0.00097,0.00068,0.00058,0.00117,0.00075,0.00345,0.00130,0,0,0,0,0
0.90,0.19578,-1.27113,0.00048,0.00085,0.00069,0.00055,0.00167,0.00060,0.00234,0.00215,0,0,0,0,0
0.91,0.19527,-1.09946,0.00054,0.00088,0.00072,0.00062,0.00172,0.00057,0.00778,0.00235,0,0,0,0,0
0.92,0.19467,-0.87260,0.00072,0.00090,0.00076,0.00059,0.00157,0.00055,0.00272,0.00185,0,0,0,0,0
0.93,0.19386,-0.62685,0.00079,0.00099,0.00075,0.00052,0.00162,0.00054,0.00345,0.00134,0,0,0,0,0
0.94,0.19291,-0.34677,0.00090,0.00112,0.00122,0.00075,0.00164,0.00063,0.00354,0.00114,0,0,0,0,0
0.95,0.19360,-0.04371,0.00101,0.00133,0.00254,0.00091,0.00143,0.00072,0.00716,0.00108,0,0,0,0,0
0.96,0.19414,0.23460,0.00071,0.00126,0.00238,0.00095,0.00093,0.00073,0.00332,0.00086,0,0,0,0,0
0.97,0.19425,0.53263,0.00052,0.00098,0.00094,0.00083,0.00071,0.00067,0.00408,0.00122,0,0,0,0,0
0.98,0.19297,0.78658,0.00054,0.00081,0.00076,0.00059,0.00061,0.00059,0.00238,0.00163,0,0,0,0,0
0.99,0.19240,1.01177,0.00055,0.00089,0.00069,0.00057,0.00064,0.00056,0.00386,0.00138,0,0,0,0,0
1.00,0.19183,1.21192,0.00161,0.00789,0.00065,0.00059,0.00083,0.00058,0.00533,0.00273,0,0,0,0,0
1.01,0.19394,1.35897,0.00221,0.01252,0.00068,0.00056,0.00117,0.00067,0.00418,0.00491,0,0,0,0,0
1.02,0.19431,1.44913,0.00170,0.00925,0.00067,0.00051,0.00140,0.00092,-0.01161,0.00621,0,0,0,0,0
1.03,0.19464,1.48105,0.00366,0.00917,0.00066,0.00052,0.00139,0.00100,0.00112,0.00658,0,0,0,1,0
1.04,0.19457,1.48448,0.00574,0.00988,0.00070,0.00054,0.00110,0.00116,0.00562,0.00631,0,0,0,0,0
1.05,0.19523,1.48430,0.00626,0.01112,0.00068,0.00052,0.00081,0.00313,0.00226,0.00385,0,0,0,0,0
1.06,0.19556,1.48563,0.00604,0.01044,0.00066,0.00055,0.00069,0.00352,0.00336,0.00155,0,0,0,0,0
