"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
0.76,0.19420,-1.48220,0.00507,0.01099,0.00072,0.00057,0.00210,0.00348,-0.00023,0.00527,0,0,0,0,0
0.77,0.19219,-1.48030,0.00469,0.01218,0.00065,0.00054,0.00143,0.00336,0.00214,0.00429,0,0,0,0,0
0.78,0.19226,-1.47928,0.00647,0.01298,0.00063,0.00054,0.00132,0.00376,0.00433,0.00206,0,0,0,0,0
0.79,0.19337,-1.47832,0.00572,0.01251,0.00068,0.00053,0.00117,0.00287,0.00336,0.00120,0,0,0,0,0
0.80,0.19519,-1.47932,0.00395,0.00836,0.00066,0.00054,0.00084,0.00129,0.00420,0.00100,0,0,0,0,0
0.81,0.19635,-1.48203,0.00290,0.00894,0.00067,0.00055,0.00074,0.00115,0.00398,0.00122,0,0,0,0,0
0.82,0.19586,-1.47584,0.00327,0.01273,0.00070,0.00070,0.00057,0.00116,0.00476,0.00163,0,0,0,0,0
0.83,0.19591,-1.48182,0.00242,0.01030,0.00078,0.00090,0.00063,0.00099,0.00338,0.00138,0,0,0,0,0
0.84,0.19603,-1.47699,0.00101,0.00473,0.00084,0.00081,0.00074,0.00079,0.00377,0.00103,0,0,0,0,0
0.85,0.19583,-1.47945,0.00059,0.00156,0.00070,0.00068,0.00078,0.00093,0.00516,0.00091,0,0,0,0,1
0.86,0.19565,-1.48170,0.00053,0.00177,0.00071,0.00091,0.00081,0.00115,0.00333,0.00085,0,0,0,0,0
0.87,0.19540,-1.47999,0.00063,0.00175,0.00096,0.00127,0.00120,0.00117,0.00324,0.00097,0,0,0,0,0
0.88,0.19505,-1.47878,0.00065,0.00123,0.00088,0.00104,0.00175,0.00098,0.00366,0.00162,0,0,0,0,0
0.89,0.19501,-1.47784,0.00052,0.00093,0.00067,0.00062,0.00192,0.00076,0.00254,0.00199,0,0,0,0,0
0.90,0.19492,-1.48144,0.00051,0.00083,0.00078,0.00058,0.00172,0.00073,0.00262,0.00199,0,0,0,0,0
0.91,0.19485,-1.47969,0.00054,0.00092,0.00081,0.00064,0.00160,0.00071,0.00397,0.00158,0,0,0,0,0
0.92,0.19444,-1.47878,0.00052,0.00095,0.00072,0.00063,0.00166,0.00070,0.00458,0.00100,0,0,0,0,0
0.93,0.19333,-1.47988,0.00053,0.00107,0.00082,0.00092,0.00169,0.00077,0.00168,0.00121,0,0,0,0,0
0.94,0.19368,-1.47916,0.00055,0.00119,0.00091,0.00129,0.00145,0.00078,0.00496,0.00127,0,0,0,0,0
0.95,0.19423,-1.48001,0.00068,0.00136,0.00101,0.00130,0.00112,0.00081,0.00380,0.00123,0,0,0,0,0
0.96,0.19472,-1.47882,0.00079,0.00139,0.00116,0.00126,0.00116,0.00080,0.00198,0.00111,0,0,0,0,0
0.97,0.19550,-1.47936,0.00076,0.00109,0.00294,0.00095,0.00139,0.00073,0.00178,0.00104,0,0,0,0,0
0.98,0.19548,-1.47938,0.00156,0.00962,0.00284,0.00076,0.00113,0.00069,0.00300,0.00110,0,0,0,0,0
0.99,0.19582,-1.47512,0.00490,0.01411,0.00086,0.00075,0.00111,0.00094,0.00369,0.00205,0,0,0,0,0
1.00,0.19638,-1.47872,0.00441,0.01251,0.00068,0.00056,0.00118,0.00173,0.00537,0.00385,0,0,0,1,0
1.01,0.19588,-1.47957,0.00370,0.01216,0.00063,0.00054,0.00085,0.00237,0.00716,0.00349,0,0,0,0,0
1.02,0.19598,-1.47886,0.00476,0.01282,0.00068,0.00057,0.00068,0.00266,0.00245,0.00170,0,0,0,0,0
1.03,0.19638,-1.47952,0.00275,0.01255,0.00070,0.00060,0.00056,0.00201,0.00426,0.00126,0,0,0,0,0
1.04,0.19691,-1.47878,0.00303,0.01257,0.00068,0.00062,0.00058,0.00119,0.00266,0.00123,0,0,0,0,0
1.05,0.19662,-1.48515,0.00403,0.01268,0.00080,0.00081,0.00064,0.00108,0.01240,0.00175,0,0,0,0,0
1.06,0.19630,-1.47846,0.00266,0.00759,0.00083,0.00091,0.00068,0.00093,0.00500,0.00192,0,0,0,0,0
1.07,0.19557,-1.47798,0.00087,0.00368,0.00078,0.00091,0.00065,0.00091,0.00226,0.00136,0,0,0,0,0
1.08,0.19521,-1.47984,0.00051,0.00237,0.00077,0.00095,0.00077,0.00084,0.00565,0.00106,0,0,0,0,0
1.09,0.19528,-1.47838,0.00051,0.00421,0.00083,0.00095,0.00075,0.00103,0.00266,0.00128,0,0,0,0,1
1.10,0.19499,-1.47950,0.00074,0.00294,0.00096,0.00109,0.00069,0.00120,0.00370,0.00164,0,0,0,0,0
1.11,0.19507,-1.48156,0.00089,0.00100,0.00088,0.00104,0.00095,0.00090,0.00504,0.00132,0,0,0,0,0
1.12,0.19568,-1.48129,0.00068,0.00088,0.00072,0.00084,0.00130,0.00069,0.00225,0.00131,0,0,0,0,0
1.13,0.19611,-1.47996,0.00056,0.00093,0.00067,0.00077,0.00179,0.00068,0.00268,0.00169,0,0,0,0,0
1.14,0.19640,-1.48098,0.00056,0.00090,0.00065,0.00066,0.00181,0.00073,0.00284,0.00177,0,0,0,0,0
1.15,0.19678,-1.47865,0.00055,0.00073,0.00062,0.00053,0.00173,0.00068,0.00323,0.00156,0,0,0,0,0
1.16,0.19664,-1.48013,0.00053,0.00064,0.00063,0.00051,0.00147,0.00063,0.00443,0.00330,0,0,0,0,0
1.17,0.19632,-1.48022,0.00056,0.00077,0.00065,0.00056,0.00151,0.00062,0.00414,0.00372,0,0,0,0,0
1.18,0.19629,-1.47796,0.00056,0.00080,0.00072,0.00059,0.00187,0.00063,0.00380,0.00238,0,0,0,0,0
1.19,0.19644,-1.48036,0.00055,0.00062,0.00081,0.00060,0.00154,0.00067,0.00466,0.00212,0,0,0,0,0
1.20,0.19693,-1.48092,0.00053,0.00062,0.00102,0.00072,0.00142,0.00069,0.00365,0.00149,0,0,0,0,0
