"Time","2 Trdml","3 Platform","4 GM","5 Ip","6 BF","7 VL","8 St","9 TA","10 Gs","11 Gr","12 Synch","42 Ramp up","43 Ramp down","44 sw onset","45 sw offset"
0.86,0.10119,1.48396,0.00511,0.00836,0.00081,0.00061,0.00055,0.00105,0.00519,0.00109,0,0,0,0,0
0.87,0.10070,1.48305,0.00244,0.00348,0.00080,0.00078,0.00052,0.00075,0.00458,0.00075,0,0,0,0,0
0.88,0.10045,1.48285,0.00164,0.00356,0.00079,0.00091,0.00062,0.00084,0.00351,0.00085,0,0,0,0,0
0.89,0.09965,1.48164,0.00105,0.00370,0.00075,0.00088,0.00074,0.00093,0.00275,0.00092,0,0,0,0,0
0.90,0.09927,1.48228,0.00059,0.00185,0.00074,0.00076,0.00089,0.00086,0.00320,0.00115,0,0,0,0,1
0.91,0.09903,1.48361,0.00052,0.00143,0.00068,0.00060,0.00096,0.00079,0.00336,0.00308,0,0,0,0,0
0.92,0.09982,1.48859,0.00047,0.00082,0.00068,0.00058,0.00091,0.00079,0.00290,0.00383,0,0,0,0,0
0.93,0.10028,1.47171,0.00051,0.00107,0.00073,0.00062,0.00090,0.00087,0.00381,0.00213,0,0,0,0,0
0.94,0.10082,1.40555,0.00053,0.00281,0.00076,0.00066,0.00082,0.00095,0.00488,0.00133,0,0,0,0,0
0.95,0.09932,1.28862,0.00054,0.00296,0.00072,0.00065,0.00072,0.00097,0.00473,0.00098,0,0,1,0,0
0.96,0.09861,1.10013,0.00062,0.00343,0.00074,0.00062,0.00067,0.00098,0.00443,0.00086,0,0,0,0,0
0.97,0.09988,0.89426,0.00075,0.00490,0.00071,0.00058,0.00102,0.00114,0.00443,0.00172,0,0,0,0,0
0.98,0.09867,0.62921,0.00100,0.00383,0.00065,0.00058,0.00127,0.00138,0.00305,0.00264,0,0,0,0,0
0.99,0.09925,0.35983,0.00087,0.00214,0.00070,0.00062,0.00087,0.00122,0.00366,0.00199,0,0,0,0,0
1.00,0.09842,0.05475,0.00053,0.00139,0.00070,0.00060,0.00064,0.00113,0.00290,0.00091,0,0,0,0,0
1.01,0.09813,-0.24954,0.00080,0.00206,0.00067,0.00054,0.00075,0.00132,0.00336,0.00117,0,0,0,0,0
1.02,0.09770,-0.52948,0.00094,0.00182,0.00069,0.00064,0.00087,0.00131,0.00290,0.00155,0,0,0,0,0
1.03,0.09820,-0.80890,0.00080,0.00115,0.00113,0.00086,0.00143,0.00131,0.00381,0.00150,0,0,0,0,0
1.04,0.09766,-1.02896,0.00073,0.00105,0.00116,0.00079,0.00170,0.00102,0.00381,0.00212,0,0,0,0,0
1.05,0.09771,-1.22670,0.00060,0.00100,0.00071,0.00060,0.00213,0.00077,0.00031,0.00344,0,0,0,0,0
1.06,0.09758,-1.37210,0.00053,0.00137,0.00069,0.00058,0.00235,0.00084,0.00443,0.00255,0,0,0,0,0
1.07,0.09750,-1.45381,0.00052,0.00140,0.00069,0.00056,0.00162,0.00076,0.00305,0.00118,0,0,0,0,0
1.08,0.09793,-1.47696,0.00051,0.00094,0.00063,0.00053,0.00142,0.00068,0.00488,0.00121,0,0,0,0,0
1.09,0.09906,-1.48184,0.00053,0.00159,0.00064,0.00054,0.00121,0.00072,0.00366,0.00108,0,0,0,0,0
1.10,0.09854,-1.47951,0.00053,0.00211,0.00070,0.00057,0.00105,0.00074,0.00305,0.00102,0,0,0,0,0
1.11,0.09773,-1.48148,0.00053,0.00173,0.00074,0.00060,0.00126,0.00063,0.00259,0.00098,0,0,0,0,0
1.12,0.09689,-1.48140,0.00053,0.00156,0.00074,0.00060,0.00105,0.00060,0.00443,0.00109,0,0,0,0,0
1.13,0.09618,-1.48227,0.00055,0.00148,0.00069,0.00055,0.00102,0.00059,0.00366,0.00116,0,0,0,0,0
1.14,0.09636,-1.47975,0.00057,0.00120,0.00067,0.00057,0.00126,0.00059,0.00580,0.00148,0,0,0,0,0
1.15,0.09748,-1.47951,0.00054,0.00127,0.00070,0.00060,0.00117,0.00062,0.00336,0.00174,0,0,0,0,0
1.16,0.09779,-1.48192,0.00051,0.00158,0.00065,0.00062,0.00131,0.00058,0.00290,0.00155,0,0,0,0,0
1.17,0.09824,-1.47931,0.00051,0.00164,0.00071,0.00066,0.00136,0.00063,0.00259,0.00124,0,0,0,0,0
1.18,0.09751,-1.47940,0.00053,0.00143,0.00073,0.00060,0.00125,0.00062,0.00366,0.00121,0,0,0,0,0
1.19,0.09785,-1.47984,0.00056,0.00109,0.00066,0.00052,0.00134,0.00056,0.00336,0.00146,0,0,0,0,0
1.20,0.09774,-1.48167,0.00052,0.00099,0.00069,0.00052,0.00153,0.00061,0.00305,0.00176,0,0,0,0,0
1.21,0.09837,-1.47986,0.00051,0.00089,0.00068,0.00055,0.00165,0.00061,0.00458,0.00163,0,0,0,0,0
1.22,0.09784,-1.47749,0.00059,0.00087,0.00068,0.00054,0.00143,0.00058,0.00397,0.00138,0,0,0,0,0
1.23,0.09779,-1.48109,0.00060,0.00072,0.00065,0.00055,0.00141,0.00066,0.00214,0.00241,0,0,0,0,0
1.24,0.09761,-1.47940,0.00058,0.00079,0.00070,0.00060,0.00172,0.00071,0.00473,0.00267,0,0,0,0,0
1.25,0.09774,-1.48105,0.00059,0.00093,0.00067,0.00058,0.00179,0.00072,0.00732,0.00155,0,0,0,0,0
1.26,0.09808,-1.47939,0.00060,0.00083,0.00062,0.00054,0.00142,0.00075,0.00122,0.00164,0,0,0,0,0
1.27,0.09864,-1.48184,0.00059,0.00073,0.00066,0.00053,0.00109,0.00073,0.00397,0.00209,0,0,0,0,0
1.28,0.09857,-1.48027,0.00060,0.00069,0.00076,0.00058,0.00118,0.00074,0.00290,0.00158,0,0,0,0,0
1.29,0.09849,-1.47961,0.00061,0.00075,0.00072,0.00064,0.00153,0.00091,0.00366,0.00145,0,0,0,0,0
1.30,0.09809,-1.48161,0.00061,0.00085,0.00064,0.00068,0.00158,0.00092,0.00458,0.00135,0,0,0,0,0
1.31,0.09753,-1.48016,0.00065,0.00091,0.00075,0.00065,0.00146,0.00091,0.00336,0.00079,0,0,0,0,0
1.32,0.09782,-1.47807,0.00069,0.00106,0.00077,0.00061,0.00137,0.00089,0.00168,0.00112,0,0,0,0,0
1.33,0.09799,-1.48009,0.00066,0.00085,0.00068,0.00061,0.00100,0.00074,0.00305,0.00118,0,0,0,0,0
1.34,0.09824,-1.49046,0.00061,0.00061,0.00069,0.00056,0.00094,0.00065,0.00397,0.00092,0,0,0,0,0
1.35,0.09735,-1.47987,0.00062,0.00081,0.00073,0.00051,0.00094,0.00060,0.00366,0.00111,0,0,0,0,0
1.36,0.09676,-1.48051,0.00057,0.00084,0.00070,0.00058,0.00072,0.00060,0.00305,0.00140,0,0,0,0,0
1.37,0.09675,-1.47945,0.00077,0.00084,0.00075,0.00057,0.00065,0.00060,0.00504,0.00127,0,0,0,0,0
1.38,0.09705,-1.48116,0.00245,0.00307,0.00077,0.00057,0.00079,0.00055,0.00244,0.00088,0,0,0,0,0
1.39,0.09773,-1.48047,0.00549,0.00804,0.00065,0.00060,0.00142,0.00060,-0.00092,0.00155,0,0,0,1,0
1.40,0.09713,-1.48352,0.00712,0.01043,0.00065,0.00055,0.00154,0.00070,0.00015,0.00206,0,0,0,0,0
1.41,0.09613,-1.47968,0.00468,0.01032,0.00068,0.00057,0.00133,0.00083,0.00931,0.00232,0,0,0,0,0
1.42,0.09671,-1.47859,0.00181,0.01006,0.00068,0.00056,0.00117,0.00122,0.00061,0.00273,0,0,0,0,0
1.43,0.09740,-1.47903,0.00244,0.01033,0.00069,0.00055,0.00094,0.00211,0.00046,0.00176,0,0,0,0,0
1.44,0.09707,-1.48013,0.00374,0.01135,0.00070,0.00057,0.00088,0.00207,0.00244,0.00104,0,0,0,0,0
1.45,0.09741,-1.47916,0.00561,0.01130,0.00068,0.00057,0.00065,0.00161,0.00290,0.00107,0,0,0,0,0
