"Time","25 toey (cm)","17 Hipy (cm)"
0.323,9.096107,10.881153
0.324,9.102797,10.886728
0.325,9.109485,10.892304
0.326,9.116174,10.897880
0.327,9.122709,10.903025
0.328,9.129149,10.907899
0.329,9.135590,10.912773
0.330,9.142030,10.917647
0.331,9.147255,10.921926
0.332,9.151716,10.925831
0.333,9.156178,10.929735
0.334,9.160638,10.933640
0.335,9.163887,10.937056
0.336,9.166375,10.940163
0.337,9.168862,10.943271
0.338,9.171350,10.946378
0.339,9.172118,10.949030
0.340,9.171805,10.951397
0.341,9.171493,10.953763
0.342,9.171180,10.956129
0.343,9.170004,10.958008
0.344,9.168286,10.959579
0.345,9.166569,10.961151
0.346,9.164850,10.962723
0.347,9.162671,10.963662
0.348,9.160202,10.964204
0.349,9.157733,10.964746
0.350,9.155263,10.965287
0.351,9.152422,10.965183
0.352,9.149347,10.964673
0.353,9.146272,10.964164
0.354,9.143197,10.963654
0.355,9.139787,10.962468
0.356,9.136166,10.960857
0.357,9.132545,10.959247
0.358,9.128923,10.957636
0.359,9.123439,10.955438
0.360,9.116783,10.952871
0.361,9.110127,10.950304
0.362,9.103472,10.947738
0.363,9.096588,10.944633
0.364,9.089562,10.941190
0.365,9.082536,10.937747
0.366,9.075510,10.934304
0.367,9.068290,10.930493
0.368,9.060948,10.926451
0.369,9.053606,10.922409
0.370,9.046265,10.918367
0.371,9.038255,10.913954
0.372,9.029826,10.909307
0.373,9.021398,10.904658
0.374,9.012969,10.900011
0.375,9.003956,10.894947
0.376,8.994576,10.889621
0.377,8.985197,10.884295
0.378,8.975817,10.878968
0.379,8.966293,10.873336
0.380,8.956680,10.867510
0.381,8.947066,10.861685
0.382,8.937452,10.855860
0.383,8.927623,10.849835
0.384,8.917658,10.843685
0.385,8.907693,10.837536
0.386,8.897727,10.831386
0.387,8.887698,10.825104
0.388,8.877629,10.818740
0.389,8.867559,10.812375
0.390,8.857491,10.806011
0.391,8.848211,10.799517
0.392,8.839430,10.792941
0.393,8.830648,10.786365
0.394,8.821867,10.779789
0.395,8.814078,10.773110
0.396,8.806913,10.766369
0.397,8.799748,10.759627
0.398,8.792583,10.752886
0.399,8.786942,10.746015
0.400,8.782259,10.739061
0.401,8.777575,10.732109
0.402,8.772893,10.725156
0.403,8.769189,10.718152
0.404,8.766102,10.711117
0.405,8.763014,10.704081
0.406,8.759927,10.697045
0.407,8.757419,10.690131
0.408,8.755276,10.683295
0.409,8.753133,10.676458
0.410,8.750989,10.669621
0.411,8.748965,10.662985
0.412,8.747015,10.656473
0.413,8.745065,10.649961
0.414,8.743114,10.643451
0.415,8.741434,10.637126
0.416,8.739923,10.630919
0.417,8.738411,10.624711
0.418,8.736900,10.618504
0.419,8.735543,10.612364
0.420,8.734283,10.606267
0.421,8.733024,10.600169
0.422,8.731764,10.594072
0.423,8.730792,10.588063
0.424,8.730002,10.582110
0.425,8.729212,10.576158
0.426,8.728422,10.570205
0.427,8.727801,10.564384
0.428,8.727287,10.558644
0.429,8.726774,10.552905
0.430,8.726260,10.547166
0.431,8.726027,10.541681
0.432,8.725970,10.536357
0.433,8.725914,10.531034
0.434,8.725858,10.525709
0.435,8.726004,10.520595
0.436,8.726277,10.515611
0.437,8.726551,10.510628
0.438,8.726824,10.505644
0.439,8.727275,10.500716
0.440,8.727839,10.495823
0.441,8.728401,10.490930
0.442,8.728964,10.486036
0.443,8.729633,10.481212
0.444,8.730371,10.476430
0.445,8.731107,10.471649
0.446,8.731844,10.466867
0.447,8.732755,10.462090
0.448,8.733775,10.457314
0.449,8.734797,10.452538
0.450,8.735817,10.447762
0.451,8.736782,10.443052
0.452,8.737712,10.438385
0.453,8.738642,10.433717
0.454,8.739573,10.429049
0.455,8.740471,10.424391
0.456,8.741350,10.419738
0.457,8.742229,10.415085
0.458,8.743108,10.410431
0.459,8.743923,10.405805
0.460,8.744699,10.401195
0.461,8.745475,10.396584
0.462,8.746250,10.391973
0.463,8.747008,10.387400
0.464,8.747756,10.382849
0.465,8.748504,10.378297
0.466,8.749251,10.373746
0.467,8.750035,10.369214
0.468,8.750840,10.364694
0.469,8.751646,10.360173
0.470,8.752451,10.355654
0.471,8.753432,10.351132
0.472,8.754523,10.346610
0.473,8.755614,10.342089
0.474,8.756705,10.337566
0.475,8.757909,10.333106
0.476,8.759181,10.328685
0.477,8.760454,10.324264
0.478,8.761727,10.319842
0.479,8.763128,10.315631
0.480,8.764609,10.311552
0.481,8.766091,10.307473
0.482,8.767572,10.303394
0.483,8.768991,10.299546
0.484,8.770369,10.295844
0.485,8.771747,10.292142
0.486,8.773125,10.288440
0.487,8.774467,10.285015
0.488,8.775784,10.281766
0.489,8.777103,10.278516
0.490,8.778421,10.275267
0.491,8.779798,10.272331
0.492,8.781210,10.269592
0.493,8.782621,10.266853
0.494,8.784034,10.264114
0.495,8.785480,10.261783
0.496,8.786950,10.259706
0.497,8.788420,10.257628
0.498,8.789889,10.255552
0.499,8.791354,10.253986
0.500,8.792815,10.252743
0.501,8.794277,10.251499
0.502,8.795738,10.250255
0.503,8.797178,10.249363
0.504,8.798604,10.248692
0.505,8.800031,10.248020
0.506,8.801456,10.247349
0.507,8.802850,10.247003
0.508,8.804224,10.246861
0.509,8.805597,10.246718
0.510,8.806972,10.246576
0.511,8.808425,10.246734
0.512,8.809929,10.247077
0.513,8.811433,10.247421
0.514,8.812936,10.247766
0.515,8.814575,10.248541
0.516,8.816300,10.249589
0.517,8.818025,10.250636
0.518,8.819749,10.251684
0.519,8.821624,10.253257
0.520,8.823593,10.255160
0.521,8.825563,10.257064
0.522,8.827533,10.258967
0.523,8.829553,10.261402
0.524,8.831606,10.264172
0.525,8.833658,10.266942
0.526,8.835711,10.269711
0.527,8.837736,10.272955
0.528,8.839745,10.276497
0.529,8.841754,10.280039
0.530,8.843762,10.283580
0.531,8.845607,10.287568
0.532,8.847348,10.291836
0.533,8.849090,10.296103
0.534,8.850830,10.300372
0.535,8.852466,10.304995
0.536,8.854034,10.309840
0.537,8.855604,10.314686
0.538,8.857173,10.319532
0.539,8.858580,10.324656
0.540,8.859884,10.329955
0.541,8.861190,10.335255
0.542,8.862494,10.340553
0.543,8.863705,10.345972
0.544,8.864857,10.351466
0.545,8.866008,10.356960
0.546,8.867159,10.362453
0.547,8.868320,10.368034
0.548,8.869486,10.373669
0.549,8.870653,10.379304
0.550,8.871819,10.384938
0.551,8.872885,10.390504
0.552,8.873886,10.396027
0.553,8.874887,10.401548
0.554,8.875889,10.407071
