"Time","v2 R COP","49 RDS cle","47 R marks","46 HLr swoff","45 FLr swoff","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","40 FRy (cm)","39a FRx (cm)","39 FRx (cm)","38 FLy (cm)","35a HRx (cm)","35 HRx (cm)","v3 L COP","37a FLx (cm)","42a CoMy (cm)","v1 xCoM","42 CoMy (cm)","52 HLl swoff","51 HLr swoff","50 LDS cle","48 L marks","37 FLx (cm)","36 HRy (cm)","34 HLy (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.020,0.000000,0,0,0,0,7.266706,0.559136,12.246834,3.902204,36.471832,13.965991,7.047554,-11.171776,10.313000,0.000000,-12.014484,-0.375401,6.297588,6.313734,0,0,0,0,13.379559,3.001373,7.080955,-63.717445,11.264764,161.464615,0,34.691216,55.893482,55.810558,9.310450,14.975197,8.077146,10.639822,8.103360,10.151586,8.314497,9.618364,8.721993,11.371433,9.809038,10.197844,10.018285,11.103922,0,0.00015,0.08238,0.01407,0.00473,0.00977,-0.01158,0.00473,0.00087,1.47461,0.11716,3.27744
0.021,0.000000,0,0,0,0,7.265964,0.558377,12.236150,3.921253,36.484692,14.002568,7.047668,-11.168229,10.301451,0.000000,-11.928767,-0.794206,6.278010,6.312875,0,0,0,0,13.367451,3.004037,7.075816,-64.751892,11.198229,161.885086,0,34.042202,56.054680,56.350941,9.350418,15.039997,8.076616,10.629069,8.104807,10.138741,8.315067,9.602160,8.708920,11.358327,9.808309,10.196334,10.015773,11.099442,0,0.00705,0.13081,-0.03577,0.00269,0.00916,-0.01274,0.00562,0.00319,1.47516,0.11382,3.27766
0.022,0.000000,0,0,0,0,7.265222,0.557618,12.225465,3.940303,36.497551,14.039145,7.047783,-11.164683,10.289902,0.000000,-11.843051,-1.213010,6.257815,6.312017,0,0,0,0,13.355343,3.006701,7.070677,-65.786331,11.131695,162.305557,0,33.393192,56.215881,56.891323,9.390388,15.104798,8.076087,10.618317,8.106255,10.125895,8.315638,9.585957,8.695846,11.345220,9.807579,10.194823,10.013261,11.094963,0,0.00677,-0.11127,-0.05109,0.00372,0.00931,-0.01407,0.00589,0.00409,1.47372,0.11121,3.27743
0.023,0.000000,0,0,0,0,7.265934,0.557264,12.216417,3.957888,36.488560,14.075807,7.048525,-11.129446,10.278361,0.000000,-11.729134,-1.629598,6.237301,6.310598,0,0,0,0,13.343260,3.008650,7.069479,-66.493431,11.065192,162.727203,0,32.833229,56.322426,57.379826,9.415657,15.166382,8.075594,10.607906,8.108694,10.114312,8.318555,9.570762,8.684277,11.333122,9.807644,10.193916,10.011282,11.091596,0,0.00494,-0.10437,-0.03348,0.00375,0.00824,-0.01126,0.00504,0.00204,1.47476,0.11266,3.27739
0.024,0.000000,0,0,0,0,7.269543,0.557715,12.210633,3.972553,36.436005,14.112633,7.050519,-11.031019,10.266836,0.000000,-11.558982,-2.041764,6.216380,6.308062,0,0,0,0,13.331226,3.009172,7.076141,-66.547798,10.998755,163.151230,0,32.450836,56.320000,57.764877,9.411615,15.221551,8.075173,10.598179,8.113114,10.105249,8.326154,9.557579,8.675710,11.323038,9.809290,10.194215,10.010367,11.090446,0,4.76602,0.26013,0.15601,0.00235,0.00824,-0.01151,0.00650,0.00404,1.47327,0.11425,3.27769
0.025,0.000000,0,0,0,0,7.273152,0.558167,12.204849,3.987218,36.383450,14.149460,7.052514,-10.932591,10.255311,0.000000,-11.388830,-2.453930,6.195331,6.305526,0,0,0,0,13.319192,3.009695,7.082802,-66.602173,10.932319,163.575256,0,32.068439,56.317570,58.149929,9.407574,15.276720,8.074753,10.588451,8.117536,10.096188,8.333753,9.544396,8.667142,11.312954,9.810936,10.194512,10.009452,11.089294,0,4.06052,0.41351,0.70361,0.00328,0.00931,-0.01268,0.00662,0.00301,1.47705,0.11523,3.27781
0.026,0.000000,0,0,0,0,7.276762,0.558618,12.199065,4.001883,36.330894,14.186286,7.054508,-10.834165,10.243786,0.000000,-11.218679,-2.866096,6.174119,6.302989,0,0,0,0,13.307158,3.010218,7.089464,-66.656540,10.865881,163.999283,0,31.686047,56.315144,58.534981,9.403532,15.331889,8.074333,10.578723,8.121956,10.087125,8.341352,9.531213,8.658574,11.302870,9.812582,10.194811,10.008536,11.088144,0,-1.75882,-0.14236,0.00980,0.00220,0.00778,-0.01352,0.00800,0.00346,1.47409,0.11490,3.27758
0.027,0.000000,0,0,0,0,7.278836,0.558631,12.192546,4.024073,36.229282,14.223018,7.056787,-10.684171,10.232499,0.000000,-10.984351,-3.264760,6.152966,6.299933,0,0,0,0,13.295395,3.009892,7.098964,-66.726425,10.799399,164.311172,0,31.404198,56.329426,58.880428,9.382706,15.383886,8.073286,10.569041,8.125049,10.077915,8.347690,9.518631,8.650935,11.292871,9.814010,10.194173,10.007866,11.087029,0,-0.96732,-0.11469,-0.12814,0.00269,0.00656,-0.01219,0.00327,0.00195,1.47305,0.11054,3.27746
0.028,0.000000,0,0,0,0,7.277849,0.557768,12.184558,4.061267,36.029854,14.259562,7.059637,-10.431353,10.221690,0.000000,-10.622054,-3.636502,6.131889,6.295839,0,0,0,0,13.284174,3.007874,7.114122,-66.827248,10.732827,164.399506,0,31.322838,56.377026,59.146904,9.328411,15.429559,8.070992,10.559452,8.125496,10.068412,8.351511,9.507247,8.645147,11.283040,9.815001,10.191670,10.007682,11.085983,0,-2.42960,-0.24007,-0.07303,0.00217,0.01053,-0.01305,0.00668,0.00314,1.47479,0.10916,3.27754
0.029,0.000000,0,0,0,0,7.276862,0.556905,12.176571,4.098461,35.830425,14.296104,7.062486,-10.178535,10.210880,0.000000,-10.259757,-4.008244,6.111016,6.291745,0,0,0,0,13.272953,3.005855,7.129281,-66.928078,10.666255,164.487839,0,31.241476,56.424625,59.413380,9.274117,15.475232,8.068697,10.549862,8.125942,10.058908,8.355333,9.495864,8.639359,11.273210,9.815992,10.189167,10.007499,11.084937,0,0.03256,0.56541,0.05719,0.00339,0.00916,-0.01474,0.00449,0.00404,1.47403,0.11404,3.27740
0.030,0.000000,0,0,0,0,7.275875,0.556042,12.168584,4.135654,35.631001,14.332647,7.065335,-9.925716,10.200071,0.000000,-9.897461,-4.379985,6.090403,6.287651,0,0,0,0,13.261732,3.003837,7.144440,-67.028900,10.599684,164.576172,0,31.160116,56.472225,59.679855,9.219823,15.520905,8.066402,10.540272,8.126389,10.049406,8.359156,9.484480,8.633572,11.263379,9.816983,10.186665,10.007315,11.083892,0,-0.28253,0.01680,-0.10184,0.00378,0.00809,-0.01274,0.00546,0.00313,1.47308,0.11485,3.27687
0.031,0.000000,0,0,0,0,7.275799,0.555835,12.162223,4.168873,35.347012,14.368984,7.067513,-9.603522,10.189565,0.000000,-9.419381,-4.726758,6.070120,6.282937,0,0,0,0,13.250939,3.000698,7.146197,-67.145409,10.532953,164.274750,0,31.226324,56.482960,59.948086,9.148906,15.557369,8.065547,10.530654,8.125986,10.040034,8.363029,9.474672,8.628444,11.254974,9.817533,10.184446,10.007543,11.082643,0,0.28455,-0.26474,-0.11417,0.00308,0.00961,-0.01149,0.00583,0.00243,1.47305,0.11404,3.27657
0.032,0.000000,0,0,0,0,7.277540,0.556936,12.159105,4.194165,34.894409,14.404908,7.068351,-9.142992,10.179662,0.000000,-8.710428,-5.023740,6.050258,6.276986,0,0,0,0,13.241001,2.995326,7.121232,-67.293182,10.465907,163.196182,0,31.586788,56.420181,60.219822,9.044839,15.575472,8.067559,10.520979,8.123891,10.030928,8.367002,9.468007,8.624631,11.249413,9.817204,10.182796,10.008592,11.080985,0,0.47986,-0.33406,-0.00229,0.00380,0.00839,-0.01274,0.00510,0.00169,1.47461,0.11208,3.27673
0.033,0.000000,0,0,0,0,7.279281,0.558037,12.155988,4.219457,34.441807,14.440833,7.069190,-8.682462,10.169759,0.000000,-8.001475,-5.320723,6.030833,6.271035,0,0,0,0,13.231063,2.989954,7.096266,-67.440948,10.398861,162.117615,0,31.947250,56.357403,60.491562,8.940773,15.593575,8.069571,10.511304,8.121795,10.021820,8.370976,9.461342,8.620818,11.243851,9.816874,10.181145,10.009641,11.079329,0,-0.00198,0.05235,0.06482,0.00383,0.00961,-0.01183,0.00552,0.00325,1.47485,0.11025,3.27696
0.034,0.000000,0,0,0,0,7.281022,0.559138,12.152870,4.244750,33.989204,14.476758,7.070029,-8.221931,10.159857,0.000000,-7.292523,-5.617705,6.011962,6.265084,0,0,0,0,13.221125,2.984582,7.071301,-67.588722,10.331816,161.039047,0,32.307713,56.294624,60.763298,8.836707,15.611678,8.071584,10.501629,8.119699,10.012712,8.374950,9.454677,8.617005,11.238288,9.816544,10.179494,10.010690,11.077671,0,-0.71677,0.39227,-0.04639,0.00381,0.00793,-0.01344,0.00504,0.00233,1.47415,0.11059,3.27734
0.035,0.000000,0,0,0,0,7.282101,0.558804,12.149330,4.273267,33.424980,14.512071,7.070162,-7.672124,10.150549,0.000000,-6.438748,-5.889145,5.993600,6.258712,0,0,0,0,13.212049,2.979738,7.065695,-67.751556,10.264456,160.152878,0,32.602489,56.231094,61.110180,8.734676,15.617498,8.072888,10.491309,8.118445,10.004431,8.380508,9.447524,8.612594,11.232428,9.816840,10.179031,10.012397,11.076885,0,-0.10071,0.01193,0.03790,0.00314,0.00931,-0.01128,0.00571,0.00221,1.47415,0.11426,3.27743
0.036,0.000000,0,0,0,0,7.281860,0.555610,12.144948,4.308216,32.638176,14.546163,7.068889,-6.944297,10.142430,0.000000,-5.296197,-6.109653,5.975887,6.251503,0,0,0,0,13.204694,2.975945,7.098696,-67.944427,10.196472,159.650360,0,32.766289,56.166069,61.606907,8.636704,15.598828,8.072783,10.479702,8.118872,9.997796,8.389227,9.439402,8.606990,11.225973,9.818384,10.180940,10.015415,11.077837,0,-0.00375,-0.01894,-0.04666,0.00226,0.00885,-0.01295,0.00446,0.00163,1.47388,0.11736,3.27697
0.037,0.000000,0,0,0,0,7.281619,0.552416,12.140565,4.343164,31.851376,14.580256,7.067616,-6.216470,10.134311,0.000000,-4.153646,-6.330160,5.958637,6.244294,0,0,0,0,13.197337,2.972153,7.131697,-68.137306,10.128488,159.147842,0,32.930084,56.101040,62.103634,8.538733,15.580158,8.072679,10.468095,8.119298,9.991161,8.397945,9.431279,8.601386,11.219519,9.819928,10.182848,10.018435,11.078788,0,-0.02563,-0.01306,0.01205,0.00209,0.01007,-0.01288,0.00436,0.00372,1.47339,0.11461,3.27689
0.038,0.000000,0,0,0,0,7.281378,0.549222,12.136183,4.378113,31.064575,14.614347,7.066342,-5.488642,10.126191,0.000000,-3.011094,-6.550668,5.941978,6.237085,0,0,0,0,13.189981,2.968361,7.164698,-68.330177,10.060504,158.645325,0,33.093884,56.036011,62.600361,8.440762,15.561487,8.072574,10.456488,8.119723,9.984527,8.406664,9.423156,8.595782,11.213064,9.821472,10.184756,10.021453,11.079740,0,-0.03857,-0.01569,-0.07153,0.00415,0.00793,-0.01270,0.00513,0.00369,1.47479,0.11170,3.27750
