"Time","v3 L COP","v2 R COP","49 RDS cle","47 R marks","39 FRx (cm)","35 HRx (cm)","v1 xCoM","42 CoMy (cm)","50 LDS cle","48 L marks","37 FLx (cm)","33 HLx (cm)","3 Platform"
0.063,0.000000,0.000000,0,0,16.791540,12.610587,5.563561,5.622749,1,0,15.358556,12.834852,0.00008
0.064,0.000000,0.000000,0,0,16.781725,12.622573,5.577607,5.623274,1,0,15.404184,12.824094,0.00000
0.065,0.000000,0.000000,0,0,16.772057,12.639144,5.587682,5.623006,1,0,15.451193,12.813476,0.00015
0.066,0.000000,0.000000,0,0,16.762388,12.655715,5.595893,5.622738,1,0,15.498201,12.802856,0.00016
0.067,0.000000,0.000000,0,0,16.752720,12.672286,5.600612,5.622471,1,0,15.545210,12.792237,0.00009
0.068,0.000000,0.000000,0,0,16.743038,12.690118,5.604498,5.622156,1,0,15.592708,12.781653,-0.00008
0.069,0.000000,0.000000,0,0,16.733309,12.711900,5.606822,5.621695,1,0,15.641737,12.771178,0.00000
0.070,0.000000,0.000000,0,0,16.723581,12.733682,5.608197,5.621233,1,0,15.690766,12.760703,0.00007
0.071,0.000000,0.000000,0,0,16.713854,12.755463,5.607796,5.620771,1,0,15.739796,12.750229,-0.00001
0.072,0.000000,0.000000,0,0,16.704151,12.778214,5.606191,5.620273,1,0,15.789115,12.739850,0.00015
0.073,0.000000,0.000000,0,0,16.694529,12.804006,5.602332,5.619658,1,0,15.839340,12.729774,0.00023
0.074,0.000000,0.000000,0,0,16.684906,12.829796,5.597928,5.619043,1,0,15.889565,12.719699,0.00007
0.075,0.000000,0.000000,0,0,16.675283,12.855586,5.592505,5.618428,1,0,15.939790,12.709622,-0.00015
0.076,0.000000,0.000000,0,0,16.665653,12.882229,5.587295,5.617683,1,0,15.990166,12.699659,0.00007
0.077,0.000000,0.000000,0,0,16.656000,12.911542,5.582486,5.616533,1,0,16.041016,12.690048,0.00000
0.078,0.000000,0.000000,0,0,16.646347,12.940855,5.577864,5.615383,1,0,16.091864,12.680437,0.00015
0.079,0.000000,0.000000,0,0,16.636692,12.970168,5.573591,5.614233,1,0,16.142714,12.670826,-0.00007
0.080,0.000000,0.000000,0,0,16.627092,13.000096,5.569297,5.613033,1,0,16.193457,12.661237,0.00016
