"Time","57 lHL swoff","64 sinus3","63 Ramp down","62 Ramp up","61 right DS","60 left DS","59 rHL swoff","58 rHL swon","55 rFL swoff","56 lHL swon","54 rFL swon","53 lFL swoff","52 lFL swon","51 sinus2","50 sinus","49 st rmp dw","48 sw rmp dw","47 st rmp up","46 sw rmp up","45 sw offset","44 sw onset","43 Ramp down","42 Ramp up","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37a CoMy (cm)","37 CoMy (cm)","v3 xCoM","v4 R COP","36 CoMx (cm)","35 FRy (cm)","67 RDS cle","65 R mark","34 FRx (cm)","33 FLy (cm)","29 HRx (cm)","v5 L COP","68 LDS cle","66 L mark","32 FLx (cm)","31 Keyboard","30 HRy (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch","v2 Virtual","v1 Virtual"
0.023,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.892456,68.865280,86.583229,73.324387,-7.459414,4.431227,4.077711,3.658634,8.758156,3.988288,1,0,11.698514,5.550240,7.478559,0.000000,0,0,8.784358,0,3.328964,5.575789,8.453652,8.161960,11.776420,7.910127,7.400168,8.023225,6.804280,8.626961,6.292468,9.091292,7.614614,10.419790,7.084846,10.470759,8.146506,0,0.00336,0.00119,0.00098,0.00229,0.00067,0.00082,0.00190,0.00111,-1.47202,0.10216,3.27661,,
0.024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.581528,68.445198,86.217026,74.336418,-7.592269,4.424136,4.064329,3.654637,8.766689,3.982268,1,0,11.701845,5.548693,7.466603,0.000000,0,0,8.776300,0,3.326990,5.573864,8.454062,8.144819,11.781835,7.908333,7.387012,8.025666,6.790538,8.638391,6.289068,9.076138,7.612556,10.410546,7.094938,10.467519,8.158957,0,0.00334,0.00127,0.00094,0.00243,0.00069,0.00086,0.00187,0.00114,-1.47659,0.10233,3.27689,,
0.025,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.471786,67.798088,85.946388,75.521751,-7.730298,4.417282,4.050906,3.650597,8.775747,3.976217,1,0,11.701845,5.547393,7.454924,0.000000,0,0,8.768812,0,3.324917,5.572287,8.445857,8.125144,11.770754,7.905643,7.375835,8.031217,6.773035,8.654015,6.284698,9.058001,7.606653,10.398408,7.107977,10.464116,8.173212,0,0.00329,0.00133,0.00090,0.00248,0.00070,0.00096,0.00184,0.00120,-1.47903,0.10225,3.27750,,
0.026,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.362045,67.150978,85.675758,76.707077,-7.868328,4.410429,4.037133,3.646528,8.784804,3.970166,1,0,11.701845,5.546093,7.443244,0.000000,0,0,8.761324,0,3.322843,5.570711,8.437653,8.105470,11.759673,7.902953,7.364657,8.036766,6.755531,8.669639,6.280327,9.039864,7.600749,10.386269,7.121016,10.460712,8.187468,0,0.00312,0.00133,0.00089,0.00243,0.00070,0.00107,0.00172,0.00122,-1.48270,0.10211,3.27769,,
0.027,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.252289,66.503868,85.405121,77.892403,-8.006357,4.403574,4.023209,3.642447,8.793862,3.964115,1,0,11.701845,5.544793,7.431565,0.000000,0,0,8.753836,0,3.320770,5.569135,8.429447,8.085794,11.748592,7.900262,7.353480,8.042316,6.738028,8.685264,6.275957,9.021727,7.594845,10.374130,7.134054,10.457310,8.201722,0,0.00298,0.00134,0.00092,0.00242,0.00073,0.00108,0.00189,0.00137,-1.48331,0.10219,3.27762,,
0.028,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140.172272,65.538467,85.102692,78.855721,-8.157786,4.396121,4.008681,3.638432,8.803894,3.958151,1,0,11.701845,5.543685,7.420290,0.000000,0,0,8.748047,0,3.318771,5.567615,8.422882,8.059513,11.753798,7.896058,7.335971,8.040053,6.724362,8.691010,6.260808,9.003952,7.586294,10.362138,7.144945,10.452248,8.215734,0,0.00292,0.00132,0.00093,0.00244,0.00072,0.00111,0.00194,0.00154,-1.47812,0.10226,3.27740,,
0.029,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141.728729,64.376328,84.780602,79.681801,-8.317500,4.388296,3.993895,3.634446,8.814528,3.952242,1,0,11.701845,5.542698,7.409267,0.000000,0,0,8.743307,0,3.316818,5.566130,8.417330,8.029149,11.769069,7.890918,7.314548,8.032961,6.713068,8.690650,6.238997,8.986402,7.576106,10.350236,7.154508,10.446158,8.229597,0,0.00294,0.00131,0.00095,0.00247,0.00071,0.00241,0.00195,0.00169,-1.47858,0.10223,3.27710,,
0.030,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143.285187,63.214180,84.458511,80.507889,-8.477213,4.380472,3.978669,3.630531,8.825161,3.946333,1,0,11.701845,5.541710,7.398244,0.000000,0,0,8.738567,0,3.314865,5.564645,8.411778,7.998784,11.784340,7.885779,7.293125,8.025867,6.701775,8.690289,6.217186,8.968852,7.565918,10.338333,7.164070,10.440070,8.243460,0,0.00294,0.00131,0.00097,0.00250,0.00073,0.00259,0.00193,0.00173,-1.47507,0.10234,3.27712,,
0.031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.841644,62.052036,84.136421,81.333969,-8.636927,4.372647,3.963255,3.626647,8.835795,3.940424,1,0,11.701845,5.540722,7.387221,0.000000,0,0,8.733828,0,3.312912,5.563160,8.406226,7.968420,11.799611,7.880639,7.271701,8.018775,6.690482,8.689930,6.195375,8.951302,7.555731,10.326431,7.173633,10.433982,8.257321,0,0.00283,0.00131,0.00100,0.00249,0.00073,0.00264,0.00184,0.00171,-1.47415,0.10249,3.27735,,
0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146.302185,61.425652,83.745697,82.023170,-8.795047,4.364757,3.947778,3.622807,8.850034,3.934554,1,0,11.701845,5.541305,7.373560,0.000000,0,0,8.734091,0,3.311049,5.539314,8.401375,7.944050,11.800392,7.874993,7.253195,8.028124,6.679372,8.695240,6.182418,8.936367,7.553750,10.314829,7.183577,10.427642,8.269728,0,0.00275,0.00130,0.00101,0.00242,0.00071,0.00265,0.00176,0.00170,-1.47583,0.10237,3.27725,,
