"Time","v1 xCoM","37a CoMy (cm)","37 CoMy (cm)","v3 R COP","60 RDS cle","58 R mark","34 FRx (cm)","29 HRx (cm)","v2 L COP","61 LDS cle","59 L mark","32 FLx (cm)","27 HLx (cm)","3 Platform","2 Trdml"
0.164,5.878725,-8.823118,6.246818,0.000000,0,0,14.346244,10.226238,7.094820,1,0,13.986876,7.430932,-0.76364,0.09925
0.165,5.878796,-9.033255,6.231216,0.000000,0,0,14.365630,10.211801,7.094311,1,0,13.974870,7.434338,-2.40756,0.09926
0.166,5.879916,-9.160095,6.221900,0.000000,0,0,14.384099,10.198500,7.093782,1,0,13.962966,7.438689,-0.27086,0.09928
0.167,5.882053,-9.174704,6.221052,0.000000,0,0,14.401331,10.186728,7.093235,1,0,13.951203,7.444312,-2.02356,0.09928
0.168,5.884644,-9.189312,6.220205,0.000000,0,0,14.418563,10.174956,7.092647,1,0,13.939440,7.449935,-1.39159,0.09896
0.169,5.887674,-9.203920,6.219358,0.000000,0,0,14.435795,10.163184,7.092022,1,0,13.927676,7.455559,-0.56035,0.09885
0.170,5.890892,-9.136954,6.212744,0.000000,0,0,14.452991,10.150986,7.091360,1,0,13.915996,7.462078,-2.13833,0.09918
0.171,5.894291,-8.960075,6.198359,0.000000,0,0,14.470137,10.138212,7.090662,1,0,13.904428,7.469802,-1.25330,0.09904
0.172,5.898041,-8.783196,6.183974,0.000000,0,0,14.487283,10.125439,7.090086,1,0,13.892859,7.477528,-0.96794,0.09879
0.173,5.902131,-8.606317,6.169590,0.000000,0,0,14.504429,10.112664,7.089629,1,0,13.881290,7.485253,-2.41392,0.09898
0.174,5.906667,-8.212594,6.155265,0.000000,0,0,14.521572,10.102492,7.089420,1,0,13.869781,7.493988,-0.74680,0.09903
0.175,5.911635,-7.526690,6.141020,0.000000,0,0,14.538712,10.095827,7.089451,1,1,13.858354,7.504085,-0.98498,0.09889
0.176,5.916905,-6.840787,6.126775,0.000000,0,0,14.555852,10.089161,5.288742,0,0,13.846925,7.514182,-2.37599,0.09872
0.177,5.922468,-6.154884,6.112530,0.000000,0,0,14.572991,10.082495,1.744009,0,0,13.835497,7.524279,-0.28578,0.09881
0.178,5.928295,-5.474313,6.104476,0.000000,0,0,14.589609,10.072164,0.000000,0,0,13.824066,7.518644,-1.36288,0.09900
0.179,5.934378,-4.800924,6.104764,0.000000,0,0,14.605524,10.056893,0.000000,0,0,13.812634,7.491814,-2.16816,0.09880
0.180,5.940884,-4.127536,6.105051,0.000000,0,0,14.621440,10.041623,0.000000,0,0,13.801201,7.464983,-0.25582,0.09846
0.181,5.947799,-3.454148,6.105338,0.000000,0,0,14.637355,10.026354,0.000000,0,0,13.789768,7.438153,-1.47155,0.09880
0.182,5.955378,-2.792543,6.105739,0.000000,0,0,14.653172,10.011562,0.000000,0,0,13.778436,7.430614,-2.40402,0.09890
0.183,5.963599,-2.146816,6.106291,0.000000,0,0,14.668857,9.997416,0.000000,0,0,13.767237,7.449069,-0.31434,0.09852
0.184,5.972687,-1.501089,6.106844,0.000000,0,0,14.684542,9.983272,0.000000,0,0,13.756038,7.467525,-0.96313,0.09840
0.185,5.982614,-0.855362,6.107397,0.000000,0,0,14.700227,9.969126,0.000000,0,0,13.744839,7.485980,-2.15712,0.09874
0.186,5.993244,-0.348161,6.108246,0.000000,0,0,14.715565,9.955492,0.000000,0,0,13.733867,7.524397,-1.14440,0.09878
0.187,6.004556,-0.027612,6.109496,0.000000,0,0,14.730437,9.942547,0.000000,0,0,13.723198,7.589711,-0.62302,0.09860
0.188,6.016094,0.292937,6.110745,0.000000,0,0,14.745310,9.929602,0.000000,0,0,13.712530,7.655024,-2.30183,0.09859
0.189,6.027853,0.613485,6.111995,0.000000,0,0,14.760182,9.916656,0.000000,0,0,13.701861,7.720338,-1.50550,0.09871
0.190,6.039663,0.800282,6.113156,0.000000,0,0,14.774710,9.902811,0.000000,0,0,13.690954,7.767444,-0.46783,0.09871
0.191,6.051524,0.806858,6.114200,0.000000,0,0,14.788771,9.887751,0.000000,0,0,13.679726,7.790018,-1.74438,0.09860
0.192,6.063597,0.813435,6.115244,0.000000,0,0,14.802832,9.872691,0.000000,0,0,13.668497,7.812591,-2.26523,0.09862
0.193,6.075874,0.820011,6.116288,0.000000,0,0,14.816893,9.857631,0.000000,0,0,13.657268,7.835165,-0.28253,0.09871
0.194,6.088240,0.831114,6.117040,0.000000,0,0,14.830916,9.845890,0.000000,0,0,13.646134,7.867002,-1.70992,0.09875
0.195,6.100692,0.848318,6.117399,0.000000,0,0,14.844889,9.838622,0.000000,0,0,13.635131,7.911323,-2.41089,0.09859
