"Time"	"45 sw offset"	"44 sw onset"	"11 Gr"	"10 Gs"	"9 TA"	"8 St"	"7 VL"	"6 BF"	"5 Ip"	"4 GM"
1.12	0	0	0.00088	0.00135	0.00071	0.00239	0.00043	0.00060	0.00109	0.00057
1.13	0	0	0.00172	0.00193	0.00057	0.00265	0.00048	0.00054	0.00060	0.00064
1.14	0	0	0.00088	0.00243	0.00066	0.00193	0.00068	0.00098	0.00054	0.00062
1.15	0	0	0.00064	0.00136	0.00060	0.00163	0.00074	0.00095	0.00088	0.00050
1.16	0	0	0.00069	0.00178	0.00099	0.00181	0.00139	0.00081	0.00063	0.00061
1.17	0	0	0.00061	0.00076	0.00063	0.00068	0.00077	0.00086	0.00145	0.00047
1.18	0	0	0.00100	0.00096	0.00064	0.00084	0.00063	0.00114	0.00061	0.00051
1.19	0	0	0.00061	0.00065	0.00053	0.00058	0.00087	0.00069	0.01011	0.00092
1.20	0	0	0.00413	0.00207	0.00065	0.00118	0.00080	0.00071	0.02343	0.00873
1.21	0	1	0.00921	0.00581	0.00163	0.00148	0.00058	0.00067	0.00993	0.00043
1.22	0	0	0.00569	0.00353	0.00623	0.00159	0.00221	0.00094	0.00944	0.00494
1.23	0	0	0.00131	0.00116	0.00226	0.00085	0.00059	0.00064	0.00235	0.00113
1.24	0	0	0.00049	0.00133	0.00283	0.00074	0.00053	0.00073	0.01807	0.00371
1.25	0	0	0.00100	0.00061	0.00342	0.00070	0.00052	0.00065	0.00172	0.00210
1.26	0	0	0.00128	0.00095	0.00081	0.00068	0.00101	0.00086	0.00167	0.00618
1.27	0	0	0.00121	0.00112	0.00064	0.00056	0.00107	0.00082	0.00135	0.00094
1.28	0	0	0.00096	0.00100	0.00074	0.00068	0.00082	0.00070	0.00082	0.00090
1.29	1	0	0.00094	0.00071	0.00109	0.00073	0.00054	0.00085	0.00072	0.00058
1.30	0	0	0.00142	0.00139	0.00212	0.00113	0.00090	0.00177	0.00128	0.00069
1.31	0	0	0.00102	0.00065	0.00130	0.00126	0.00193	0.00198	0.00089	0.00087
1.32	0	0	0.00219	0.00074	0.00104	0.00138	0.00278	0.00180	0.00066	0.00055
1.33	0	0	0.00100	0.00080	0.00088	0.00322	0.00080	0.00065	0.00062	0.00059
1.34	0	0	0.00133	0.00243	0.00048	0.00527	0.00063	0.00069	0.00090	0.00051
1.35	0	0	0.00119	0.00102	0.00080	0.00104	0.00245	0.00166	0.00270	0.00053
1.36	0	0	0.00062	0.00066	0.00107	0.00062	0.00080	0.00094	0.00129	0.00048
1.37	0	0	0.00080	0.00084	0.00054	0.00090	0.00132	0.00221	0.00349	0.00064
1.38	0	0	0.00186	0.00064	0.00072	0.00054	0.00076	0.00071	0.00063	0.00067
1.39	0	1	0.00256	0.00598	0.00151	0.00179	0.00064	0.00060	0.01490	0.00081
1.40	0	0	0.00351	0.00450	0.00295	0.00145	0.00048	0.00048	0.00332	0.00448
1.41	0	0	0.00253	0.00345	0.00253	0.00179	0.00054	0.00080	0.02062	0.00478
1.42	0	0	0.00114	0.00069	0.00248	0.00047	0.00077	0.00075	0.02420	0.00333
1.43	0	0	0.00110	0.00070	0.00486	0.00063	0.00052	0.00070	0.00209	0.00089
1.44	0	0	0.00208	0.00055	0.00119	0.00055	0.00054	0.00085	0.00132	0.00487
1.45	0	0	0.00115	0.00048	0.00191	0.00048	0.00061	0.00061	0.01421	0.00375
1.46	0	0	0.00149	0.00043	0.00159	0.00059	0.00049	0.00052	0.02975	0.00276
1.47	0	0	0.00091	0.00075	0.00081	0.00059	0.00061	0.00055	0.02632	0.01520
1.48	0	0	0.00130	0.00091	0.00081	0.00059	0.00091	0.00106	0.02518	0.01377
1.49	0	0	0.00118	0.00043	0.00074	0.00090	0.00111	0.00067	0.00354	0.00156
1.50	0	0	0.00157	0.00210	0.00069	0.00069	0.00070	0.00080	0.00116	0.00050
1.51	1	0	0.00098	0.00058	0.00065	0.00066	0.00052	0.00065	0.00962	0.00055
1.52	0	0	0.00071	0.00067	0.00100	0.00089	0.00044	0.00056	0.00118	0.00060
1.53	0	0	0.00133	0.00078	0.00107	0.00113	0.00163	0.00067	0.00105	0.00063
1.54	0	0	0.00145	0.00064	0.00071	0.00115	0.00090	0.00084	0.00103	0.00079
1.55	0	0	0.00079	0.00296	0.00096	0.00119	0.00075	0.01623	0.00062	0.00061
1.56	0	0	0.00252	0.00050	0.00100	0.00115	0.00084	0.00080	0.00098	0.00050
1.57	0	0	0.00226	0.00196	0.00069	0.00298	0.00070	0.00086	0.00129	0.00050
1.58	0	0	0.00266	0.00074	0.00053	0.00126	0.00100	0.00083	0.00087	0.00063
1.59	0	0	0.00169	0.00107	0.00062	0.00168	0.00085	0.00103	0.00182	0.00048
1.60	0	0	0.00100	0.00191	0.00064	0.00221	0.00090	0.00097	0.00243	0.00057
1.61	0	0	0.00113	0.00072	0.00083	0.00099	0.00142	0.00109	0.00094	0.00047
1.62	0	0	0.00156	0.00053	0.00085	0.00055	0.00068	0.00753	0.00225	0.00040
1.63	0	0	0.00066	0.00106	0.00063	0.00088	0.00062	0.00065	0.00070	0.00063
1.64	0	1	0.00288	0.00420	0.00063	0.00205	0.00078	0.00073	0.00825	0.00448
1.65	0	0	0.00464	0.00268	0.00046	0.00095	0.00062	0.00052	0.00202	0.00949
1.66	0	0	0.00291	0.00701	0.00344	0.00304	0.00048	0.00067	0.00265	0.00273
1.67	0	0	0.00402	0.00102	0.00159	0.00060	0.00072	0.00060	0.00424	0.00075
1.68	0	0	0.00051	0.00074	0.00135	0.00095	0.00051	0.00093	0.00598	0.01759
1.69	0	0	0.00193	0.00080	0.00174	0.00053	0.00053	0.00055	0.00216	0.00669
1.70	0	0	0.00092	0.00054	0.00146	0.00073	0.00052	0.00056	0.01199	0.00132
1.71	0	0	0.00066	0.00064	0.00115	0.00051	0.00046	0.00063	0.00737	0.00436
1.72	0	0	0.00079	0.00098	0.00085	0.00046	0.00128	0.00103	0.00399	0.00058
1.73	0	0	0.00077	0.00061	0.00113	0.00042	0.00076	0.00111	0.00203	0.00040
1.74	1	0	0.00057	0.00044	0.00114	0.00085	0.00100	0.00087	0.00391	0.00057
1.75	0	0	0.00069	0.00062	0.00055	0.00093	0.00149	0.00069	0.00131	0.00049
1.76	0	0	0.00141	0.00058	0.00116	0.00078	0.00076	0.00075	0.00109	0.00077
1.77	0	0	0.00134	0.00074	0.00136	0.00083	0.00058	0.00059	0.00136	0.00054
1.78	0	0	0.00092	0.00065	0.00057	0.00101	0.00041	0.00074	0.00086	0.00076
1.79	0	0	0.00185	0.00069	0.00071	0.00093	0.00081	0.00078	0.00126	0.00060
1.80	0	0	0.00182	0.00091	0.00065	0.00092	0.00050	0.00084	0.00049	0.00053
1.81	0	0	0.00264	0.00197	0.00074	0.00217	0.00054	0.00076	0.00104	0.00040
1.82	0	0	0.00069	0.00144	0.00070	0.00147	0.00056	0.00055	0.00071	0.00046
1.83	0	0	0.00130	0.00301	0.00085	0.00341	0.00151	0.00898	0.00119	0.00120
1.84	0	0	0.00144	0.00102	0.00069	0.00096	0.00066	0.00073	0.00088	0.00067
1.85	0	0	0.00111	0.00247	0.00069	0.00294	0.00246	0.00138	0.00159	0.00038
1.86	0	0	0.00120	0.00075	0.00091	0.00170	0.00072	0.00117	0.00153	0.00116
