"Time","63 sinus","62 rm dwn st","61 rm dwn sw","60 rmp up st","59 rmp up sw","58 Ramp down","57 Ramp up","56 right DS","55 left DS","54 lHL swoff","53 lHL swon","52 rHL swoff","51 rHL swon","50 lFL swoff","49 lFL swon","48 rFL swoff","47 rFL swon","46 sw offset","45 sw onset","44 ramnp dwn","43 ramp up","42 sinus rmp","41 MTP (deg)","40 Ankle (de","39 Knee (deg","38 Hip (deg)","37 CoMy (cm)","36 CoMx (cm)","35 FRy (cm)","34 FRx (cm)","33 FLy (cm)","32 FLx (cm)","31 Keyboard","30 HRy (cm)","29 HRx (cm)","28 HLy (cm)","27 HLx (cm)","26 FLty (cm)","25 FLtx (cm)","24 toey (cm)","23 toex (cm)","22 MTPy (cm)","21 MTPx (cm)","20 anky (cm)","19 ankx (cm)","18 Knee y","17 Knee x","16 Hipy (cm)","15 Hipx (cm)","14 Cry (cm)","13 Crx (cm)","12 Synch","11 Gr","10 Gs","9 TA","8 St","7 VL","6 BF","5 Ip","4 GM","3 Platform","2 Trdml","1 Synch"
0.022,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,121.319588,67.143188,76.512260,79.007103,6.071311,8.499922,5.010012,9.391502,6.236339,11.510172,0,4.695790,5.679258,6.628541,5.562243,7.797563,9.151573,7.853869,5.542725,8.122647,5.167143,8.804688,5.193731,8.128558,6.477220,9.398058,6.712461,9.062271,7.470734,0,-0.01871,0.00377,-0.01740,-0.01454,0.00876,-0.01329,-0.00568,0.00320,0.00000,0.10178,3.27718
0.023,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,128.426697,65.476517,76.617188,80.232857,6.068118,8.506893,5.009562,9.381629,6.236512,11.515806,0,4.701888,5.714254,6.626842,5.552129,7.797314,9.140944,7.856033,5.535931,8.114354,5.173681,8.740149,5.206695,8.132190,6.480114,9.399685,6.721298,9.061669,7.484559,0,-0.01675,0.00304,-0.04974,-0.01414,0.00800,-0.01166,-0.00018,0.00031,0.00006,0.09133,3.27708
0.024,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,139.188171,61.109966,75.396881,82.230827,6.064909,8.514725,5.009126,9.371745,6.236704,11.520679,0,4.708748,5.749343,6.625236,5.542102,7.797015,9.130756,7.858292,5.529288,8.099424,5.186037,8.728086,5.226044,8.143853,6.455040,9.401947,6.730230,9.060267,7.499580,0,-0.01785,0.00291,0.01831,-0.01285,0.00702,-0.01247,-0.02469,0.00237,0.00009,0.08577,3.27677
0.025,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149.949661,56.743416,74.176575,84.228806,6.061701,8.522557,5.008689,9.361861,6.236897,11.525552,0,4.715609,5.784431,6.623630,5.532076,7.796716,9.120570,7.860551,5.522646,8.084494,5.198394,8.716021,5.245393,8.155517,6.429967,9.404210,6.739163,9.058867,7.514602,0,-0.01569,0.00359,-0.02502,-0.01357,0.00928,-0.01265,0.00763,0.00320,0.00015,0.10762,3.27677
0.026,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,160.711136,52.376865,72.956261,86.226776,6.058493,8.530390,5.008254,9.351977,6.237089,11.530424,0,4.722469,5.819520,6.622024,5.522049,7.796417,9.110383,7.862810,5.516004,8.069564,5.210750,8.703957,5.264742,8.167179,6.404894,9.406472,6.748096,9.057465,7.529623,0,-0.02383,0.00410,-0.03281,-0.01399,0.00858,-0.01193,0.00769,0.00038,0.00009,0.11227,3.27693
0.027,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165.907730,47.728989,71.472626,87.504829,6.058660,8.540843,5.007701,9.342273,6.236974,11.534035,0,4.730270,5.853713,6.620545,5.512182,7.796313,9.100382,7.870114,5.494500,8.188120,5.243211,8.813678,5.279011,8.186907,6.369064,9.409303,6.760587,9.059644,7.539543,0,-0.01785,0.00305,-0.01465,-0.01392,0.00854,-0.01152,0.00607,0.00420,0.00009,0.09829,3.27708
0.028,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,168.485550,42.948723,69.865067,88.444099,6.060413,8.552530,5.007094,9.332653,6.236715,11.537051,0,4.738513,5.887483,6.619126,5.502390,7.796300,9.090468,7.879791,5.466003,8.369493,5.285134,8.980709,5.290888,8.210429,6.328173,9.412401,6.774752,9.063508,7.547061,0,-0.02075,0.00259,-0.00977,-0.01421,0.00931,-0.01216,0.00369,-0.00992,-0.00006,0.09610,3.27723
0.029,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,171.063370,38.168461,68.257507,89.383362,6.062168,8.564218,5.006486,9.323034,6.236455,11.540069,0,4.746757,5.921254,6.617708,5.492598,7.796288,9.080555,7.889469,5.437507,8.550865,5.327057,9.147740,5.302766,8.233952,6.287281,9.415500,6.788918,9.067372,7.554579,0,-0.00937,0.00368,-0.06714,-0.01387,0.00882,-0.01173,0.00482,0.00000,0.00006,0.11357,3.27703
0.030,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,173.641174,33.388195,66.649948,90.322632,6.063922,8.575905,5.005879,9.313415,6.236196,11.543085,0,4.755000,5.955025,6.616289,5.482806,7.796276,9.070641,7.899146,5.409010,8.732238,5.368979,9.314772,5.314643,8.257473,6.246388,9.418598,6.803083,9.071237,7.562098,0,-0.02045,0.00294,-0.04837,-0.01221,0.00891,-0.01190,-0.00284,-0.00397,-0.00003,0.10272,3.27665
0.031,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,174.293045,31.509201,66.030479,90.126656,6.063433,8.584933,5.005277,9.303941,6.235604,11.544115,0,4.763773,5.988359,6.615104,5.472975,7.796528,9.061143,7.983278,5.423090,8.787357,5.398378,9.359786,5.325957,8.262759,6.248734,9.420079,6.814527,9.073468,7.569990,0,-0.01913,0.00404,-0.00977,-0.01547,0.00970,-0.01280,0.00162,0.00145,0.00006,0.08186,3.27642
0.032,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,174.038589,30.995510,65.875999,89.396439,6.061888,8.592710,5.004676,9.294536,6.234856,11.544210,0,4.772796,6.021489,6.614029,5.463125,7.796905,9.051841,8.102448,5.457205,8.783063,5.421884,9.347382,5.337004,8.259462,6.271428,9.420799,6.824689,9.074931,7.578059,0,-0.01978,0.00279,-0.02350,-0.01122,0.00797,-0.01237,0.00516,0.00397,0.00015,0.08896,3.27626
0.033,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,173.784134,30.481819,65.721519,88.666222,6.060343,8.600486,5.004076,9.285131,6.234107,11.544306,0,4.781818,6.054619,6.612955,5.453276,7.797282,9.042539,8.221618,5.491321,8.778769,5.445389,9.334977,5.348052,8.256166,6.294121,9.421519,6.834852,9.076394,7.586129,0,-0.01639,0.00369,-0.01602,-0.01302,0.00800,-0.01366,0.01129,0.00206,0.00009,0.10783,3.27647
0.034,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,173.529663,29.968128,65.567032,87.936005,6.058798,8.608263,5.003475,9.275725,6.233359,11.544401,0,4.790841,6.087749,6.611879,5.443427,7.797659,9.033236,8.340788,5.525437,8.774475,5.468895,9.322572,5.359099,8.252870,6.316814,9.422239,6.845014,9.077857,7.594198,0,-0.01651,0.00291,-0.01862,-0.01332,0.00943,-0.01176,0.00677,0.00336,-0.00003,0.11095,3.27685
0.035,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,173.661499,29.565042,65.392647,87.052567,6.055952,8.618961,5.002779,9.266422,6.232326,11.542754,0,4.800103,6.120838,6.610898,5.433232,7.797988,9.024940,8.346345,5.551442,8.763517,5.494309,9.313653,5.375542,8.247027,6.345129,9.423279,6.860561,9.078847,7.605281,0,-0.01617,0.00380,-0.01556,-0.01334,0.00739,-0.01360,-0.02682,0.00366,-0.00003,0.09273,3.27698
0.036,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,173.975113,29.214006,65.208885,86.097023,6.052492,8.631034,5.002039,9.257168,6.231158,11.540288,0,4.809479,6.153908,6.609960,5.422875,7.798295,9.017118,8.298436,5.573630,8.749424,5.520623,9.306374,5.394522,8.239986,6.376089,9.424467,6.878641,9.079613,7.617783,0,-0.01617,0.00360,-0.01999,-0.01297,0.00912,-0.01210,-0.04062,0.00267,0.00021,0.10433,3.27698
0.037,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,174.288712,28.862970,65.025124,85.141472,6.049033,8.643107,5.001299,9.247913,6.229990,11.537821,0,4.818854,6.186977,6.609023,5.412519,7.798602,9.009297,8.250527,5.595819,8.735332,5.546936,9.299094,5.413503,8.232945,6.407048,9.425656,6.896722,9.080379,7.630284,0,-0.01987,0.00336,0.01373,-0.01439,0.00980,-0.01286,0.10059,0.00198,0.00006,0.11000,3.27739
0.038,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,174.602325,28.511934,64.841362,84.185928,6.045573,8.655181,5.000559,9.238658,6.228823,11.535355,0,4.828230,6.220047,6.608085,5.402162,7.798909,9.001475,8.202619,5.618007,8.721238,5.573249,9.291815,5.432484,8.225904,6.438008,9.426845,6.914802,9.081146,7.642786,0,-0.01575,0.00294,-0.01129,-0.01364,0.00848,-0.01205,0.00919,-0.00343,0.00024,0.09661,3.27800
0.039,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,175.162109,27.795755,64.672531,83.119125,6.044202,8.665794,4.999821,9.229738,6.227603,11.531265,0,4.837915,6.253079,6.607426,5.391711,7.799412,8.994885,8.189582,5.667019,8.704686,5.602613,9.268235,5.449770,8.217275,6.474166,9.426653,6.928329,9.084210,7.652138,0,-0.01950,0.00499,0.00397,-0.01328,0.00888,-0.01244,0.04321,-0.00282,0.00015,0.08581,3.27789
0.040,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,175.837723,26.907745,64.510727,81.999962,6.043814,8.675720,4.999084,9.220977,6.226360,11.526414,0,4.847746,6.286092,6.606899,5.381217,7.800007,8.988875,8.192954,5.728655,8.686977,5.633414,9.236986,5.466258,8.207897,6.512771,9.425811,6.939714,9.088357,7.660007,0,-0.01544,0.00098,-0.16174,-0.01448,0.00787,-0.01360,0.00647,0.00328,0.00009,0.10311,3.27743
0.041,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,176.513336,26.019735,64.348930,80.880806,6.043426,8.685646,4.998348,9.212214,6.225116,11.521562,0,4.857577,6.319105,6.606372,5.370722,7.800602,8.982865,8.196327,5.790291,8.669269,5.664214,9.205736,5.482747,8.198520,6.551375,9.424969,6.951098,9.092503,7.667876,0,0.00067,0.00452,-0.00504,-0.01567,0.00870,-0.01239,0.00812,0.00130,-0.00009,0.11340,3.27728
